cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,6000,1264,4822,3463,1359,1359,0.7181667357942763,0.487,0.5056057866184448,0.5051975051975052,3.7811146404851286,12934,2166,0,2353,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,6000,1184,4990,2388,2602,2602,0.4785571142284569,0.487,0.5022799017888461,0.507700205338809,4.3546901172529315,11591,3290,0,1873,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,6000,1185,4997,4642,355,355,0.9289573744246548,0.487,0.49702276707530646,0.5125276344878408,5.678371391641534,0,0,0,0,0,13926,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,6000,1190,4314,3766,548,548,0.8729717199814557,0.487,0.5145326001571092,0.5364916773367477,7.182156133828996,26350,3108,0,3713,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,6000,1195,4664,1270,3394,3394,0.2722984562607204,0.487,0.504932407745707,0.5231527093596059,7.844881889763779,5020,2504,0,778,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,6000,1166,4665,2515,2150,2150,0.5391211146838156,0.487,0.5043956043956044,0.50130005200208,6.748707753479125,13263,1786,0,2237,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,6000,1156,4670,3036,1634,1634,0.6501070663811563,0.487,0.5012759752096245,0.546875,8.998682476943346,29967,2290,0,3337,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,3000,613,2511,1237,1274,1274,0.49263241736360014,0.487,0.5197132616487455,0.49474535165723527,4.112368633791431,5721,1055,0,917,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,3000,611,2326,1050,1276,1276,0.4514187446259673,0.487,0.529664660361135,0.5171428571428571,6.913333333333333,2329,517,0,560,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,3000,596,2353,1990,363,363,0.8457288567785806,0.487,0.5363365915852104,0.5894472361809046,7.345728643216081,4875,832,0,996,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,3000,624,2386,1242,1144,1144,0.5205364626990779,0.487,0.5079631181894384,0.5225442834138486,8.859098228663447,6231,649,0,1402,0,0,0,0,0,0,0,0
