deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,500,245,240,15,0.5051546391752577,8.76,4.592
forschung_muskelkraft,rudeljaeger,standard,standard,1,500,257,233,10,0.5244897959183673,9.394,5.118
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,500,275,198,27,0.5813953488372093,12.066,4.556
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,500,231,241,28,0.4894067796610169,11.832,4.552
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,500,236,258,6,0.4777327935222672,8.746,4.306
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,500,217,279,4,0.4375,9.216,4.302
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,500,257,231,12,0.5266393442622951,9.754,4.576
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,500,204,283,13,0.4188911704312115,10.018,4.292
rudeljaeger,urzeitliche_kolosse,standard,standard,0,500,315,183,2,0.6325301204819277,7.504,4.314
rudeljaeger,urzeitliche_kolosse,standard,standard,1,500,276,221,3,0.5553319919517102,7.918,4.184
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,500,225,269,6,0.45546558704453444,9.744,4.462
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,500,200,290,10,0.40816326530612246,10.34,4.608
