deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,15461,33007,0.46841579058987487
forschung_muskelkraft,2,15606,33007,0.4728087981337292
forschung_muskelkraft,3,15980,33007,0.48413972793649834
forschung_muskelkraft,4,15896,33007,0.4815948132214379
forschung_muskelkraft,5,15772,33007,0.47783803435634864
rudeljaeger,1,13198,29674,0.44476646222282135
rudeljaeger,2,13205,29674,0.4450023589674463
rudeljaeger,3,13111,29674,0.441834602682483
rudeljaeger,4,13074,29674,0.44058771988946555
rudeljaeger,5,13346,29674,0.44975399339489114
solidaritaet_ueberleben,1,17839,34877,0.5114832124322619
solidaritaet_ueberleben,2,17401,34877,0.49892479284342117
solidaritaet_ueberleben,3,17314,34877,0.49643031224015827
solidaritaet_ueberleben,4,17286,34877,0.4956274908965794
solidaritaet_ueberleben,5,16756,34877,0.4804312297502652
urzeitliche_kolosse,1,11649,29734,0.3917737270464788
urzeitliche_kolosse,2,11796,29734,0.3967175623864936
urzeitliche_kolosse,3,11896,29734,0.40008071567902065
urzeitliche_kolosse,4,12096,29734,0.4068070222640748
urzeitliche_kolosse,5,12014,29734,0.4040492365642026
