matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-1d278b76-0,forschung_muskelkraft,standard,0,0,1,5,-1,11,4,11,3,3,3,6,0,0
match-1d278b76-0,rudeljaeger,standard,1,1,0,5,4,8,6,14,1,6,0,11,0,0
match-9674fc33-1,forschung_muskelkraft,standard,0,0,1,5,0,13,4,12,3,3,2,3,0,0
match-9674fc33-1,rudeljaeger,standard,1,1,0,5,7,8,5,13,0,5,0,10,0,0
match-0fc24cf1-2,forschung_muskelkraft,standard,0,0,1,8,-1,17,10,33,1,8,6,0,0,0
match-0fc24cf1-2,rudeljaeger,standard,1,1,0,8,10,14,11,28,1,10,5,11,0,0
match-890fbdae-3,forschung_muskelkraft,standard,0,0,1,5,-1,13,3,11,4,3,3,0,0,0
match-890fbdae-3,rudeljaeger,standard,1,1,0,5,10,11,7,14,1,7,1,11,0,0
match-37f20880-4,forschung_muskelkraft,standard,0,1,1,10,1,22,11,40,5,9,10,11,0,0
match-37f20880-4,rudeljaeger,standard,1,0,0,10,-1,14,13,30,17,11,4,9,0,0
match-b13f793d-5,forschung_muskelkraft,standard,0,1,1,10,1,22,11,42,8,9,9,10,0,0
match-b13f793d-5,rudeljaeger,standard,1,0,0,10,0,14,13,37,13,11,4,9,0,1
match-2a8cc9fb-6,forschung_muskelkraft,standard,0,0,1,5,-1,12,5,14,1,4,2,2,0,0
match-2a8cc9fb-6,rudeljaeger,standard,1,1,0,5,8,9,6,15,0,6,1,11,0,0
match-a3da3ab8-7,forschung_muskelkraft,standard,0,1,1,11,3,21,11,42,13,9,11,15,0,0
match-a3da3ab8-7,rudeljaeger,standard,1,0,0,11,-5,14,14,38,22,13,4,7,0,0
match-e7929161-8,forschung_muskelkraft,standard,0,0,1,7,-3,12,6,24,4,6,7,0,0,0
match-e7929161-8,rudeljaeger,standard,1,1,0,7,10,10,10,26,2,9,2,13,0,0
match-60dfe21f-9,forschung_muskelkraft,standard,0,0,1,5,0,11,3,11,4,3,3,3,0,0
match-60dfe21f-9,rudeljaeger,standard,1,1,0,5,7,9,6,12,3,5,2,10,0,0
match-da2d52dc-10,forschung_muskelkraft,standard,0,0,1,3,0,10,3,5,1,2,0,0,0,0
match-da2d52dc-10,rudeljaeger,standard,1,1,0,3,10,7,3,6,0,3,0,10,0,0
match-537aa39a-11,forschung_muskelkraft,standard,0,1,1,15,3,23,15,60,50,13,9,12,0,0
match-537aa39a-11,rudeljaeger,standard,1,0,0,15,-2,20,16,44,61,14,9,7,0,1
match-025d0e6c-12,forschung_muskelkraft,standard,0,1,1,12,6,23,10,33,33,8,11,11,0,0
match-025d0e6c-12,rudeljaeger,standard,1,0,0,12,-1,18,16,45,25,14,3,4,0,1
match-7baa7f29-13,forschung_muskelkraft,standard,0,0,1,3,0,11,2,3,1,1,0,0,0,0
match-7baa7f29-13,rudeljaeger,standard,1,1,0,3,10,7,3,6,0,3,0,10,0,0
match-f4f7cfe6-14,forschung_muskelkraft,standard,0,0,1,4,0,10,4,6,1,2,1,3,0,0
match-f4f7cfe6-14,rudeljaeger,standard,1,1,0,4,7,8,5,10,0,5,0,10,0,0
match-6e4520a4-15,forschung_muskelkraft,standard,0,1,1,8,1,19,10,31,2,8,7,10,0,0
match-6e4520a4-15,rudeljaeger,standard,1,0,0,8,0,13,10,32,3,9,4,9,0,0
match-88519f9e-16,forschung_muskelkraft,standard,0,1,1,5,1,10,5,12,3,4,3,10,0,0
match-88519f9e-16,rudeljaeger,standard,1,0,0,5,0,9,6,15,0,6,2,9,0,0
match-019ef05c-17,forschung_muskelkraft,standard,0,1,1,11,2,20,12,42,13,10,10,10,0,0
match-019ef05c-17,rudeljaeger,standard,1,0,0,11,0,16,14,43,13,12,6,8,0,0
match-7aec4119-18,forschung_muskelkraft,standard,0,0,1,10,-2,19,9,32,13,7,9,8,0,0
match-7aec4119-18,rudeljaeger,standard,1,1,0,10,2,14,13,37,13,12,5,12,0,1
match-f439b1d6-19,forschung_muskelkraft,standard,0,1,1,8,1,15,9,31,2,7,7,10,0,0
match-f439b1d6-19,rudeljaeger,standard,1,0,0,8,0,12,11,32,2,10,4,9,0,0
match-a31c1ca8-20,forschung_muskelkraft,standard,0,0,1,6,-1,14,6,19,1,5,5,0,0,0
match-a31c1ca8-20,rudeljaeger,standard,1,1,0,6,10,9,7,18,3,7,3,11,0,0
match-1c696d66-21,forschung_muskelkraft,standard,0,1,1,10,1,21,12,44,6,10,10,13,0,0
match-1c696d66-21,rudeljaeger,standard,1,0,0,10,-3,14,13,33,14,11,5,9,0,0
match-95b6de23-22,forschung_muskelkraft,standard,0,0,1,3,0,9,2,3,1,1,0,0,0,0
match-95b6de23-22,rudeljaeger,standard,1,1,0,3,10,7,3,6,0,3,0,10,0,0
match-0f042ee1-23,forschung_muskelkraft,standard,0,0,1,7,-3,12,8,27,1,7,6,6,0,0
match-0f042ee1-23,rudeljaeger,standard,1,1,0,7,4,11,10,25,1,9,3,13,0,0
match-52bc858a-24,forschung_muskelkraft,standard,0,1,1,9,3,18,8,30,11,6,11,10,0,0
match-52bc858a-24,rudeljaeger,standard,1,0,0,9,0,14,13,31,8,12,1,7,0,0
match-cc09f647-25,forschung_muskelkraft,standard,0,0,1,8,-3,15,9,33,2,9,5,9,0,0
match-cc09f647-25,rudeljaeger,standard,1,1,0,8,1,13,10,32,1,10,6,13,0,2
match-45574705-26,forschung_muskelkraft,standard,0,,1,16,-1,22,15,61,63,13,16,8,0,0
match-45574705-26,rudeljaeger,standard,1,,0,16,-1,22,20,56,66,18,9,8,0,1
match-bea4b7c2-27,forschung_muskelkraft,standard,0,0,1,4,0,10,3,7,3,2,0,2,0,0
match-bea4b7c2-27,rudeljaeger,standard,1,1,0,4,8,9,4,9,1,4,0,10,0,0
match-6d870294-28,forschung_muskelkraft,standard,0,1,1,11,1,20,11,42,18,9,14,13,0,0
match-6d870294-28,rudeljaeger,standard,1,0,0,11,-3,15,13,31,24,13,4,9,0,0
match-e6d47351-29,forschung_muskelkraft,standard,0,0,1,6,0,15,6,19,2,5,4,7,0,0
match-e6d47351-29,rudeljaeger,standard,1,1,0,6,3,10,8,17,2,7,1,10,0,0
match-6021c40f-30,forschung_muskelkraft,standard,0,0,1,3,0,11,3,5,1,2,0,0,0,0
match-6021c40f-30,rudeljaeger,standard,1,1,0,3,10,6,3,6,0,3,0,10,0,0
match-d96f34cc-31,forschung_muskelkraft,standard,0,0,1,5,-3,11,4,12,2,4,1,0,0,0
match-d96f34cc-31,rudeljaeger,standard,1,1,0,5,10,9,5,14,1,4,3,13,0,0
match-f37b93c6-32,forschung_muskelkraft,standard,0,1,1,14,4,22,16,65,26,14,14,10,0,0
match-f37b93c6-32,rudeljaeger,standard,1,0,0,14,0,19,17,48,45,15,9,6,0,1
match-6cc8e484-33,forschung_muskelkraft,standard,0,1,1,15,4,23,15,61,48,13,15,9,0,0
match-6cc8e484-33,rudeljaeger,standard,1,0,0,15,0,20,19,55,52,17,11,5,0,1
match-e6165541-34,forschung_muskelkraft,standard,0,1,1,8,3,15,8,31,2,7,11,10,0,0
match-e6165541-34,rudeljaeger,standard,1,0,0,8,0,12,12,27,3,11,3,7,0,0
match-5f63a5ff-35,forschung_muskelkraft,standard,0,1,1,12,3,23,10,39,28,8,11,13,0,0
match-5f63a5ff-35,rudeljaeger,standard,1,0,0,12,-3,17,16,50,19,14,3,7,0,1
match-0e4610d1-36,forschung_muskelkraft,standard,0,1,1,11,1,21,10,36,19,8,13,14,0,0
match-0e4610d1-36,rudeljaeger,standard,1,0,0,11,-4,15,15,41,19,14,3,9,0,0
match-8793618e-37,forschung_muskelkraft,standard,0,1,1,8,1,19,10,30,3,8,8,11,0,0
match-8793618e-37,rudeljaeger,standard,1,0,0,8,-1,12,11,32,3,9,4,9,0,0
match-00e0d24c-38,forschung_muskelkraft,standard,0,1,1,10,6,19,10,36,9,9,10,13,0,0
match-00e0d24c-38,rudeljaeger,standard,1,0,0,10,-3,16,13,32,16,11,4,4,0,0
match-7a2e2309-39,forschung_muskelkraft,standard,0,1,1,11,3,22,11,47,19,10,9,12,0,0
match-7a2e2309-39,rudeljaeger,standard,1,0,0,11,-2,16,14,35,22,12,5,7,0,1
match-bde699b2-40,forschung_muskelkraft,standard,0,1,1,12,9,23,12,45,27,10,11,11,0,0
match-bde699b2-40,rudeljaeger,standard,1,0,0,12,-1,17,15,47,23,13,6,1,0,0
match-3733ea70-41,forschung_muskelkraft,standard,0,1,1,15,4,23,15,57,48,13,17,10,0,0
match-3733ea70-41,rudeljaeger,standard,1,0,0,15,0,21,19,51,56,17,10,6,0,1
match-b0815b2d-42,forschung_muskelkraft,standard,0,0,1,5,0,10,4,13,2,4,4,3,0,0
match-b0815b2d-42,rudeljaeger,standard,1,1,0,5,7,9,7,13,0,6,2,10,0,0
match-29ceabeb-43,forschung_muskelkraft,standard,0,1,1,9,3,16,10,37,4,8,12,10,0,0
match-29ceabeb-43,rudeljaeger,standard,1,0,0,9,0,14,12,32,4,12,3,7,0,0
match-d8b116bc-44,forschung_muskelkraft,standard,0,0,1,4,-2,9,1,4,6,1,0,0,0,0
match-d8b116bc-44,rudeljaeger,standard,1,1,0,4,10,8,3,9,1,3,0,12,0,0
match-51fe677a-45,forschung_muskelkraft,standard,0,1,1,14,4,22,15,55,41,13,12,15,0,0
match-51fe677a-45,rudeljaeger,standard,1,0,0,14,-5,21,18,49,47,16,8,6,0,0
match-cb4bd837-46,forschung_muskelkraft,standard,0,0,1,7,-2,13,8,27,1,7,3,3,0,0
match-cb4bd837-46,rudeljaeger,standard,1,1,0,7,7,12,8,21,4,8,3,12,0,0
match-449928f5-47,forschung_muskelkraft,standard,0,1,1,10,6,18,9,36,14,8,9,12,0,0
match-449928f5-47,rudeljaeger,standard,1,0,0,10,-2,14,13,36,13,12,4,4,0,0
match-5ea587ef-48,forschung_muskelkraft,standard,0,0,1,3,-2,10,3,5,1,2,0,0,0,0
match-5ea587ef-48,rudeljaeger,standard,1,1,0,3,10,8,4,6,0,4,0,12,0,0
match-d7f2f8ac-49,forschung_muskelkraft,standard,0,1,1,9,4,19,9,36,7,8,8,14,0,0
match-d7f2f8ac-49,rudeljaeger,standard,1,0,0,9,-4,14,12,29,9,10,3,6,0,1
match-5140496a-50,forschung_muskelkraft,standard,0,1,1,9,1,21,9,31,11,7,7,12,0,0
match-5140496a-50,rudeljaeger,standard,1,0,0,9,-2,14,12,31,7,10,2,9,0,0
match-ca8dba27-51,forschung_muskelkraft,standard,0,0,1,7,-2,17,8,26,1,6,5,6,0,0
match-ca8dba27-51,rudeljaeger,standard,1,1,0,7,4,11,10,24,2,8,3,12,0,0
match-797004f9-52,forschung_muskelkraft,standard,0,1,1,11,6,22,13,50,16,11,13,10,0,0
match-797004f9-52,rudeljaeger,standard,1,0,0,11,0,16,15,36,21,13,6,4,0,0
match-f2bd75b6-53,forschung_muskelkraft,standard,0,0,1,6,-1,12,7,20,1,5,5,9,0,0
match-f2bd75b6-53,rudeljaeger,standard,1,1,0,6,1,10,8,21,0,7,2,11,0,0
match-6c0ac674-54,forschung_muskelkraft,standard,0,0,1,5,-1,15,4,13,2,4,3,6,0,0
match-6c0ac674-54,rudeljaeger,standard,1,1,0,5,4,9,6,11,1,6,2,11,0,0
match-e5583731-55,forschung_muskelkraft,standard,0,0,1,13,-3,21,12,49,33,10,14,5,0,0
match-e5583731-55,rudeljaeger,standard,1,1,0,13,5,18,17,46,35,15,8,13,0,1
match-29108ddb-56,forschung_muskelkraft,standard,0,0,1,4,-1,11,2,6,4,2,2,0,0,0
match-29108ddb-56,rudeljaeger,standard,1,1,0,4,10,8,5,10,0,3,1,11,0,0
match-a25dfe98-57,forschung_muskelkraft,standard,0,0,1,6,0,11,5,17,3,4,6,6,0,0
match-a25dfe98-57,rudeljaeger,standard,1,1,0,6,4,10,8,19,0,8,1,10,0,0
match-1bab4f56-58,forschung_muskelkraft,standard,0,1,1,13,4,22,12,49,35,10,12,14,0,0
match-1bab4f56-58,rudeljaeger,standard,1,0,0,13,-4,18,17,41,41,15,5,6,0,1
match-94f8a013-59,forschung_muskelkraft,standard,0,0,1,6,-2,13,6,19,1,5,4,1,0,0
match-94f8a013-59,rudeljaeger,standard,1,1,0,6,9,11,6,19,1,6,3,12,0,0
match-43db0ae5-60,forschung_muskelkraft,standard,0,1,1,8,6,17,7,28,7,6,8,12,0,0
match-43db0ae5-60,rudeljaeger,standard,1,0,0,8,-2,12,11,24,11,11,1,4,0,0
match-bd287ba2-61,forschung_muskelkraft,standard,0,0,1,7,-2,15,8,26,1,6,7,6,0,0
match-bd287ba2-61,rudeljaeger,standard,1,1,0,7,4,11,10,24,3,9,2,12,0,0
match-3675cc60-62,forschung_muskelkraft,standard,0,1,1,11,6,22,14,52,9,12,13,10,0,0
match-3675cc60-62,rudeljaeger,standard,1,0,0,11,0,16,15,39,17,13,7,4,0,1
match-afc33d1d-63,forschung_muskelkraft,standard,0,0,1,5,0,11,3,11,4,3,4,8,0,0
match-afc33d1d-63,rudeljaeger,standard,1,1,0,5,2,8,5,14,1,5,1,10,0,0
match-707f9ad4-64,forschung_muskelkraft,standard,0,0,1,6,-2,15,6,19,2,5,4,4,0,0
match-707f9ad4-64,rudeljaeger,standard,1,1,0,6,6,10,8,20,1,7,2,12,0,0
