matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-0fc24cf1-2,rudeljaeger,standard,1,6,3,13,14,30,3,27,true,false,true
match-37f20880-4,forschung_muskelkraft,standard,0,7,4,8,6,18,4,14,true,false,false
match-b13f793d-5,rudeljaeger,standard,1,8,3,17,20,40,3,37,false,false,false
match-b13f793d-5,forschung_muskelkraft,standard,0,9,4,10,8,22,4,18,true,true,true
match-a3da3ab8-7,rudeljaeger,standard,1,6,2,9,10,21,2,19,false,false,false
match-a3da3ab8-7,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-e7929161-8,forschung_muskelkraft,standard,0,6,2,9,8,19,2,17,false,false,false
match-537aa39a-11,forschung_muskelkraft,standard,0,10,2,9,6,17,2,15,true,false,false
match-537aa39a-11,rudeljaeger,standard,1,11,5,9,11,25,5,20,false,false,false
match-025d0e6c-12,rudeljaeger,standard,1,6,2,9,10,21,2,19,false,false,false
match-025d0e6c-12,forschung_muskelkraft,standard,0,6,4,8,10,22,4,18,true,false,false
match-6e4520a4-15,forschung_muskelkraft,standard,0,6,3,11,6,20,3,17,true,false,true
match-019ef05c-17,rudeljaeger,standard,1,6,3,12,12,27,3,24,false,false,false
match-019ef05c-17,forschung_muskelkraft,standard,0,10,3,10,8,21,3,18,true,true,true
match-7aec4119-18,rudeljaeger,standard,1,6,3,13,12,28,3,25,true,false,false
match-7aec4119-18,forschung_muskelkraft,standard,0,6,4,13,12,29,4,25,false,false,false
match-f439b1d6-19,rudeljaeger,standard,1,6,2,6,10,18,2,16,false,false,false
match-52bc858a-24,forschung_muskelkraft,standard,0,6,5,7,6,18,5,13,true,false,false
match-cc09f647-25,rudeljaeger,standard,1,6,3,12,11,26,3,23,true,false,true
match-45574705-26,rudeljaeger,standard,1,6,3,12,14,29,3,26,false,false,false
match-45574705-26,forschung_muskelkraft,standard,0,6,4,4,6,14,4,10,false,false,false
match-6d870294-28,forschung_muskelkraft,standard,0,6,3,11,6,20,3,17,true,false,false
match-f37b93c6-32,forschung_muskelkraft,standard,0,6,4,4,4,12,4,8,true,false,false
match-f37b93c6-32,rudeljaeger,standard,1,9,5,24,26,55,5,50,false,false,false
match-6cc8e484-33,forschung_muskelkraft,standard,0,6,3,11,10,24,3,21,true,false,false
match-6cc8e484-33,rudeljaeger,standard,1,12,5,13,13,31,5,26,false,false,false
match-e6165541-34,forschung_muskelkraft,standard,0,6,3,11,10,24,3,21,true,false,true
match-5f63a5ff-35,rudeljaeger,standard,1,6,3,11,14,28,3,25,false,false,false
match-5f63a5ff-35,forschung_muskelkraft,standard,0,6,4,8,10,22,4,18,true,false,false
match-0e4610d1-36,forschung_muskelkraft,standard,0,6,5,7,4,16,5,11,true,false,false
match-8793618e-37,rudeljaeger,standard,1,6,3,10,16,29,3,26,false,false,false
match-00e0d24c-38,forschung_muskelkraft,standard,0,6,5,2,0,7,5,2,true,false,false
match-7a2e2309-39,forschung_muskelkraft,standard,0,6,4,5,2,11,4,7,true,false,false
match-bde699b2-40,rudeljaeger,standard,1,6,2,7,8,17,2,15,false,false,false
match-bde699b2-40,forschung_muskelkraft,standard,0,6,3,12,12,27,3,24,true,false,false
match-3733ea70-41,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-3733ea70-41,forschung_muskelkraft,standard,0,8,5,9,10,24,5,19,true,false,false
match-29ceabeb-43,forschung_muskelkraft,standard,0,8,4,5,4,13,4,9,true,true,true
