cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,6000,1164,4584,3579,1005,1005,0.7807591623036649,0.47933333333333333,0.49159970781592405,0.496040016673614,4.3140542050852195,12162,2034,0,2089,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,6000,1194,4697,2478,2219,2219,0.5275707898658718,0.47933333333333333,0.493576017130621,0.517114270668773,5.401937046004843,10688,2603,0,1774,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,6000,1240,4776,4353,423,423,0.9114321608040201,0.47933333333333333,0.4918842625264644,0.5147615442846328,6.0739719733517115,0,0,0,0,0,13059,0,0,0,0,0,0
mobilmachung,forschung_muskelkraft,standard,3000,611,2356,1388,968,968,0.5891341256366723,0.47933333333333333,0.49108658743633277,0.4164265129682997,5.098703170028818,0,0,0,0,0,0,0,0,0,0,2615,0
die_fakultaet,forschung_muskelkraft,standard,3000,605,1999,1870,129,129,0.9354677338669335,0.47933333333333333,0.5297648824412207,0.5401069518716578,6.937433155080214,11259,1476,0,1767,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,6000,1161,4341,2185,2156,2156,0.5033402441833679,0.47933333333333333,0.49870322341608003,0.5195387572069187,8.37345537757437,8289,3771,0,1371,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,6000,1219,4333,3220,1113,1113,0.7431340872374798,0.47933333333333333,0.4949683190458442,0.5076992753623188,7.037577639751553,16883,2065,0,3016,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,6000,1206,4407,3628,779,779,0.8232357612888587,0.47933333333333333,0.49629080118694363,0.5331285651601579,8.063395810363836,26535,3104,0,3451,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,3000,598,2346,1228,1118,1118,0.5234441602728048,0.47933333333333333,0.5072463768115942,0.495114006514658,5.171009771986971,5020,989,0,839,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,3000,596,2166,1328,838,838,0.6131117266851339,0.47933333333333333,0.5193905817174516,0.5489457831325302,7.577560240963855,3398,619,0,773,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,3000,610,2211,1997,214,214,0.9032112166440525,0.47933333333333333,0.5431931252826775,0.5753630445668503,7.041562343515273,5938,820,0,1272,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,3000,622,2189,1627,562,562,0.7432617633622659,0.47933333333333333,0.5198720877112837,0.547019053472649,7.964351567301782,8691,812,0,1990,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,3000,604,2237,1920,317,317,0.8582923558337059,0.47933333333333333,0.5288332588287885,0.553125,7.516145833333334,11008,4101,0,2254,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,3000,570,2104,1738,366,366,0.8260456273764258,0.47933333333333333,0.5304182509505704,0.5609896432681243,7.630034522439586,5361,430,0,1239,0,0,7881,8887,0,0,0,0
ratte,rudeljaeger,standard,6000,1192,3896,3544,352,352,0.9096509240246407,0.48833333333333334,0.4701578744705429,0.44983416252072966,4.843961625282167,7738,5327,0,1706,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,6000,1176,3860,3536,324,324,0.9160621761658031,0.48833333333333334,0.47013188518231186,0.45431996692848287,4.902432126696833,7612,5405,0,1642,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,3000,615,1975,1881,94,94,0.9524050632911393,0.48833333333333334,0.46936708860759496,0.45667198298777245,4.881446039340776,5933,3281,0,1144,0,0,0,0,0,0,0,0
hauskater,rudeljaeger,standard,3000,605,1889,1538,351,351,0.8141874007411328,0.48833333333333334,0.4060349391212282,0.3491547464239272,6.253576072821846,2629,116,0,410,0,0,0,0,0,0,0,0
baer,rudeljaeger,standard,6000,1171,3173,3019,154,154,0.9514654900724866,0.48833333333333334,0.4145470771976796,0.4025974025974026,6.558131831732362,12080,1410,0,1988,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,6000,1194,3796,3405,391,391,0.8969968387776607,0.48833333333333334,0.4511517077045274,0.42045454545454547,5.415271659324523,8826,1841,0,1664,0,0,0,0,0,0,0,0
