deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,500,261,237,2,0.5240963855421686,8.632,4.718
forschung_muskelkraft,rudeljaeger,standard,standard,1,500,265,229,6,0.5364372469635628,9.082,4.778
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,500,244,247,9,0.4969450101832994,11.286,4.37
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,500,245,250,5,0.494949494949495,11.512,4.47
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,500,210,288,2,0.42168674698795183,8.55,4.276
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,500,213,284,3,0.42857142857142855,8.862,4.212
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,500,232,264,4,0.46774193548387094,9.892,4.376
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,500,228,265,7,0.46247464503042596,9.844,4.578
rudeljaeger,urzeitliche_kolosse,standard,standard,0,500,272,228,0,0.544,7.782,3.898
rudeljaeger,urzeitliche_kolosse,standard,standard,1,500,267,233,0,0.534,7.598,4.15
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,500,231,266,3,0.4647887323943662,9.324,4.36
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,500,221,271,8,0.4491869918699187,9.846,4.096
