deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,13950,31962,0.43645579125211187
forschung_muskelkraft,2,14185,31962,0.44380827232338405
forschung_muskelkraft,3,13966,31962,0.4369563857080283
forschung_muskelkraft,4,13631,31962,0.4264751892872786
forschung_muskelkraft,5,13748,31962,0.43013578624616733
rudeljaeger,1,12188,29415,0.4143464218935917
rudeljaeger,2,12235,29415,0.41594424613292535
rudeljaeger,3,12214,29415,0.41523032466428694
rudeljaeger,4,12351,29415,0.41988781234064254
rudeljaeger,5,12647,29415,0.42995070542240355
solidaritaet_ueberleben,1,15326,33852,0.45273543660640436
solidaritaet_ueberleben,2,15880,33852,0.46910079168143687
solidaritaet_ueberleben,3,15842,33852,0.46797825830083895
solidaritaet_ueberleben,4,15663,33852,0.4626905352711804
solidaritaet_ueberleben,5,14739,33852,0.43539524991137896
urzeitliche_kolosse,1,10535,28981,0.36351402643111
urzeitliche_kolosse,2,10609,28981,0.36606742348435184
urzeitliche_kolosse,3,10828,28981,0.3736240985473241
urzeitliche_kolosse,4,10714,28981,0.3696904868707084
urzeitliche_kolosse,5,10979,28981,0.37883440875056074
