matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-e0ede864-0,forschung_muskelkraft,standard,0,0,1,13,-2,21,18,69,17,15,16,7,0,0
match-e0ede864-0,rudeljaeger,standard,1,1,0,13,3,17,17,49,31,16,14,12,0,1
match-67a097a7-1,forschung_muskelkraft,standard,0,0,1,7,0,16,8,23,5,6,3,3,0,0
match-67a097a7-1,rudeljaeger,standard,1,1,0,7,7,12,8,28,0,7,5,10,0,0
match-d388a9df-2,forschung_muskelkraft,standard,0,1,1,10,3,16,13,48,2,11,9,10,0,0
match-d388a9df-2,rudeljaeger,standard,1,0,0,10,0,14,13,37,9,12,10,7,0,1
match-5a3b5922-3,forschung_muskelkraft,standard,0,0,1,5,-1,13,5,13,2,4,1,0,0,0
match-5a3b5922-3,rudeljaeger,standard,1,1,0,5,10,10,6,12,0,5,2,11,0,0
match-fbb8656e-4,forschung_muskelkraft,standard,0,0,1,5,-2,11,5,13,1,4,3,9,0,0
match-fbb8656e-4,rudeljaeger,standard,1,1,0,5,1,10,6,15,0,5,0,12,0,0
match-826b14b1-5,forschung_muskelkraft,standard,0,0,1,3,0,10,2,5,1,1,0,0,0,0
match-826b14b1-5,rudeljaeger,standard,1,1,0,3,10,7,3,4,0,3,1,10,0,0
match-ee5326e9-6,forschung_muskelkraft,standard,0,1,1,7,4,13,8,26,1,6,5,11,0,0
match-ee5326e9-6,rudeljaeger,standard,1,0,0,7,-1,12,10,27,0,9,2,6,0,2
match-7505d62c-7,forschung_muskelkraft,standard,0,1,1,12,2,20,14,55,16,13,12,11,0,0
match-7505d62c-7,rudeljaeger,standard,1,0,0,12,-1,17,16,45,23,14,8,8,0,1
match-1682e279-8,forschung_muskelkraft,standard,0,0,1,3,0,8,2,5,1,1,0,0,0,0
match-1682e279-8,rudeljaeger,standard,1,1,0,3,10,6,3,5,0,3,1,10,0,0
match-9d3591bb-9,forschung_muskelkraft,standard,0,0,1,4,0,9,4,7,2,1,2,7,0,0
match-9d3591bb-9,rudeljaeger,standard,1,1,0,4,3,9,5,8,0,5,1,10,0,0
match-091da3f4-10,forschung_muskelkraft,standard,0,0,1,5,-3,12,5,14,1,4,3,2,0,0
match-091da3f4-10,rudeljaeger,standard,1,1,0,5,8,9,6,15,0,5,0,13,0,0
match-8fd05336-11,forschung_muskelkraft,standard,0,0,1,6,0,13,5,19,1,4,3,8,0,0
match-8fd05336-11,rudeljaeger,standard,1,1,0,6,2,10,7,17,4,7,3,10,0,0
match-314d7f83-12,forschung_muskelkraft,standard,0,0,1,5,-2,12,4,13,2,4,3,6,0,0
match-314d7f83-12,rudeljaeger,standard,1,1,0,5,4,10,6,15,0,5,0,12,0,0
match-b8000ec5-13,forschung_muskelkraft,standard,0,1,1,12,1,21,13,49,23,10,10,10,0,0
match-b8000ec5-13,rudeljaeger,standard,1,0,0,12,0,16,15,40,29,14,7,9,0,0
match-23e820fe-14,forschung_muskelkraft,standard,0,1,1,14,4,23,18,68,25,16,13,12,0,0
match-23e820fe-14,rudeljaeger,standard,1,0,0,14,-2,19,18,50,44,16,13,6,0,4
match-aa9ad040-15,forschung_muskelkraft,standard,0,0,1,10,0,20,13,47,7,11,9,5,0,0
match-aa9ad040-15,rudeljaeger,standard,1,1,0,10,5,16,13,38,7,12,7,10,0,0
match-75c3f43c-16,forschung_muskelkraft,standard,0,1,1,9,4,18,11,36,9,9,10,10,0,0
match-75c3f43c-16,rudeljaeger,standard,1,0,0,9,0,12,12,31,8,11,4,6,0,1
match-fc76837e-17,forschung_muskelkraft,standard,0,1,1,14,2,22,20,73,26,17,14,12,0,0
match-fc76837e-17,rudeljaeger,standard,1,0,0,14,-2,19,18,49,43,16,15,8,0,1
match-685eb5b7-18,forschung_muskelkraft,standard,0,1,1,12,1,19,13,53,18,10,12,11,0,0
match-685eb5b7-18,rudeljaeger,standard,1,0,0,12,-1,18,16,46,24,14,7,9,0,0
match-ef1144f9-19,forschung_muskelkraft,standard,0,0,1,4,0,11,3,9,1,2,0,1,0,0
match-ef1144f9-19,rudeljaeger,standard,1,1,0,4,9,9,3,9,1,3,2,10,0,0
match-908e7146-20,forschung_muskelkraft,standard,0,1,1,13,1,22,14,54,25,12,13,12,0,0
match-908e7146-20,rudeljaeger,standard,1,0,0,13,-2,18,17,44,35,15,7,9,0,2
match-17410089-21,forschung_muskelkraft,standard,0,0,1,7,-4,13,8,27,1,7,6,5,0,0
match-17410089-21,rudeljaeger,standard,1,1,0,7,5,12,9,27,1,8,3,14,0,0
match-832932c1-22,forschung_muskelkraft,standard,0,1,1,8,4,14,8,32,2,6,7,12,0,0
match-832932c1-22,rudeljaeger,standard,1,0,0,8,-2,12,11,28,5,10,3,6,0,0
match-09dbc204-23,forschung_muskelkraft,standard,0,0,1,6,-1,13,5,20,1,4,2,0,0,0
match-09dbc204-23,rudeljaeger,standard,1,1,0,6,10,10,6,18,3,6,4,11,0,0
match-ab58ee50-24,forschung_muskelkraft,standard,0,1,1,6,3,12,6,20,1,5,4,11,0,0
match-ab58ee50-24,rudeljaeger,standard,1,0,0,6,-1,11,7,20,1,7,2,7,0,1
match-320b9d93-25,forschung_muskelkraft,standard,0,1,1,7,3,17,8,27,1,7,8,10,0,0
match-320b9d93-25,rudeljaeger,standard,1,0,0,7,0,11,9,24,2,9,2,7,0,0
match-9df3afcb-26,forschung_muskelkraft,standard,0,0,1,5,0,13,4,13,2,4,1,0,0,0
match-9df3afcb-26,rudeljaeger,standard,1,1,0,5,10,8,7,15,0,6,2,10,0,0
match-24a65f0e-27,forschung_muskelkraft,standard,0,0,1,6,0,11,5,19,2,5,4,5,0,0
match-24a65f0e-27,rudeljaeger,standard,1,1,0,6,5,12,9,20,0,8,1,10,0,0
match-c6236b5a-28,forschung_muskelkraft,standard,0,1,1,14,3,21,15,58,33,13,11,10,0,0
match-c6236b5a-28,rudeljaeger,standard,1,0,0,14,0,19,16,46,45,15,9,7,0,2
match-4cd61a9d-29,forschung_muskelkraft,standard,0,1,1,9,4,17,9,38,7,8,10,14,0,0
match-4cd61a9d-29,rudeljaeger,standard,1,0,0,9,-4,13,12,34,7,11,3,6,0,0
match-b8be2cd5-30,forschung_muskelkraft,standard,0,0,1,7,-1,16,7,26,2,7,8,0,0,0
match-b8be2cd5-30,rudeljaeger,standard,1,1,0,7,10,12,9,27,0,9,3,11,0,0
match-3f70dc18-31,forschung_muskelkraft,standard,0,0,1,7,0,14,7,25,2,5,6,7,0,0
match-3f70dc18-31,rudeljaeger,standard,1,1,0,7,3,10,9,22,1,8,4,10,0,0
match-0a99e014-32,forschung_muskelkraft,standard,0,1,1,7,2,15,7,25,2,6,8,11,0,0
match-0a99e014-32,rudeljaeger,standard,1,0,0,7,-1,11,8,24,2,8,1,8,0,0
match-914c8f56-33,forschung_muskelkraft,standard,0,1,1,9,1,17,9,33,4,7,10,10,0,0
match-914c8f56-33,rudeljaeger,standard,1,0,0,9,0,12,12,31,9,12,5,9,0,0
match-fd34a18e-34,forschung_muskelkraft,standard,0,1,1,5,3,11,4,13,2,4,4,11,0,0
match-fd34a18e-34,rudeljaeger,standard,1,0,0,5,-1,9,6,14,1,6,0,7,0,0
match-83e750d1-35,forschung_muskelkraft,standard,0,1,1,8,3,17,8,29,4,7,8,10,0,0
match-83e750d1-35,rudeljaeger,standard,1,0,0,8,0,13,11,30,3,10,2,7,0,1
match-25647d1e-36,forschung_muskelkraft,standard,0,0,1,9,-1,18,14,43,2,11,6,7,0,0
match-25647d1e-36,rudeljaeger,standard,1,1,0,9,3,13,12,32,8,10,10,11,0,0
match-ac170c60-37,forschung_muskelkraft,standard,0,0,1,5,-2,10,4,14,1,3,1,0,0,0
match-ac170c60-37,rudeljaeger,standard,1,1,0,5,10,8,5,13,1,5,3,12,0,0
match-17ff3e99-38,forschung_muskelkraft,standard,0,1,1,11,2,21,14,51,12,12,10,14,0,0
match-17ff3e99-38,rudeljaeger,standard,1,0,0,11,-4,15,15,41,16,13,7,8,0,2
match-9eb1cddb-39,forschung_muskelkraft,standard,0,0,1,6,0,12,5,19,1,4,5,0,0,0
