matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-e0ede864-0,rudeljaeger,standard,1,6,2,7,6,15,9,6,true,false,false
match-e0ede864-0,forschung_muskelkraft,standard,0,6,3,11,9,23,15,8,false,false,false
match-67a097a7-1,rudeljaeger,standard,1,6,4,9,8,21,16,5,true,true,true
match-67a097a7-1,forschung_muskelkraft,standard,0,6,3,12,11,26,15,11,false,false,false
match-d388a9df-2,forschung_muskelkraft,standard,0,6,4,9,8,21,12,9,true,false,false
match-7505d62c-7,forschung_muskelkraft,standard,0,7,3,6,4,13,11,2,true,false,false
match-7505d62c-7,rudeljaeger,standard,1,11,5,23,30,58,25,33,false,false,false
match-b8000ec5-13,rudeljaeger,standard,1,10,4,0,0,4,4,0,false,false,false
match-b8000ec5-13,forschung_muskelkraft,standard,0,12,5,6,5,16,14,2,true,true,true
match-23e820fe-14,forschung_muskelkraft,standard,0,10,4,13,12,29,20,9,true,false,false
match-23e820fe-14,rudeljaeger,standard,1,11,3,8,8,19,11,8,false,false,false
match-aa9ad040-15,rudeljaeger,standard,1,6,2,5,5,12,9,3,true,false,false
match-fc76837e-17,forschung_muskelkraft,standard,0,7,4,4,4,12,8,4,true,false,false
match-685eb5b7-18,rudeljaeger,standard,1,6,3,8,7,18,12,6,false,false,false
match-685eb5b7-18,forschung_muskelkraft,standard,0,6,3,3,3,9,7,2,true,false,false
match-908e7146-20,forschung_muskelkraft,standard,0,9,3,7,6,16,11,5,true,false,false
match-ab58ee50-24,forschung_muskelkraft,standard,0,6,3,9,8,20,15,5,true,true,true
match-c6236b5a-28,forschung_muskelkraft,standard,0,6,3,11,10,24,15,9,true,false,false
match-4cd61a9d-29,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-b8be2cd5-30,rudeljaeger,standard,1,6,2,8,10,20,10,10,true,true,true
match-3f70dc18-31,forschung_muskelkraft,standard,0,7,3,8,6,17,13,4,false,false,false
match-0a99e014-32,forschung_muskelkraft,standard,0,6,3,11,8,22,15,7,true,true,true
match-83e750d1-35,forschung_muskelkraft,standard,0,6,5,9,6,20,15,5,true,false,true
match-25647d1e-36,rudeljaeger,standard,1,6,2,6,9,17,10,7,true,false,false
match-25647d1e-36,forschung_muskelkraft,standard,0,6,3,8,6,17,14,3,false,false,false
match-17ff3e99-38,forschung_muskelkraft,standard,0,6,3,10,7,20,14,6,true,false,false
match-17ff3e99-38,rudeljaeger,standard,1,7,4,17,20,41,20,21,false,false,false
match-c6e1896a-41,forschung_muskelkraft,standard,0,6,2,8,6,16,10,6,true,false,true
match-c6e1896a-41,rudeljaeger,standard,1,8,3,12,13,28,15,13,false,false,false
match-b97c4ae5-43,rudeljaeger,standard,1,6,3,7,7,17,13,4,true,false,true
match-5af97732-44,rudeljaeger,standard,1,6,2,9,9,20,10,10,false,false,false
match-e1ac0674-45,forschung_muskelkraft,standard,0,6,5,9,6,20,13,7,false,false,false
match-e1ac0674-45,rudeljaeger,standard,1,9,5,23,28,56,25,31,true,false,false
match-4d9438ad-46,forschung_muskelkraft,standard,0,7,3,6,6,15,11,4,true,false,false
match-4d9438ad-46,rudeljaeger,standard,1,10,3,12,11,26,11,15,false,false,false
match-d446c7ef-47,rudeljaeger,standard,1,6,4,14,14,32,20,12,false,false,false
match-9f6febeb-48,rudeljaeger,standard,1,6,1,3,4,8,5,3,true,true,true
match-9f6febeb-48,forschung_muskelkraft,standard,0,6,3,12,11,26,15,11,false,false,false
match-26229b2e-49,rudeljaeger,standard,1,6,1,3,5,9,5,4,true,true,true
match-40ed1838-53,rudeljaeger,standard,1,7,5,5,6,16,9,7,false,false,false
match-acd52a70-54,rudeljaeger,standard,1,6,1,2,4,7,5,2,false,false,false
match-3387d9b3-55,rudeljaeger,standard,1,7,5,23,26,54,25,29,false,false,false
match-3387d9b3-55,forschung_muskelkraft,standard,0,10,3,7,4,14,13,1,true,false,false
match-d504e5ff-56,rudeljaeger,standard,1,6,3,6,11,20,12,8,false,false,false
match-d504e5ff-56,forschung_muskelkraft,standard,0,10,4,14,10,28,18,10,true,false,false
match-5bb79542-57,forschung_muskelkraft,standard,0,7,5,10,8,23,15,8,false,false,false
match-c79fa77a-58,rudeljaeger,standard,1,6,2,7,8,17,10,7,true,true,true
match-4e5256bd-59,forschung_muskelkraft,standard,0,6,5,17,10,32,23,9,false,false,false
match-7682124c-61,rudeljaeger,standard,1,6,2,6,10,18,10,8,false,false,false
match-7682124c-61,forschung_muskelkraft,standard,0,8,4,12,7,23,15,8,true,false,false
match-e26a2484-62,forschung_muskelkraft,standard,0,11,1,2,2,5,5,0,true,false,false
match-e26a2484-62,rudeljaeger,standard,1,14,3,3,5,11,7,4,false,false,false
match-691cd3c7-63,rudeljaeger,standard,1,6,4,14,17,35,20,15,false,false,false
match-3445f7c3-64,forschung_muskelkraft,standard,0,11,4,14,11,29,19,10,true,true,true
match-3445f7c3-64,rudeljaeger,standard,1,11,5,22,20,47,25,22,false,false,false
match-26e0b93e-66,rudeljaeger,standard,1,8,5,0,0,5,5,0,false,false,false
match-26e0b93e-66,forschung_muskelkraft,standard,0,11,4,9,9,22,16,6,true,false,false
match-ad934880-67,rudeljaeger,standard,1,7,2,9,12,23,10,13,true,false,false
match-ad934880-67,forschung_muskelkraft,standard,0,10,3,9,6,18,13,5,false,false,false
match-4f1074cd-68,rudeljaeger,standard,1,6,3,11,9,23,14,9,true,true,true
match-41ab3648-70,rudeljaeger,standard,1,6,1,5,5,11,5,6,true,false,false
match-41ab3648-70,forschung_muskelkraft,standard,0,11,1,3,2,6,5,1,false,false,false
match-69daf1d7-72,forschung_muskelkraft,standard,0,10,4,8,4,16,15,1,true,true,true
match-7740305c-78,rudeljaeger,standard,1,6,2,8,8,18,10,8,false,false,false
match-7740305c-78,forschung_muskelkraft,standard,0,8,3,12,8,23,15,8,true,true,true
match-fdf2df9e-79,rudeljaeger,standard,1,6,1,5,5,11,5,6,true,true,true
match-4fce92dd-81,rudeljaeger,standard,1,6,4,15,18,37,20,17,false,false,false
match-4fce92dd-81,forschung_muskelkraft,standard,0,8,4,16,10,30,18,12,true,false,false
match-e3e660a4-84,rudeljaeger,standard,1,6,4,14,15,33,19,14,true,false,false
match-e3e660a4-84,forschung_muskelkraft,standard,0,8,2,9,8,19,10,9,false,false,false
match-6a990fe7-85,forschung_muskelkraft,standard,0,6,4,11,8,23,18,5,true,true,true
match-d681221f-86,forschung_muskelkraft,standard,0,6,2,8,6,16,10,6,true,false,false
match-f14bbf29-90,forschung_muskelkraft,standard,0,7,4,6,6,16,12,4,false,false,false
match-77fe4e6c-91,rudeljaeger,standard,1,10,2,11,9,22,10,12,false,false,false
match-77fe4e6c-91,forschung_muskelkraft,standard,0,11,3,11,11,25,15,10,true,true,true
match-197b7ab9-92,forschung_muskelkraft,standard,0,9,3,0,0,3,3,0,true,false,false
match-197b7ab9-92,rudeljaeger,standard,1,10,5,6,3,14,11,3,false,false,false
match-a02e09fb-93,rudeljaeger,standard,1,9,4,21,21,46,20,26,false,false,false
match-0c163c34-94,rudeljaeger,standard,1,7,2,9,12,23,10,13,false,false,false
match-0c163c34-94,forschung_muskelkraft,standard,0,8,5,8,3,16,13,3,true,false,false
match-92c8cb76-95,rudeljaeger,standard,1,6,2,7,6,15,10,5,true,true,true
match-5df1ef72-96,forschung_muskelkraft,standard,0,6,2,9,8,19,10,9,false,false,false
match-e4a49eb4-97,rudeljaeger,standard,1,6,2,7,8,17,10,7,true,false,false
match-e4a49eb4-97,forschung_muskelkraft,standard,0,7,2,6,5,13,10,3,false,false,false
match-508cb0ed-98,rudeljaeger,standard,1,6,1,5,6,12,5,7,true,true,true
match-d73f402f-99,forschung_muskelkraft,standard,0,8,5,16,8,29,17,12,false,false,false
match-78bc6c7c-100,forschung_muskelkraft,standard,0,6,3,11,10,24,15,9,true,false,false
match-ff6f1bbe-101,forschung_muskelkraft,standard,0,6,5,4,4,13,9,4,true,false,false
match-6b572df7-102,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-6b572df7-102,forschung_muskelkraft,standard,0,9,3,7,6,16,12,4,true,false,false
match-f209dd39-103,rudeljaeger,standard,1,9,5,27,25,57,24,33,true,false,false
match-f209dd39-103,forschung_muskelkraft,standard,0,10,2,6,5,13,10,3,false,false,false
match-9386e986-104,forschung_muskelkraft,standard,0,6,4,11,7,22,15,7,true,false,false
match-9386e986-104,rudeljaeger,standard,1,8,3,10,11,24,15,9,false,false,false
match-8621ab01-106,rudeljaeger,standard,1,8,4,13,12,29,18,11,false,false,false
match-8621ab01-106,forschung_muskelkraft,standard,0,11,2,6,6,14,10,4,true,true,true
match-0cd45a44-107,rudeljaeger,standard,1,10,3,0,0,3,3,0,false,false,false
match-0cd45a44-107,forschung_muskelkraft,standard,0,10,4,11,11,26,20,6,true,false,false
match-350415d3-109,forschung_muskelkraft,standard,0,6,5,12,8,25,15,10,true,false,false
match-a0ec280b-110,rudeljaeger,standard,1,6,3,10,12,25,15,10,false,false,false
match-a0ec280b-110,forschung_muskelkraft,standard,0,9,1,4,4,9,5,4,true,false,false
match-279ed74e-111,rudeljaeger,standard,1,6,3,9,9,21,14,7,false,false,false
match-f2c7fb49-112,forschung_muskelkraft,standard,0,6,3,11,10,24,15,9,true,false,false
match-f2c7fb49-112,rudeljaeger,standard,1,12,3,11,12,26,11,15,false,false,false
match-797a8a8c-113,rudeljaeger,standard,1,8,4,19,18,41,19,22,false,false,false
match-e562bcc4-114,forschung_muskelkraft,standard,0,6,5,14,10,29,23,6,true,false,false
match-e562bcc4-114,rudeljaeger,standard,1,8,3,9,9,21,11,10,false,false,false
match-6c154c07-115,rudeljaeger,standard,1,13,5,12,15,32,17,15,false,false,false
match-6c154c07-115,forschung_muskelkraft,standard,0,14,4,12,9,25,18,7,true,true,true
match-94450796-117,rudeljaeger,standard,1,6,2,8,7,17,10,7,false,false,false
match-94450796-117,forschung_muskelkraft,standard,0,6,3,10,9,22,15,7,true,false,false
match-002d39cf-118,rudeljaeger,standard,1,6,2,6,10,18,10,8,true,true,true
match-285cf55e-120,rudeljaeger,standard,1,7,5,9,10,24,13,11,true,true,true
match-af0f84a0-121,rudeljaeger,standard,1,6,3,11,14,28,15,13,true,false,true
match-af0f84a0-121,forschung_muskelkraft,standard,0,6,4,11,11,26,16,10,false,false,false
match-35c233e3-126,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-35c233e3-126,forschung_muskelkraft,standard,0,11,2,6,4,12,10,2,true,false,false
match-bc74c325-127,forschung_muskelkraft,standard,0,8,5,12,8,25,18,7,false,false,false
match-bc74c325-127,rudeljaeger,standard,1,9,4,15,16,35,19,16,true,true,true
match-879de721-128,rudeljaeger,standard,1,6,4,10,12,26,18,8,false,false,false
match-7a38a89c-130,forschung_muskelkraft,standard,0,7,2,4,4,10,6,4,false,false,false
match-00eb57df-131,forschung_muskelkraft,standard,0,7,4,7,5,16,11,5,false,false,false
match-00eb57df-131,rudeljaeger,standard,1,9,4,20,16,40,20,20,true,false,false
match-291b136e-133,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-950325a6-134,rudeljaeger,standard,1,6,3,11,13,27,15,12,false,false,false
match-950325a6-134,forschung_muskelkraft,standard,0,6,4,8,7,19,16,3,true,false,false
match-1bb5d4e9-135,forschung_muskelkraft,standard,0,6,3,14,12,29,15,14,true,true,true
match-bd32e135-136,rudeljaeger,standard,1,6,2,9,9,20,10,10,false,false,false
match-bd32e135-136,forschung_muskelkraft,standard,0,9,3,4,4,11,7,4,true,false,false
match-afcda2b0-138,rudeljaeger,standard,1,10,4,0,0,4,4,0,false,false,false
match-afcda2b0-138,forschung_muskelkraft,standard,0,10,3,10,9,22,15,7,true,false,false
match-368051f3-139,forschung_muskelkraft,standard,0,11,3,7,5,15,14,1,true,false,false
match-d7fd7e3f-140,forschung_muskelkraft,standard,0,6,3,10,6,19,13,6,true,true,true
match-5eb00d82-141,forschung_muskelkraft,standard,0,6,5,13,10,28,17,11,true,false,false
match-ca983fba-142,forschung_muskelkraft,standard,0,6,2,7,6,15,10,5,true,false,true
match-1c73f2f9-144,rudeljaeger,standard,1,7,4,10,12,26,12,14,false,false,false
match-1c73f2f9-144,forschung_muskelkraft,standard,0,11,2,6,4,12,6,6,true,false,true
match-a326823b-145,rudeljaeger,standard,1,7,4,21,23,48,20,28,false,false,false
match-a326823b-145,forschung_muskelkraft,standard,0,13,3,12,6,21,13,8,true,false,true
match-0f0eb474-146,forschung_muskelkraft,standard,0,11,1,4,4,9,5,4,true,true,true
match-373e7003-148,rudeljaeger,standard,1,7,4,15,16,35,17,18,false,false,false
match-29d9317e-150,rudeljaeger,standard,1,6,3,11,12,26,15,11,false,false,false
match-b08bc0c0-151,forschung_muskelkraft,standard,0,8,4,12,8,24,16,8,true,false,false
match-b08bc0c0-151,rudeljaeger,standard,1,10,3,9,8,20,11,9,false,false,false
match-d8bb9c4f-153,rudeljaeger,standard,1,6,2,7,11,20,10,10,false,false,false
match-d8bb9c4f-153,forschung_muskelkraft,standard,0,8,3,4,4,11,7,4,true,true,true
match-44a3ae88-154,rudeljaeger,standard,1,8,4,19,18,41,19,22,true,false,false
match-44a3ae88-154,forschung_muskelkraft,standard,0,11,4,13,13,30,20,10,false,false,false
