cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft__ohne_pc,control,2400,502,1829,1452,377,377,0.7938764352104976,0.5216666666666666,0.5351598173515981,0.5429769392033543,3.819559228650138,5331,953,0,931,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__ohne_pc,control,2400,486,1929,924,1005,1005,0.47900466562986005,0.5216666666666666,0.5290492957746479,0.5339547270306259,4.713203463203463,4216,1200,0,676,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__ohne_pc,control,2400,468,1923,1751,172,172,0.9105564222568903,0.5216666666666666,0.531634446397188,0.5452865064695009,5.231296402055968,0,0,0,0,0,5253,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__ohne_pc,control,2400,468,1642,1471,171,171,0.8958587088915956,0.5216666666666666,0.5535535535535535,0.5717344753747323,6.677090414683889,9296,1674,0,1372,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__ohne_pc,control,2400,521,1781,545,1236,1236,0.3060078607523863,0.5216666666666666,0.5408631772268135,0.5866983372921615,7.7871559633027525,2144,989,0,330,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__ohne_pc,control,2400,470,1782,1068,714,714,0.5993265993265994,0.5216666666666666,0.5415896487985212,0.5530586766541823,6.23314606741573,5742,986,0,971,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__ohne_pc,control,2400,447,1778,1233,545,545,0.6934758155230596,0.5216666666666666,0.5336405529953917,0.5830212234706617,7.933495539334955,8231,919,0,999,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__ohne_pc,control,2400,467,1864,920,944,944,0.49356223175965663,0.5216666666666666,0.5395555555555556,0.5403225806451613,4.407608695652174,4321,803,0,693,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__ohne_pc,control,1200,238,848,400,448,448,0.4716981132075472,0.5216666666666666,0.5636792452830188,0.6025,6.835,1039,154,0,222,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__ohne_pc,control,1200,250,917,798,119,119,0.8702290076335878,0.5216666666666666,0.5834242093784079,0.6278195488721805,6.665413533834586,2170,397,0,434,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__ohne_pc,control,1200,257,878,493,385,385,0.5615034168564921,0.5216666666666666,0.5569476082004556,0.592292089249493,7.860040567951319,2503,265,0,585,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__ohne_pc,control,1200,226,916,667,249,249,0.7281659388646288,0.5216666666666666,0.5622270742358079,0.5937031484257871,7.445277361319341,3817,1491,0,762,0,0,0,0,0,0,0,0
ratte,rudeljaeger__ohne_pc,control,2400,448,1440,1300,140,140,0.9027777777777778,0.485,0.4622356495468278,0.44554455445544555,4.726923076923077,2611,1885,0,543,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__ohne_pc,control,2400,498,1443,1299,144,144,0.9002079002079002,0.485,0.46070726915520627,0.43426724137931033,4.471901462663587,2635,2043,0,540,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__ohne_pc,control,2400,447,1447,1355,92,92,0.9364201796821009,0.485,0.4708835341365462,0.46450939457202506,4.985239852398524,3717,2165,0,668,0,0,0,0,0,0,0,0
baer,rudeljaeger__ohne_pc,control,2400,459,1207,1165,42,42,0.9652029826014913,0.485,0.4258210645526614,0.4119718309859155,6.08412017167382,4276,443,0,664,0,0,0,0,0,0,0,0
wolf,rudeljaeger__ohne_pc,control,2400,463,1408,1276,132,132,0.90625,0.485,0.4421157684630739,0.40859030837004406,5.160658307210031,2974,633,0,536,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__ohne_pc,control,2400,489,1464,1172,292,292,0.8005464480874317,0.485,0.44543650793650796,0.3490683229813665,6.652730375426621,0,0,0,0,2344,0,0,0,918,242,0,0
pferd,rudeljaeger__ohne_pc,control,2400,502,1484,1416,68,68,0.954177897574124,0.485,0.4666666666666667,0.4605263157894737,5.086158192090395,4958,1498,0,882,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__ohne_pc,control,2400,498,1341,1241,100,100,0.9254287844891872,0.485,0.42462845010615713,0.4018058690744921,5.321514907332796,1860,279,0,287,0,0,0,0,0,0,0,0
luchs,rudeljaeger__ohne_pc,control,1200,262,586,551,35,35,0.9402730375426621,0.485,0.4522184300341297,0.4355716878402904,6.646098003629764,2655,704,0,435,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger__ohne_pc,control,1200,260,575,553,22,22,0.9617391304347827,0.485,0.39652173913043476,0.38155515370705245,6.37251356238698,1750,182,0,261,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger__ohne_pc,control,1200,222,618,589,29,29,0.9530744336569579,0.485,0.41262135922330095,0.3921901528013582,6.441426146010187,2310,118,0,354,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger__ohne_pc,control,1200,252,713,536,177,177,0.7517531556802244,0.485,0.41935483870967744,0.30970149253731344,6.8283582089552235,1266,131,0,226,0,0,0,0,0,0,0,0
erstsemester,forschung_muskelkraft__mit_pc,control,2400,474,1852,1342,510,510,0.724622030237581,0.5816666666666667,0.5925589836660617,0.6008403361344538,3.7682563338301045,5066,898,0,928,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__mit_pc,control,2400,489,1954,996,958,958,0.5097236438075742,0.5816666666666667,0.5961705831157529,0.6041666666666666,4.113453815261044,5454,1484,0,919,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__mit_pc,control,2400,490,1967,1794,173,173,0.9120488052872394,0.5816666666666667,0.5982456140350877,0.6112650046168052,5.440914158305462,0,0,0,0,0,5382,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__mit_pc,control,2400,476,1650,1483,167,167,0.8987878787878788,0.5816666666666667,0.6190009794319294,0.6435331230283912,6.73701955495617,10643,1823,0,1640,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__mit_pc,control,2400,461,1785,446,1339,1339,0.24985994397759104,0.5816666666666667,0.6065116279069768,0.5962059620596206,7.374439461883408,2054,1066,0,337,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__mit_pc,control,2400,461,1816,1025,791,791,0.5644273127753304,0.5816666666666667,0.6005509641873278,0.6153846153846154,6.407804878048781,6134,978,0,1057,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__mit_pc,control,2400,509,1800,1156,644,644,0.6422222222222222,0.5816666666666667,0.6044158233670653,0.6841415465268676,8.379757785467127,8726,1081,0,1075,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__mit_pc,control,1200,254,953,507,446,446,0.5320041972717734,0.5816666666666667,0.621196222455404,0.6252465483234714,4.041420118343195,2721,498,0,459,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__mit_pc,control,1200,232,918,374,544,544,0.4074074074074074,0.5816666666666667,0.6339869281045751,0.6925133689839572,7.042780748663102,1000,194,0,223,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__mit_pc,control,1200,229,912,809,103,103,0.8870614035087719,0.5816666666666667,0.6524122807017544,0.7058096415327565,6.873918417799753,2261,369,0,497,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__mit_pc,control,1200,214,920,446,474,474,0.48478260869565215,0.5816666666666667,0.6402173913043478,0.6928251121076233,8.72421524663677,2270,348,0,534,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__mit_pc,control,1200,245,929,623,306,306,0.6706135629709364,0.5816666666666667,0.6318622174381054,0.6693418940609952,7.911717495987159,3564,1439,0,707,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft__mit_pc,control,1200,266,888,643,245,245,0.7240990990990991,0.5816666666666667,0.6565315315315315,0.702954898911353,7.558320373250389,1923,224,0,470,0,0,3177,3613,0,0,0,0
ratte,rudeljaeger__mit_pc,control,2400,468,1459,1291,168,168,0.8848526387936944,0.53,0.5039920159680639,0.48404840484048406,4.628969790859799,2575,2011,0,538,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__mit_pc,control,2400,490,1472,1301,171,171,0.8838315217391305,0.53,0.510934393638171,0.4944933920704846,4.621829362029208,2627,2101,0,522,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__mit_pc,control,2400,473,1497,1370,127,127,0.9151636606546426,0.53,0.520039100684262,0.5067218200620476,5.1547445255474456,4055,2220,0,774,0,0,0,0,0,0,0,0
baer,rudeljaeger__mit_pc,control,2400,485,1227,1185,42,42,0.9657701711491442,0.53,0.4652223489167617,0.46226415094339623,6.145147679324895,4909,495,0,757,0,0,0,0,0,0,0,0
wolf,rudeljaeger__mit_pc,control,2400,493,1474,1321,153,153,0.8962008141112618,0.53,0.4838709677419355,0.4501108647450111,5.116578349735049,3348,713,0,605,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__mit_pc,control,2400,465,1470,1201,269,269,0.8170068027210884,0.53,0.4969758064516129,0.42401960784313725,6.73022481265612,0,0,0,0,2402,0,0,0,994,292,0,0
pferd,rudeljaeger__mit_pc,control,2400,460,1496,1407,89,89,0.9405080213903744,0.53,0.5063663075416258,0.5005065856129686,5.287846481876333,5197,1505,0,954,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__mit_pc,control,1200,260,725,673,52,52,0.9282758620689655,0.53,0.44,0.4175334323922734,5.24962852897474,1082,131,0,177,0,0,0,0,0,0,0,0
