deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,0,100,54,46,0,0.54,7.69,4.62
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,1,100,62,38,0,0.62,8.48,4.74
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,0,100,53,47,0,0.53,7.93,4.34
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,1,100,55,45,0,0.55,8.69,4.69
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,0,100,51,49,0,0.51,7.64,5.31
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,1,100,53,46,1,0.5353535353535354,8.3,5.03
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,0,100,45,55,0,0.45,7.46,5.22
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,1,100,46,53,1,0.46464646464646464,8.36,5.61
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,60,40,0,0.6,10.39,4.39
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,63,36,1,0.6363636363636364,10.74,4.73
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,67,31,2,0.6836734693877551,11.01,4.43
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,64,33,3,0.6597938144329897,11.58,4.4
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,69,30,1,0.696969696969697,10.68,4.83
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,69,30,1,0.696969696969697,10.56,4.94
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,47,52,1,0.47474747474747475,10.09,4.65
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,47,53,0,0.47,10.41,4.5
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,49,51,0,0.49,7.46,4.21
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,59,41,0,0.59,7.93,4.4
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,51,49,0,0.51,8.2,4.23
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,52,48,0,0.52,8.64,4.2
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,58,42,0,0.58,8.18,3.96
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,56,44,0,0.56,7.9,4.49
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,49,51,0,0.49,8.04,3.46
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,45,55,0,0.45,8.08,4.51
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,47,52,1,0.47474747474747475,9.1,4.12
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,45,54,1,0.45454545454545453,8.97,4.52
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,53,45,2,0.5408163265306123,9.94,4.28
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,39,58,3,0.4020618556701031,9.36,4.26
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,53,47,0,0.53,9.8,4.32
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,54,45,1,0.5454545454545454,9.68,4.9
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,45,55,0,0.45,8.82,4.41
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,42,58,0,0.42,9.24,4.55
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,55,45,0,0.55,7.42,4.43
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,53,47,0,0.53,7.5,3.81
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,57,43,0,0.57,7.54,3.94
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,55,45,0,0.55,7.1,3.98
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,57,43,0,0.57,7.06,4.15
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,68,32,0,0.68,7.51,4.5
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,57,43,0,0.57,7.48,3.79
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,59,41,0,0.59,7.31,4.26
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,39,60,1,0.3939393939393939,8.71,4.93
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,42,57,1,0.42424242424242425,8.75,4.37
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,43,56,1,0.43434343434343436,9.08,4.33
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,46,54,0,0.46,9.73,4.42
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,47,53,0,0.47,8.77,4.61
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,49,51,0,0.49,9.65,4.12
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,29,69,2,0.29591836734693877,8.91,4.85
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,38,62,0,0.38,9.53,3.89
