deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft__ohne_pc,1,4865,11773,0.41323367026246494
forschung_muskelkraft__ohne_pc,2,5006,11773,0.42521022679011294
forschung_muskelkraft__ohne_pc,3,4920,11773,0.41790537670941985
forschung_muskelkraft__ohne_pc,4,4956,11773,0.4209632209292449
forschung_muskelkraft__ohne_pc,5,5024,11773,0.42673914890002546
rudeljaeger__ohne_pc,1,4294,10817,0.39696773597115653
rudeljaeger__ohne_pc,2,4187,10817,0.38707589904779516
rudeljaeger__ohne_pc,3,4287,10817,0.39632060645280576
rudeljaeger__ohne_pc,4,4328,10817,0.40011093648886015
rudeljaeger__ohne_pc,5,4354,10817,0.4025145604141629
forschung_muskelkraft__mit_pc,1,5374,12238,0.4391240398757967
forschung_muskelkraft__mit_pc,2,5423,12238,0.4431279620853081
forschung_muskelkraft__mit_pc,3,5434,12238,0.44402680176499426
forschung_muskelkraft__mit_pc,4,5426,12238,0.44337310017976794
forschung_muskelkraft__mit_pc,5,5391,12238,0.4405131557444027
rudeljaeger__mit_pc,1,4642,11299,0.4108328170634569
rudeljaeger__mit_pc,2,4559,11299,0.40348703425081867
rudeljaeger__mit_pc,3,4629,11299,0.4096822727675016
rudeljaeger__mit_pc,4,4643,11299,0.4109213204708381
rudeljaeger__mit_pc,5,4771,11299,0.4222497566156297
solidaritaet_ueberleben__ohne_pc,1,5610,12714,0.44124587069372345
solidaritaet_ueberleben__ohne_pc,2,5771,12714,0.45390907660846314
solidaritaet_ueberleben__ohne_pc,3,5907,12714,0.46460594620103823
solidaritaet_ueberleben__ohne_pc,4,5858,12714,0.4607519270095957
solidaritaet_ueberleben__ohne_pc,5,5414,12714,0.42582979392795345
solidaritaet_ueberleben__mit_pc,1,6139,13074,0.46955790117791035
solidaritaet_ueberleben__mit_pc,2,6071,13074,0.464356738565091
solidaritaet_ueberleben__mit_pc,3,6132,13074,0.4690224873795319
solidaritaet_ueberleben__mit_pc,4,5999,13074,0.4588496252103411
solidaritaet_ueberleben__mit_pc,5,5804,13074,0.44393452654122684
urzeitliche_kolosse__ohne_pc,1,3737,10886,0.34328495315083596
urzeitliche_kolosse__ohne_pc,2,3806,10886,0.34962336946536837
urzeitliche_kolosse__ohne_pc,3,3823,10886,0.35118500826749954
urzeitliche_kolosse__ohne_pc,4,3875,10886,0.3559617857799008
urzeitliche_kolosse__ohne_pc,5,3943,10886,0.3622083409884255
urzeitliche_kolosse__mit_pc,1,4087,11177,0.3656616265545316
urzeitliche_kolosse__mit_pc,2,4130,11177,0.3695088127404491
urzeitliche_kolosse__mit_pc,3,4133,11177,0.3697772210790015
urzeitliche_kolosse__mit_pc,4,4067,11177,0.3638722376308491
urzeitliche_kolosse__mit_pc,5,4261,11177,0.38122931019056994
