matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
pc-4a05004f-0,forschung_muskelkraft__ohne_pc,control,0,1,1,10,4,19,11,41,5,9,11,10,0,0
pc-4a05004f-0,rudeljaeger__ohne_pc,control,1,0,0,10,0,15,13,35,16,12,4,6,0,0
pc-c352710c-1,forschung_muskelkraft__ohne_pc,control,0,1,1,7,6,15,9,27,1,7,6,12,0,0
pc-c352710c-1,rudeljaeger__ohne_pc,control,1,0,0,7,-2,11,10,24,1,8,3,4,0,0
pc-3c9fc1ca-2,forschung_muskelkraft__ohne_pc,control,0,1,1,8,6,16,8,26,2,7,11,13,0,0
pc-3c9fc1ca-2,rudeljaeger__ohne_pc,control,1,0,0,8,-3,12,11,25,7,10,2,4,0,0
pc-b5ed3287-3,forschung_muskelkraft__ohne_pc,control,0,1,1,9,2,16,10,36,8,8,11,10,0,0
pc-b5ed3287-3,rudeljaeger__ohne_pc,control,1,0,0,9,0,12,12,33,8,11,3,8,0,0
pc-2f3a8345-4,forschung_muskelkraft__ohne_pc,control,0,1,1,9,3,16,9,32,4,8,11,13,0,0
pc-2f3a8345-4,rudeljaeger__ohne_pc,control,1,0,0,9,-3,14,13,36,5,12,3,7,0,0
pc-a887f402-5,forschung_muskelkraft__ohne_pc,control,0,1,1,12,2,21,13,43,23,11,14,11,0,0
pc-a887f402-5,rudeljaeger__ohne_pc,control,1,0,0,12,-1,16,15,39,28,14,6,8,0,0
pc-21d544c0-6,forschung_muskelkraft__ohne_pc,control,0,1,1,8,1,18,8,29,5,6,8,12,0,0
pc-21d544c0-6,rudeljaeger__ohne_pc,control,1,0,0,8,-2,11,11,31,1,9,2,9,0,1
pc-9b22b57d-7,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,14,4,13,2,4,2,3,0,0
pc-9b22b57d-7,rudeljaeger__ohne_pc,control,1,1,0,5,7,12,5,15,0,5,1,10,0,0
pc-7f9a1a63-8,forschung_muskelkraft__ohne_pc,control,0,1,1,6,1,13,6,19,1,5,5,11,0,0
pc-7f9a1a63-8,rudeljaeger__ohne_pc,control,1,0,0,6,-1,10,7,21,0,7,1,9,0,1
pc-f8e76b20-9,forschung_muskelkraft__ohne_pc,control,0,1,1,10,1,23,10,38,8,9,14,12,0,0
pc-f8e76b20-9,rudeljaeger__ohne_pc,control,1,0,0,10,-2,14,13,35,14,13,4,9,0,0
