matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
pc-714c548e-200,rudeljaeger__mit_pc,control,1,6,4,14,15,33,20,13,false,false,false
pc-714c548e-200,forschung_muskelkraft__mit_pc,control,0,6,3,7,8,18,11,7,true,false,false
pc-ea99a54b-201,forschung_muskelkraft__mit_pc,control,0,9,4,8,6,18,14,4,true,false,false
pc-f7fee3d0-203,forschung_muskelkraft__mit_pc,control,0,6,4,14,10,28,18,10,true,false,false
pc-f7fee3d0-203,rudeljaeger__mit_pc,control,1,8,3,12,19,34,15,19,false,false,false
pc-12c960db-207,rudeljaeger__mit_pc,control,1,6,2,7,8,17,10,7,true,true,true
pc-3bb75a7a-208,rudeljaeger__mit_pc,control,1,6,4,15,18,37,20,17,true,false,false
pc-3bb75a7a-208,forschung_muskelkraft__mit_pc,control,0,6,3,7,8,18,11,7,false,false,false
pc-b504ab37-209,forschung_muskelkraft__mit_pc,control,0,8,4,12,8,24,18,6,false,false,false
pc-491c98ff-210,rudeljaeger__mit_pc,control,1,6,3,12,11,26,15,11,true,true,true
pc-c269e9bc-211,forschung_muskelkraft__mit_pc,control,0,6,4,9,8,21,12,9,false,false,false
pc-cfcf2841-213,rudeljaeger__mit_pc,control,1,6,3,9,12,24,15,9,true,false,true
pc-63e71609-214,forschung_muskelkraft__mit_pc,control,0,6,4,9,8,21,12,9,false,false,false
pc-63e71609-214,rudeljaeger__mit_pc,control,1,7,5,20,26,51,25,26,true,false,false
pc-dd3466c6-215,rudeljaeger__mit_pc,control,1,8,5,24,30,59,25,34,false,false,false
pc-7f6fb123-217,forschung_muskelkraft__mit_pc,control,0,6,5,10,8,23,17,6,true,false,false
pc-13879eeb-218,rudeljaeger__mit_pc,control,1,6,2,7,10,19,10,9,false,false,false
pc-13879eeb-218,forschung_muskelkraft__mit_pc,control,0,6,5,9,8,22,17,5,true,false,false
pc-2e521bf5-222,rudeljaeger__mit_pc,control,1,6,1,5,6,12,5,7,false,false,false
pc-a79f6cb2-223,rudeljaeger__mit_pc,control,1,7,4,20,27,51,20,31,false,false,false
pc-a79f6cb2-223,forschung_muskelkraft__mit_pc,control,0,10,4,14,12,30,20,10,true,false,false
pc-573ff594-227,rudeljaeger__mit_pc,control,1,7,5,23,29,57,25,32,false,false,false
pc-573ff594-227,forschung_muskelkraft__mit_pc,control,0,10,3,9,8,20,13,7,true,true,true
pc-eb57c35b-228,rudeljaeger__mit_pc,control,1,6,3,10,15,28,15,13,false,false,false
pc-eb57c35b-228,forschung_muskelkraft__mit_pc,control,0,6,2,7,8,17,10,7,true,false,false
pc-64a53419-229,rudeljaeger__mit_pc,control,1,6,1,3,5,9,5,4,true,true,true
pc-64a53419-229,forschung_muskelkraft__mit_pc,control,0,6,4,11,10,25,20,5,false,false,false
pc-47a05cdf-232,rudeljaeger__mit_pc,control,1,6,2,9,9,20,10,10,false,false,false
pc-47a05cdf-232,forschung_muskelkraft__mit_pc,control,0,6,5,10,10,25,17,8,true,false,false
pc-6fd0186e-238,rudeljaeger__mit_pc,control,1,6,2,9,10,21,10,11,false,false,false
pc-6fd0186e-238,forschung_muskelkraft__mit_pc,control,0,6,4,9,10,23,20,3,true,false,true
pc-120b42cb-240,rudeljaeger__mit_pc,control,1,6,2,9,8,19,10,9,false,false,false
pc-120b42cb-240,forschung_muskelkraft__mit_pc,control,0,6,4,8,6,18,14,4,true,false,false
pc-8b58b388-241,forschung_muskelkraft__mit_pc,control,0,11,3,9,8,20,15,5,true,false,false
pc-8b58b388-241,rudeljaeger__mit_pc,control,1,11,4,11,11,26,12,14,false,false,false
pc-1f708150-242,rudeljaeger__mit_pc,control,1,6,2,9,10,21,10,11,false,false,false
pc-1f708150-242,forschung_muskelkraft__mit_pc,control,0,6,2,7,8,17,10,7,true,false,false
pc-a6233092-245,rudeljaeger__mit_pc,control,1,6,2,8,11,21,10,11,false,false,false
pc-a6233092-245,forschung_muskelkraft__mit_pc,control,0,6,5,8,8,21,17,4,true,false,false
pc-3a3b1e5a-246,forschung_muskelkraft__mit_pc,control,0,6,3,11,10,24,15,9,true,false,false
pc-dc7648b6-248,rudeljaeger__mit_pc,control,1,7,4,4,4,12,8,4,false,false,false
pc-dc7648b6-248,forschung_muskelkraft__mit_pc,control,0,8,4,12,12,28,20,8,true,false,true
pc-6328f7f9-251,rudeljaeger__mit_pc,control,1,12,2,8,6,16,6,10,false,false,false
pc-6328f7f9-251,forschung_muskelkraft__mit_pc,control,0,12,4,13,14,31,20,11,true,false,true
pc-a6e14ea2-256,rudeljaeger__mit_pc,control,1,8,2,0,0,2,2,0,false,false,false
pc-a6e14ea2-256,forschung_muskelkraft__mit_pc,control,0,8,4,13,14,31,20,11,true,false,false
pc-202ebf60-257,rudeljaeger__mit_pc,control,1,6,3,12,15,30,15,15,false,false,false
pc-202ebf60-257,forschung_muskelkraft__mit_pc,control,0,6,5,7,8,20,13,7,true,false,false
pc-b4468d27-258,rudeljaeger__mit_pc,control,1,6,3,12,12,27,15,12,true,false,true
pc-2d93fde5-259,forschung_muskelkraft__mit_pc,control,0,6,5,7,6,18,13,5,false,false,false
pc-2d93fde5-259,rudeljaeger__mit_pc,control,1,9,4,23,29,56,20,36,true,false,false
pc-cf110a31-262,rudeljaeger__mit_pc,control,1,6,3,11,10,24,14,10,false,false,false
pc-cf110a31-262,forschung_muskelkraft__mit_pc,control,0,8,5,11,10,26,17,9,true,false,false
pc-c4a443ec-264,rudeljaeger__mit_pc,control,1,6,4,15,18,37,20,17,false,false,false
pc-4b56f32f-267,rudeljaeger__mit_pc,control,1,6,3,11,15,29,15,14,false,false,false
pc-df6ec0f6-268,forschung_muskelkraft__mit_pc,control,0,10,2,9,6,17,10,7,true,false,false
pc-df6ec0f6-268,rudeljaeger__mit_pc,control,1,12,4,10,14,28,12,16,false,false,false
pc-ecd41f7b-270,forschung_muskelkraft__mit_pc,control,0,11,3,13,10,26,15,11,true,false,false
pc-ecd41f7b-270,rudeljaeger__mit_pc,control,1,14,3,15,13,31,15,16,false,false,false
pc-8f0f49d8-272,rudeljaeger__mit_pc,control,1,12,4,5,6,15,8,7,false,false,false
pc-8f0f49d8-272,forschung_muskelkraft__mit_pc,control,0,14,3,11,12,26,15,11,true,true,true
pc-15c1f91b-275,forschung_muskelkraft__mit_pc,control,0,6,4,13,10,27,18,9,true,false,false
pc-15c1f91b-275,rudeljaeger__mit_pc,control,1,9,5,18,20,43,24,19,false,false,false
pc-a9d9c6e2-276,rudeljaeger__mit_pc,control,1,6,2,7,10,19,10,9,false,false,false
pc-a9d9c6e2-276,forschung_muskelkraft__mit_pc,control,0,6,4,7,8,19,12,7,true,false,false
pc-b73f0567-278,rudeljaeger__mit_pc,control,1,6,2,7,14,23,10,13,false,false,false
pc-66df8e49-282,rudeljaeger__mit_pc,control,1,6,2,7,8,17,10,7,false,false,false
pc-66df8e49-282,forschung_muskelkraft__mit_pc,control,0,6,2,7,8,17,10,7,true,false,false
pc-e02cff06-283,rudeljaeger__mit_pc,control,1,6,2,7,8,17,10,7,true,true,true
pc-e02cff06-283,forschung_muskelkraft__mit_pc,control,0,6,3,11,12,26,15,11,false,false,false
pc-7444ccce-284,rudeljaeger__mit_pc,control,1,6,2,8,10,20,10,10,true,true,true
pc-7444ccce-284,forschung_muskelkraft__mit_pc,control,0,6,4,3,4,11,8,3,false,false,false
pc-314a9435-290,rudeljaeger__mit_pc,control,1,7,5,13,13,31,13,18,false,false,false
pc-314a9435-290,forschung_muskelkraft__mit_pc,control,0,8,4,13,12,29,20,9,true,false,true
pc-aa97e4f2-291,rudeljaeger__mit_pc,control,1,7,4,19,27,50,20,30,false,false,false
pc-aa97e4f2-291,forschung_muskelkraft__mit_pc,control,0,10,4,15,10,29,18,11,true,true,true
pc-3eafd2ba-292,forschung_muskelkraft__mit_pc,control,0,6,5,13,10,28,19,9,true,false,true
pc-1445bcfb-297,forschung_muskelkraft__mit_pc,control,0,7,4,5,4,13,12,1,true,false,true
pc-a85d8ac2-298,rudeljaeger__mit_pc,control,1,6,3,12,15,30,15,15,false,false,false
pc-a85d8ac2-298,forschung_muskelkraft__mit_pc,control,0,6,3,6,6,15,11,4,true,false,false
pc-21aafb80-299,rudeljaeger__mit_pc,control,1,6,2,7,8,17,10,7,false,false,false
pc-21aafb80-299,forschung_muskelkraft__mit_pc,control,0,8,5,11,12,28,17,11,true,false,false
pc-79544737-302,rudeljaeger__mit_pc,control,1,9,4,21,22,47,20,27,false,false,false
pc-79544737-302,forschung_muskelkraft__mit_pc,control,0,11,3,10,10,23,15,8,true,false,true
pc-1ad17384-305,rudeljaeger__mit_pc,control,1,6,3,11,15,29,15,14,false,false,false
pc-1ad17384-305,forschung_muskelkraft__mit_pc,control,0,7,4,8,8,20,12,8,false,false,false
pc-0d6c34ff-307,rudeljaeger__mit_pc,control,1,6,3,14,16,33,15,18,false,false,false
pc-0d6c34ff-307,forschung_muskelkraft__mit_pc,control,0,7,4,10,10,24,16,8,true,false,false
pc-43bf4d23-310,rudeljaeger__mit_pc,control,1,6,4,15,19,38,20,18,false,false,false
pc-43bf4d23-310,forschung_muskelkraft__mit_pc,control,0,11,4,12,10,26,18,8,true,false,true
pc-bd0cbde0-311,rudeljaeger__mit_pc,control,1,7,3,14,20,37,15,22,false,false,false
pc-bd0cbde0-311,forschung_muskelkraft__mit_pc,control,0,9,4,16,14,34,20,14,true,false,false
pc-6bef08b2-312,rudeljaeger__mit_pc,control,1,6,4,17,19,40,20,20,true,false,true
pc-6bef08b2-312,forschung_muskelkraft__mit_pc,control,0,8,5,10,10,25,21,4,false,false,false
pc-e53c796f-313,rudeljaeger__mit_pc,control,1,11,4,6,6,16,8,8,false,false,false
pc-e53c796f-313,forschung_muskelkraft__mit_pc,control,0,11,5,9,8,22,18,4,true,false,false
pc-28f4d019-322,rudeljaeger__mit_pc,control,1,6,3,14,17,34,15,19,false,false,false
pc-28f4d019-322,forschung_muskelkraft__mit_pc,control,0,7,5,12,12,29,17,12,true,false,false
pc-a24220d6-323,rudeljaeger__mit_pc,control,1,9,3,16,19,38,15,23,false,false,false
pc-a24220d6-323,forschung_muskelkraft__mit_pc,control,0,13,3,12,6,21,13,8,true,true,true
pc-d89558fa-326,forschung_muskelkraft__mit_pc,control,0,6,2,3,2,7,6,1,false,false,false
pc-d89558fa-326,rudeljaeger__mit_pc,control,1,6,4,16,16,36,20,16,true,false,false
pc-51e2a9b8-327,rudeljaeger__mit_pc,control,1,9,3,15,20,38,15,23,true,false,true
pc-51e2a9b8-327,forschung_muskelkraft__mit_pc,control,0,9,3,5,6,14,11,3,false,false,false
pc-7a126547-329,rudeljaeger__mit_pc,control,1,6,3,14,14,31,15,16,false,false,false
pc-7a126547-329,forschung_muskelkraft__mit_pc,control,0,7,5,6,6,17,13,4,true,false,false
pc-5d0d8e0d-332,forschung_muskelkraft__mit_pc,control,0,6,3,9,8,20,15,5,false,false,false
pc-f1257bd4-337,forschung_muskelkraft__mit_pc,control,0,9,2,8,6,16,10,6,true,true,true
pc-6a72cc92-338,rudeljaeger__mit_pc,control,1,6,4,17,17,38,20,18,true,false,false
pc-6a72cc92-338,forschung_muskelkraft__mit_pc,control,0,7,2,6,6,14,10,4,false,false,false
pc-277893f9-340,rudeljaeger__mit_pc,control,1,6,3,12,17,32,15,17,false,false,false
pc-277893f9-340,forschung_muskelkraft__mit_pc,control,0,9,4,11,8,23,18,5,true,true,true
pc-a0c5e4b6-341,rudeljaeger__mit_pc,control,1,7,4,6,6,16,8,8,true,false,true
pc-9360a631-343,rudeljaeger__mit_pc,control,1,6,3,12,14,29,15,14,false,false,false
pc-9360a631-343,forschung_muskelkraft__mit_pc,control,0,12,4,17,12,33,20,13,true,true,true
pc-42431103-344,rudeljaeger__mit_pc,control,1,6,3,14,17,34,15,19,true,true,true
pc-34ddd27e-346,rudeljaeger__mit_pc,control,1,6,4,17,22,43,20,23,false,false,false
pc-e47e5b5f-350,rudeljaeger__mit_pc,control,1,8,4,20,26,50,20,30,true,true,true
pc-85fb67ac-353,rudeljaeger__mit_pc,control,1,6,3,12,17,32,15,17,true,true,true
pc-78962927-355,forschung_muskelkraft__mit_pc,control,0,7,5,15,12,32,25,7,true,true,true
pc-bc4e9fd0-356,rudeljaeger__mit_pc,control,1,7,4,17,20,41,20,21,false,false,false
pc-bc4e9fd0-356,forschung_muskelkraft__mit_pc,control,0,7,3,6,6,15,11,4,true,false,false
pc-aee9414b-358,forschung_muskelkraft__mit_pc,control,0,7,5,16,14,35,25,10,false,false,false
pc-aee9414b-358,rudeljaeger__mit_pc,control,1,8,4,15,20,39,20,19,true,false,true
pc-2836b209-359,rudeljaeger__mit_pc,control,1,6,4,16,19,39,20,19,false,false,false
pc-2836b209-359,forschung_muskelkraft__mit_pc,control,0,9,3,10,10,23,15,8,true,false,true
pc-d7191cda-360,forschung_muskelkraft__mit_pc,control,0,6,1,4,4,9,5,4,true,true,true
pc-d7191cda-360,rudeljaeger__mit_pc,control,1,6,4,13,17,34,20,14,false,false,false
pc-43012f13-363,rudeljaeger__mit_pc,control,1,8,4,18,26,48,20,28,false,false,false
pc-43012f13-363,forschung_muskelkraft__mit_pc,control,0,9,3,11,8,22,13,9,true,false,true
pc-acaee71b-365,rudeljaeger__mit_pc,control,1,6,4,15,20,39,20,19,true,false,false
pc-acaee71b-365,forschung_muskelkraft__mit_pc,control,0,9,5,16,14,35,25,10,false,false,false
pc-25fc57d9-366,forschung_muskelkraft__mit_pc,control,0,6,3,4,4,11,7,4,true,false,false
pc-9f49a896-367,rudeljaeger__mit_pc,control,1,7,3,12,14,29,15,14,false,false,false
pc-4e2c1368-368,rudeljaeger__mit_pc,control,1,6,5,19,25,49,25,24,true,false,true
pc-4e2c1368-368,forschung_muskelkraft__mit_pc,control,0,8,2,7,8,17,10,7,false,false,false
pc-c7796425-369,rudeljaeger__mit_pc,control,1,7,2,8,10,20,10,10,true,true,true
pc-40c6d4e3-370,rudeljaeger__mit_pc,control,1,6,3,14,17,34,15,19,false,false,false
pc-40c6d4e3-370,forschung_muskelkraft__mit_pc,control,0,7,5,8,6,19,13,6,true,false,false
pc-7719ed07-373,forschung_muskelkraft__mit_pc,control,0,7,5,11,10,26,18,8,true,false,true
pc-f0675dc4-374,forschung_muskelkraft__mit_pc,control,0,6,3,3,2,8,7,1,true,false,false
pc-18971954-376,forschung_muskelkraft__mit_pc,control,0,7,4,7,4,15,10,5,true,false,false
pc-0b31dacf-378,forschung_muskelkraft__mit_pc,control,0,13,4,11,8,23,18,5,true,true,true
pc-847f2b8c-379,forschung_muskelkraft__mit_pc,control,0,6,3,9,8,20,15,5,true,false,false
pc-847f2b8c-379,rudeljaeger__mit_pc,control,1,6,2,7,7,16,10,6,false,false,false
pc-c8378235-380,rudeljaeger__mit_pc,control,1,6,4,17,19,40,20,20,true,false,false
pc-c8378235-380,forschung_muskelkraft__mit_pc,control,0,7,3,8,8,19,11,8,false,false,false
pc-4184f2f3-381,forschung_muskelkraft__mit_pc,control,0,6,3,4,4,11,7,4,false,false,false
pc-4184f2f3-381,rudeljaeger__mit_pc,control,1,6,3,12,14,29,15,14,true,false,false
pc-bad243b0-382,rudeljaeger__mit_pc,control,1,6,4,16,20,40,20,20,false,false,false
pc-bad243b0-382,forschung_muskelkraft__mit_pc,control,0,7,5,8,8,21,17,4,true,false,false
pc-e3021f3f-384,rudeljaeger__mit_pc,control,1,7,4,16,20,40,20,20,false,false,false
pc-e3021f3f-384,forschung_muskelkraft__mit_pc,control,0,7,4,7,8,19,12,7,true,false,false
pc-5c4f6ffd-385,forschung_muskelkraft__mit_pc,control,0,6,4,4,4,12,8,4,false,false,false
pc-5c4f6ffd-385,rudeljaeger__mit_pc,control,1,6,3,11,14,28,15,13,true,false,false
pc-4eea3178-387,forschung_muskelkraft__mit_pc,control,0,6,4,8,8,20,12,8,true,false,false
pc-92a28821-388,rudeljaeger__mit_pc,control,1,6,3,14,15,32,15,17,false,false,false
pc-92a28821-388,forschung_muskelkraft__mit_pc,control,0,7,4,6,6,16,12,4,true,false,false
pc-853d499c-390,forschung_muskelkraft__mit_pc,control,0,6,4,4,4,12,8,4,true,false,false
pc-853d499c-390,rudeljaeger__mit_pc,control,1,14,4,4,5,13,8,5,false,false,false
pc-fe8aba59-391,rudeljaeger__mit_pc,control,1,6,3,13,13,29,15,14,true,false,true
pc-a007c6a6-394,rudeljaeger__mit_pc,control,1,6,3,14,17,34,15,19,false,false,false
pc-a007c6a6-394,forschung_muskelkraft__mit_pc,control,0,8,4,7,8,19,12,7,true,false,false
pc-19553764-395,rudeljaeger__mit_pc,control,1,7,3,13,17,33,15,18,false,false,false
pc-19553764-395,forschung_muskelkraft__mit_pc,control,0,7,3,7,8,18,11,7,true,false,false
pc-09b59eaf-396,rudeljaeger__mit_pc,control,1,6,3,14,16,33,15,18,true,false,false
pc-fc504029-398,rudeljaeger__mit_pc,control,1,7,3,15,16,34,15,19,false,false,false
pc-fc504029-398,forschung_muskelkraft__mit_pc,control,0,7,4,7,8,19,12,7,true,false,false
pc-759db0e7-399,rudeljaeger__mit_pc,control,1,6,2,7,8,17,10,7,true,true,true
pc-ec2cd31b-402,forschung_muskelkraft__mit_pc,control,0,6,4,10,8,22,12,10,true,false,false
pc-657a23d9-403,forschung_muskelkraft__mit_pc,control,0,6,4,4,4,12,8,4,true,false,false
pc-d1625611-406,forschung_muskelkraft__mit_pc,control,0,8,4,10,8,22,16,6,true,false,false
pc-227feb40-413,forschung_muskelkraft__mit_pc,control,0,6,4,11,10,25,16,9,true,false,true
pc-64bc05c9-416,forschung_muskelkraft__mit_pc,control,0,6,4,10,8,22,14,8,true,false,true
pc-5756c744-418,forschung_muskelkraft__mit_pc,control,0,11,3,7,6,16,11,5,true,true,true
pc-d0a43801-419,forschung_muskelkraft__mit_pc,control,0,10,3,8,6,17,11,6,true,false,true
pc-c33ef97c-421,forschung_muskelkraft__mit_pc,control,0,8,5,11,10,26,17,9,true,false,false
pc-3c8c4a3a-422,forschung_muskelkraft__mit_pc,control,0,8,4,9,8,21,12,9,true,false,false
pc-2f270bb5-424,forschung_muskelkraft__mit_pc,control,0,12,4,12,10,26,18,8,true,false,true
pc-2e68eda5-437,forschung_muskelkraft__mit_pc,control,0,7,4,9,8,21,12,9,true,false,false
pc-a7b65e62-438,forschung_muskelkraft__mit_pc,control,0,8,5,9,6,20,14,6,true,false,false
pc-9a511fdd-440,forschung_muskelkraft__mit_pc,control,0,7,2,3,2,7,6,1,false,false,false
pc-7f8682d3-444,forschung_muskelkraft__mit_pc,control,0,8,5,6,6,17,13,4,true,false,false
pc-3b100e1a-448,forschung_muskelkraft__mit_pc,control,0,6,3,9,6,18,13,5,false,false,false
pc-b45d7ed7-449,forschung_muskelkraft__mit_pc,control,0,6,2,7,6,15,10,5,false,false,false
pc-2daacf95-450,forschung_muskelkraft__mit_pc,control,0,6,2,9,8,19,10,9,false,false,false
pc-12e0528b-454,forschung_muskelkraft__mit_pc,control,0,10,3,8,6,17,11,6,true,false,true
pc-8c2da348-455,forschung_muskelkraft__mit_pc,control,0,6,4,13,6,23,16,7,false,false,false
pc-057b1406-456,forschung_muskelkraft__mit_pc,control,0,6,3,7,4,14,11,3,true,false,false
pc-f815d580-458,forschung_muskelkraft__mit_pc,control,0,13,3,11,6,20,13,7,true,true,true
pc-5698a934-463,forschung_muskelkraft__mit_pc,control,0,6,3,13,10,26,15,11,true,false,false
pc-4cea00ff-464,forschung_muskelkraft__mit_pc,control,0,8,4,9,6,19,14,5,true,false,true
pc-c63771bc-465,forschung_muskelkraft__mit_pc,control,0,6,4,13,8,25,18,7,false,false,false
pc-9e07b62d-471,forschung_muskelkraft__mit_pc,control,0,10,2,4,4,10,6,4,true,true,true
pc-ef254b5b-478,forschung_muskelkraft__mit_pc,control,0,8,4,7,6,17,12,5,true,false,false
pc-316165e5-481,forschung_muskelkraft__mit_pc,control,0,6,3,10,10,23,15,8,true,false,false
pc-aaaed6a2-482,forschung_muskelkraft__mit_pc,control,0,8,4,12,10,26,16,10,false,false,false
pc-23fc2760-483,forschung_muskelkraft__mit_pc,control,0,6,3,7,6,16,12,4,false,false,false
