cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft__ohne_pc,control,2400,450,1799,1333,466,466,0.7409672040022235,0.46166666666666667,0.47368421052631576,0.4719222462203024,3.9654913728432106,4653,896,0,795,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__ohne_pc,control,2400,458,1874,943,931,931,0.5032017075773746,0.46166666666666667,0.4810810810810811,0.5006553079947575,4.658536585365853,4256,1255,0,668,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__ohne_pc,control,2400,490,1905,1709,196,196,0.8971128608923884,0.46166666666666667,0.4724689165186501,0.4821092278719397,5.237565827969573,0,0,0,0,0,5127,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__ohne_pc,control,2400,507,1613,1432,181,181,0.8877867327960323,0.46166666666666667,0.4838709677419355,0.5016251354279523,6.835893854748603,8717,1250,0,1216,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__ohne_pc,control,2400,518,1761,574,1187,1187,0.3259511641113004,0.46166666666666667,0.4763670064874884,0.5102974828375286,7.7404181184668985,2207,1128,0,324,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__ohne_pc,control,2400,472,1758,1086,672,672,0.6177474402730375,0.46166666666666667,0.4822429906542056,0.4665841584158416,6.337937384898711,5614,843,0,918,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__ohne_pc,control,2400,446,1753,1217,536,536,0.6942384483742157,0.46166666666666667,0.48130841121495327,0.5320754716981132,7.841413311421529,8952,884,0,1039,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__ohne_pc,control,2400,478,1877,940,937,937,0.500799147575919,0.46166666666666667,0.47480106100795755,0.46215139442231074,4.3319148936170215,4219,792,0,665,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__ohne_pc,control,1200,249,877,416,461,461,0.47434435575826683,0.46166666666666667,0.4960091220068415,0.5072115384615384,6.9423076923076925,985,181,0,214,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__ohne_pc,control,1200,253,878,771,107,107,0.878132118451025,0.46166666666666667,0.5136674259681093,0.5577172503242542,6.542153047989624,2065,320,0,419,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__ohne_pc,control,1200,238,900,508,392,392,0.5644444444444444,0.46166666666666667,0.4866666666666667,0.5039370078740157,7.9763779527559056,2551,272,0,596,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__ohne_pc,control,1200,241,876,640,236,236,0.730593607305936,0.46166666666666667,0.5136986301369864,0.525,7.4109375,3630,1484,0,744,0,0,0,0,0,0,0,0
ratte,rudeljaeger__ohne_pc,control,2400,446,1439,1289,150,150,0.8957609451007644,0.4666666666666667,0.43887775551102204,0.4105378704720088,4.720713731574865,2551,1877,0,529,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__ohne_pc,control,2400,522,1487,1315,172,172,0.8843308675184937,0.4666666666666667,0.4419512195121951,0.41792656587473004,4.489733840304183,2499,1924,0,526,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__ohne_pc,control,2400,498,1492,1382,110,110,0.9262734584450402,0.4666666666666667,0.44401168451801365,0.4395491803278688,4.952243125904486,3982,2270,0,723,0,0,0,0,0,0,0,0
baer,rudeljaeger__ohne_pc,control,2400,470,1159,1111,48,48,0.9585849870578085,0.4666666666666667,0.38173302107728335,0.3671497584541063,6.145814581458146,4033,412,0,588,0,0,0,0,0,0,0,0
wolf,rudeljaeger__ohne_pc,control,2400,481,1441,1284,157,157,0.8910478834142956,0.4666666666666667,0.4195519348268839,0.3767123287671233,5.234423676012461,2811,595,0,493,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__ohne_pc,control,2400,483,1449,1182,267,267,0.8157349896480331,0.4666666666666667,0.4316831683168317,0.3397590361445783,6.647208121827411,0,0,0,0,2364,0,0,0,929,248,0,0
pferd,rudeljaeger__ohne_pc,control,2400,473,1440,1381,59,59,0.9590277777777778,0.4666666666666667,0.4326450344149459,0.4246713852376138,5.114409847936278,4775,1498,0,801,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__ohne_pc,control,2400,492,1404,1316,88,88,0.9373219373219374,0.4666666666666667,0.41266598569969354,0.3961248654467169,5.25531914893617,1950,287,0,318,0,0,0,0,0,0,0,0
luchs,rudeljaeger__ohne_pc,control,1200,225,585,552,33,33,0.9435897435897436,0.4666666666666667,0.4358974358974359,0.4257246376811594,6.481884057971015,2675,652,0,419,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger__ohne_pc,control,1200,242,581,538,43,43,0.9259896729776248,0.4666666666666667,0.37865748709122204,0.34386617100371747,6.618959107806692,1692,159,0,263,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger__ohne_pc,control,1200,242,561,531,30,30,0.946524064171123,0.4666666666666667,0.3582887700534759,0.3295668549905838,6.6685499058380415,1821,63,0,270,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger__ohne_pc,control,1200,226,684,521,163,163,0.7616959064327485,0.4666666666666667,0.391812865497076,0.29750479846449135,6.900191938579654,1077,121,0,208,0,0,0,0,0,0,0,0
erstsemester,forschung_muskelkraft__mit_pc,control,2400,520,1918,1359,559,559,0.7085505735140771,0.5766666666666667,0.5917636526410027,0.5821989528795811,3.4606328182487123,5426,1101,0,1013,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__mit_pc,control,2400,470,1967,931,1036,1036,0.47330960854092524,0.5766666666666667,0.5897212543554007,0.5971502590673575,3.9881847475832437,5171,1361,0,855,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__mit_pc,control,2400,483,1947,1803,144,144,0.926040061633282,0.5766666666666667,0.5874125874125874,0.6011029411764706,5.494731003882418,0,0,0,0,0,5409,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__mit_pc,control,2400,466,1701,1452,249,249,0.8536155202821869,0.5766666666666667,0.5968841285296982,0.614406779661017,6.9690082644628095,10403,1412,0,1493,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__mit_pc,control,2400,466,1809,444,1365,1365,0.24543946932006633,0.5766666666666667,0.5915363385464582,0.6074270557029178,6.907657657657658,2043,1071,0,319,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__mit_pc,control,2400,496,1790,934,856,856,0.5217877094972067,0.5766666666666667,0.595724907063197,0.6024096385542169,6.291220556745182,5566,918,0,944,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__mit_pc,control,2400,471,1860,1089,771,771,0.5854838709677419,0.5766666666666667,0.5974729241877257,0.6406685236768802,8.83287419651056,9211,885,0,1052,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__mit_pc,control,1200,231,987,471,516,516,0.47720364741641336,0.5766666666666667,0.6028368794326241,0.6093418259023354,3.870488322717622,2508,595,0,402,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__mit_pc,control,1200,248,893,334,559,559,0.374020156774916,0.5766666666666667,0.6136618141097424,0.5868263473053892,6.4640718562874255,880,199,0,221,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__mit_pc,control,1200,243,929,797,132,132,0.8579117330462863,0.5766666666666667,0.6275565123789021,0.6662484316185696,7.012547051442911,2131,401,0,452,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__mit_pc,control,1200,248,902,388,514,514,0.43015521064301554,0.5766666666666667,0.5997782705099778,0.6314432989690721,8.90979381443299,1954,218,0,443,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__mit_pc,control,1200,229,925,562,363,363,0.6075675675675676,0.5766666666666667,0.6151351351351352,0.6619217081850534,8.286476868327401,3413,1437,0,653,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft__mit_pc,control,1200,229,928,809,119,119,0.8717672413793104,0.5766666666666667,0.6357758620689655,0.6761433868974042,6.861557478368356,4947,657,0,844,0,0,6753,7109,0,0,0,0
ratte,rudeljaeger__mit_pc,control,2400,510,1519,1272,247,247,0.837393021724819,0.5566666666666666,0.5337904015670911,0.5066815144766147,4.406446540880503,2642,2101,0,551,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__mit_pc,control,2400,444,1502,1240,262,262,0.8255659121171771,0.5566666666666666,0.5349065880039331,0.5039637599093998,4.574193548387097,2608,1855,0,534,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__mit_pc,control,2400,467,1515,1364,151,151,0.9003300330033003,0.5566666666666666,0.5345666991236612,0.5289855072463768,5.194281524926686,3849,2190,0,723,0,0,0,0,0,0,0,0
baer,rudeljaeger__mit_pc,control,2400,476,1261,1197,64,64,0.9492466296590008,0.5566666666666666,0.4868871151653364,0.47255369928400953,6.412698412698413,4674,593,0,713,0,0,0,0,0,0,0,0
wolf,rudeljaeger__mit_pc,control,2400,499,1455,1257,198,198,0.8639175257731959,0.5566666666666666,0.5112474437627812,0.4794050343249428,5.222752585521082,3096,692,0,543,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__mit_pc,control,2400,477,1494,1207,287,287,0.8078982597054887,0.5566666666666666,0.5198412698412699,0.43935643564356436,6.829328914664457,0,0,0,0,2414,0,0,0,949,228,0,0
pferd,rudeljaeger__mit_pc,control,2400,503,1565,1469,96,96,0.9386581469648563,0.5566666666666666,0.5434146341463415,0.5370741482965932,5.3744043567052415,5328,1586,0,926,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__mit_pc,control,1200,219,709,634,75,75,0.8942172073342737,0.5566666666666666,0.46544428772919605,0.4400630914826498,5.339116719242902,1009,131,0,169,0,0,0,0,0,0,0,0
luchs,rudeljaeger__mit_pc,control,1200,226,623,579,44,44,0.9293739967897271,0.5566666666666666,0.49919743178170145,0.4905008635578584,6.962003454231433,2593,759,0,421,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger__mit_pc,control,1200,258,615,561,54,54,0.9121951219512195,0.5566666666666666,0.4943089430894309,0.46880570409982175,7.053475935828877,1914,182,0,313,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger__mit_pc,control,1200,238,636,596,40,40,0.9371069182389937,0.5566666666666666,0.4591194968553459,0.4412751677852349,7.075503355704698,2308,119,0,340,0,0,0,0,0,0,0,0
