deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,0,100,44,55,1,0.4444444444444444,7.78,5.03
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,1,100,46,54,0,0.46,7.44,5.32
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,0,100,51,46,3,0.5257731958762887,9.16,4.68
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,1,100,50,48,2,0.5102040816326531,9.16,4.79
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,0,100,62,38,0,0.62,8.35,4.26
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,1,100,60,40,0,0.6,8.22,5.13
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,0,100,41,58,1,0.41414141414141414,8.07,4.86
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,1,100,40,60,0,0.4,8.29,5.37
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,55,45,0,0.55,9.6,4.36
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,52,48,0,0.52,9.9,4.26
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,63,36,1,0.6363636363636364,12,4.9
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,44,50,6,0.46808510638297873,11.81,4.3
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,74,26,0,0.74,10.66,4.57
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,65,34,1,0.6565656565656566,10.14,4.61
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,40,58,2,0.40816326530612246,11.51,4.58
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,45,54,1,0.45454545454545453,10.78,5.04
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,58,42,0,0.58,7.89,4.3
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,52,48,0,0.52,7.52,4.23
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,51,48,1,0.5151515151515151,9.18,4.11
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,56,43,1,0.5656565656565656,9.59,4
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,60,40,0,0.6,7.8,4.02
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,56,44,0,0.56,8.19,3.91
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,47,53,0,0.47,8.18,4.25
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,34,66,0,0.34,8.23,4.37
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,40,60,0,0.4,9.33,4.16
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,39,60,1,0.3939393939393939,9.62,4.29
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,45,52,3,0.4639175257731959,10.09,4.11
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,40,57,3,0.41237113402061853,9.56,4.6
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,100,58,40,2,0.5918367346938775,9.47,5.18
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,100,55,45,0,0.55,9.43,4.9
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,100,40,59,1,0.40404040404040403,8.57,4.85
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,100,37,63,0,0.37,9.07,4.57
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,45,55,0,0.45,7.3,4.11
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,71,29,0,0.71,7.01,4.36
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,64,35,1,0.6464646464646465,8.15,3.91
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,100,66,34,0,0.66,7.32,4.69
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,100,62,38,0,0.62,7.22,4.54
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,100,66,34,0,0.66,6.64,4.62
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,100,49,51,0,0.49,7.9,4.35
