deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft__ohne_pc,1,4814,11719,0.41078590323406433
forschung_muskelkraft__ohne_pc,2,4860,11719,0.41471115282873966
forschung_muskelkraft__ohne_pc,3,4945,11719,0.4219643314275962
forschung_muskelkraft__ohne_pc,4,4905,11719,0.41855107091048727
forschung_muskelkraft__ohne_pc,5,5002,11719,0.4268282276644765
rudeljaeger__ohne_pc,1,4340,11009,0.3942229085293851
rudeljaeger__ohne_pc,2,4317,11009,0.3921337087837224
rudeljaeger__ohne_pc,3,4439,11009,0.40321555091288946
rudeljaeger__ohne_pc,4,4380,11009,0.39785629939140704
rudeljaeger__ohne_pc,5,4445,11009,0.40376055954219275
forschung_muskelkraft__mit_pc,1,5961,12626,0.47212102011721846
forschung_muskelkraft__mit_pc,2,5975,12626,0.4732298431807382
forschung_muskelkraft__mit_pc,3,5935,12626,0.4700617772849675
forschung_muskelkraft__mit_pc,4,6078,12626,0.48138761286234755
forschung_muskelkraft__mit_pc,5,5957,12626,0.47180421352764135
rudeljaeger__mit_pc,1,5138,11456,0.4484986033519553
rudeljaeger__mit_pc,2,5043,11456,0.4402060055865922
rudeljaeger__mit_pc,3,5094,11456,0.4446578212290503
rudeljaeger__mit_pc,4,5059,11456,0.4416026536312849
rudeljaeger__mit_pc,5,5149,11456,0.4494587988826816
solidaritaet_ueberleben__ohne_pc,1,5722,12644,0.4525466624485922
solidaritaet_ueberleben__ohne_pc,2,5818,12644,0.46013919645681745
solidaritaet_ueberleben__ohne_pc,3,5963,12644,0.47160708636507437
solidaritaet_ueberleben__ohne_pc,4,5949,12644,0.47049984182220816
solidaritaet_ueberleben__ohne_pc,5,5519,12644,0.43649161657703256
solidaritaet_ueberleben__mit_pc,1,6779,13501,0.5021109547440931
solidaritaet_ueberleben__mit_pc,2,6690,13501,0.4955188504555218
solidaritaet_ueberleben__mit_pc,3,6715,13501,0.49737056514332273
solidaritaet_ueberleben__mit_pc,4,6850,13501,0.5073698244574476
solidaritaet_ueberleben__mit_pc,5,6514,13501,0.4824827790534035
urzeitliche_kolosse__ohne_pc,1,3775,10854,0.34779804680302195
urzeitliche_kolosse__ohne_pc,2,3745,10854,0.3450340888151833
urzeitliche_kolosse__ohne_pc,3,3802,10854,0.35028560899207667
urzeitliche_kolosse__ohne_pc,4,3833,10854,0.3531416989128432
urzeitliche_kolosse__ohne_pc,5,4003,10854,0.36880412751059516
urzeitliche_kolosse__mit_pc,1,4628,11699,0.39558936661253097
urzeitliche_kolosse__mit_pc,2,4572,11699,0.3908026327036499
urzeitliche_kolosse__mit_pc,3,4693,11699,0.40114539704248225
urzeitliche_kolosse__mit_pc,4,4678,11699,0.39986323617403197
urzeitliche_kolosse__mit_pc,5,4781,11699,0.408667407470724
