matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
pc-fe01eb27-0,forschung_muskelkraft__ohne_pc,control,0,1,1,12,6,19,9,35,31,7,17,12,0,0
pc-fe01eb27-0,rudeljaeger__ohne_pc,control,1,0,0,12,-2,18,15,36,30,15,4,4,0,0
pc-84b49a6a-1,forschung_muskelkraft__ohne_pc,control,0,1,1,10,4,18,11,38,11,9,14,10,0,0
pc-84b49a6a-1,rudeljaeger__ohne_pc,control,1,0,0,10,0,13,13,33,14,12,5,6,0,1
pc-f09caca2-2,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,12,5,14,1,4,5,0,0,0
pc-f09caca2-2,rudeljaeger__ohne_pc,control,1,1,0,5,10,9,6,14,0,6,1,11,0,0
pc-774f5be5-3,forschung_muskelkraft__ohne_pc,control,0,0,1,4,-1,11,4,8,2,4,0,3,0,0
pc-774f5be5-3,rudeljaeger__ohne_pc,control,1,1,0,4,7,9,4,10,0,4,1,11,0,0
pc-18cc6832-4,forschung_muskelkraft__ohne_pc,control,0,1,1,10,2,16,10,38,11,9,11,13,0,0
pc-18cc6832-4,rudeljaeger__ohne_pc,control,1,0,0,10,-3,14,14,34,12,12,4,8,0,1
pc-9f7f1774-5,forschung_muskelkraft__ohne_pc,control,0,1,1,14,1,22,15,59,38,13,17,12,0,0
pc-9f7f1774-5,rudeljaeger__ohne_pc,control,1,0,0,14,-2,20,18,47,45,16,9,9,0,1
pc-0b6729ad-6,forschung_muskelkraft__ohne_pc,control,0,0,1,8,0,17,11,34,2,9,6,6,0,0
pc-0b6729ad-6,rudeljaeger__ohne_pc,control,1,1,0,8,4,11,11,26,6,10,6,10,0,0
pc-9219d8ef-7,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-1,17,7,24,3,5,3,0,0,0
pc-9219d8ef-7,rudeljaeger__ohne_pc,control,1,1,0,7,10,11,9,25,0,8,1,11,0,0
pc-3396e53c-8,forschung_muskelkraft__ohne_pc,control,0,1,1,9,6,16,9,30,11,8,11,11,0,0
pc-3396e53c-8,rudeljaeger__ohne_pc,control,1,0,0,9,-1,15,13,32,7,11,3,4,0,0
pc-ba49947e-9,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-1,13,7,25,2,6,8,6,0,0
pc-ba49947e-9,rudeljaeger__ohne_pc,control,1,1,0,7,4,13,9,20,2,8,3,11,0,0
pc-2631a6b7-10,forschung_muskelkraft__ohne_pc,control,0,1,1,8,2,19,9,30,4,8,8,11,0,0
pc-2631a6b7-10,rudeljaeger__ohne_pc,control,1,0,0,8,-1,12,11,24,7,10,3,8,0,0
pc-ace455f9-11,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-1,11,6,20,1,5,6,6,0,0
pc-ace455f9-11,rudeljaeger__ohne_pc,control,1,1,0,6,4,9,8,17,1,8,2,11,0,1
pc-4e616246-12,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,12,7,18,2,6,3,6,0,0
pc-4e616246-12,rudeljaeger__ohne_pc,control,1,1,0,6,4,10,7,18,1,6,5,10,0,0
pc-d5141188-13,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-3,17,9,25,3,7,6,0,0,0
pc-d5141188-13,rudeljaeger__ohne_pc,control,1,1,0,7,10,10,9,23,1,8,3,13,0,0
pc-40fc23c1-14,forschung_muskelkraft__ohne_pc,control,0,1,1,10,4,19,10,33,12,8,14,12,0,0
