matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
pc-d4d630b8-200,forschung_muskelkraft__mit_pc,control,0,11,2,6,4,12,2,10,true,true,true
pc-e23b6f3d-202,forschung_muskelkraft__mit_pc,control,0,6,4,4,2,10,4,6,true,false,false
pc-68ee1e80-203,rudeljaeger__mit_pc,control,1,6,2,8,9,19,2,17,true,false,false
pc-68ee1e80-203,forschung_muskelkraft__mit_pc,control,0,12,3,7,4,14,3,11,false,false,false
pc-ba0bb3ae-204,forschung_muskelkraft__mit_pc,control,0,6,2,6,6,14,2,12,true,false,false
pc-ba0bb3ae-204,rudeljaeger__mit_pc,control,1,8,3,4,6,13,3,10,false,false,false
pc-40be42f1-205,rudeljaeger__mit_pc,control,1,8,4,23,27,54,4,50,false,false,false
pc-c770f233-206,forschung_muskelkraft__mit_pc,control,0,6,2,8,6,16,2,14,false,false,false
pc-9f4136a4-208,rudeljaeger__mit_pc,control,1,6,2,9,10,21,2,19,false,false,false
pc-9f4136a4-208,forschung_muskelkraft__mit_pc,control,0,6,4,13,14,31,4,27,true,false,false
pc-aca67529-210,rudeljaeger__mit_pc,control,1,6,2,9,9,20,2,18,true,false,false
pc-8476b99a-212,forschung_muskelkraft__mit_pc,control,0,6,2,8,4,14,2,12,false,false,false
pc-0b2948dd-213,forschung_muskelkraft__mit_pc,control,0,10,5,7,4,16,5,11,false,false,false
pc-0b2948dd-213,rudeljaeger__mit_pc,control,1,11,5,13,16,34,5,29,false,false,false
pc-4d656366-218,rudeljaeger__mit_pc,control,1,8,2,9,10,21,2,19,true,true,true
pc-2535a7d7-220,rudeljaeger__mit_pc,control,1,6,2,9,10,21,2,19,false,false,false
pc-2535a7d7-220,forschung_muskelkraft__mit_pc,control,0,6,2,7,8,17,2,15,true,false,false
pc-abe85719-221,rudeljaeger__mit_pc,control,1,6,3,11,16,30,3,27,true,false,false
pc-abe85719-221,forschung_muskelkraft__mit_pc,control,0,12,1,3,2,6,1,5,false,false,false
pc-329ae65c-222,forschung_muskelkraft__mit_pc,control,0,6,3,7,6,16,3,13,false,false,false
pc-329ae65c-222,rudeljaeger__mit_pc,control,1,7,4,16,23,43,4,39,true,false,false
pc-b94d959e-223,forschung_muskelkraft__mit_pc,control,0,7,2,4,4,10,2,8,true,false,true
pc-17d06952-226,forschung_muskelkraft__mit_pc,control,0,6,5,7,6,18,5,13,false,false,false
pc-17d06952-226,rudeljaeger__mit_pc,control,1,7,3,14,18,35,3,32,true,false,false
pc-9e831894-227,forschung_muskelkraft__mit_pc,control,0,6,4,11,6,21,4,17,true,false,true
pc-efa0adc2-228,rudeljaeger__mit_pc,control,1,6,3,10,12,25,3,22,false,false,false
pc-76535d05-229,forschung_muskelkraft__mit_pc,control,0,7,2,3,0,5,2,3,true,false,false
pc-76535d05-229,rudeljaeger__mit_pc,control,1,10,4,19,20,43,4,39,false,false,false
pc-83b89b8a-231,rudeljaeger__mit_pc,control,1,6,3,12,14,29,3,26,false,false,false
pc-83b89b8a-231,forschung_muskelkraft__mit_pc,control,0,6,4,8,10,22,4,18,true,false,false
pc-8534d7aa-233,forschung_muskelkraft__mit_pc,control,0,7,2,4,4,10,2,8,true,true,true
pc-0be766ed-234,forschung_muskelkraft__mit_pc,control,0,6,3,9,8,20,3,17,true,true,true
pc-929a162f-235,rudeljaeger__mit_pc,control,1,6,1,3,5,9,1,8,false,false,false
pc-e3b7ab5d-236,forschung_muskelkraft__mit_pc,control,0,6,3,11,10,24,3,21,false,false,false
pc-6a6a5aa0-237,rudeljaeger__mit_pc,control,1,6,3,10,11,24,3,21,true,false,false
pc-6a6a5aa0-237,forschung_muskelkraft__mit_pc,control,0,6,3,8,10,21,3,18,false,false,false
pc-77cf9925-239,forschung_muskelkraft__mit_pc,control,0,6,5,7,6,18,5,13,true,false,false
pc-c8ed2e53-240,forschung_muskelkraft__mit_pc,control,0,6,4,16,12,32,4,28,true,false,false
pc-4f9fdd96-241,rudeljaeger__mit_pc,control,1,6,2,8,10,20,2,18,true,true,true
pc-4f9fdd96-241,forschung_muskelkraft__mit_pc,control,0,7,2,6,8,16,2,14,false,false,false
pc-ae22b149-244,forschung_muskelkraft__mit_pc,control,0,6,4,9,8,21,4,17,true,false,false
pc-bb87efce-246,forschung_muskelkraft__mit_pc,control,0,6,2,7,6,15,2,13,true,true,true
pc-423a9f11-247,forschung_muskelkraft__mit_pc,control,0,6,4,5,2,11,4,7,true,true,true
pc-69ac3c90-248,forschung_muskelkraft__mit_pc,control,0,6,2,7,6,15,2,13,true,true,true
pc-f05ecbd2-249,rudeljaeger__mit_pc,control,1,6,3,11,11,25,3,22,false,false,false
pc-f05ecbd2-249,forschung_muskelkraft__mit_pc,control,0,7,3,8,10,21,3,18,true,false,false
pc-fdc40a57-251,rudeljaeger__mit_pc,control,1,7,2,11,12,25,2,23,false,false,false
pc-fdc40a57-251,forschung_muskelkraft__mit_pc,control,0,12,4,7,6,17,4,13,true,true,true
pc-4ee1bf86-252,forschung_muskelkraft__mit_pc,control,0,6,3,14,12,29,3,26,false,false,false
pc-d5944ec8-253,forschung_muskelkraft__mit_pc,control,0,6,4,5,4,13,4,9,true,true,true
pc-5c46fe0b-254,rudeljaeger__mit_pc,control,1,6,3,12,12,27,3,24,true,true,true
pc-3417227c-256,rudeljaeger__mit_pc,control,1,6,3,10,12,25,3,22,false,false,false
pc-3417227c-256,forschung_muskelkraft__mit_pc,control,0,9,3,6,8,17,3,14,true,false,false
pc-c82f1043-259,rudeljaeger__mit_pc,control,1,6,2,9,9,20,2,18,false,false,false
pc-c82f1043-259,forschung_muskelkraft__mit_pc,control,0,6,4,13,12,29,4,25,true,false,false
pc-9fff54b4-261,rudeljaeger__mit_pc,control,1,6,2,7,9,18,2,16,false,false,false
pc-9fff54b4-261,forschung_muskelkraft__mit_pc,control,0,9,4,3,2,9,4,5,true,false,false
pc-26b1e3f7-262,rudeljaeger__mit_pc,control,1,9,5,26,28,59,5,54,false,false,false
pc-26b1e3f7-262,forschung_muskelkraft__mit_pc,control,0,13,4,11,12,27,4,23,true,false,false
pc-ad649339-263,forschung_muskelkraft__mit_pc,control,0,6,3,9,8,20,3,17,false,false,false
pc-ad649339-263,rudeljaeger__mit_pc,control,1,12,5,21,23,49,5,44,true,false,false
pc-0830d09d-265,rudeljaeger__mit_pc,control,1,6,3,12,14,29,3,26,false,false,false
pc-0830d09d-265,forschung_muskelkraft__mit_pc,control,0,12,5,18,18,41,5,36,true,true,true
pc-8ee37fdf-266,forschung_muskelkraft__mit_pc,control,0,6,5,9,8,22,5,17,true,false,false
pc-8ee37fdf-266,rudeljaeger__mit_pc,control,1,7,4,18,22,44,4,40,false,false,false
pc-66b3a450-268,rudeljaeger__mit_pc,control,1,6,2,8,11,21,2,19,false,false,false
pc-66b3a450-268,forschung_muskelkraft__mit_pc,control,0,7,5,6,6,17,5,12,true,false,false
pc-ed665392-269,rudeljaeger__mit_pc,control,1,7,4,19,25,48,4,44,false,false,false
pc-ed665392-269,forschung_muskelkraft__mit_pc,control,0,8,4,8,10,22,4,18,true,false,false
pc-facb9217-271,rudeljaeger__mit_pc,control,1,7,2,11,12,25,2,23,true,true,true
pc-d29bd688-273,rudeljaeger__mit_pc,control,1,6,4,16,17,37,4,33,false,false,false
pc-594e65cb-274,rudeljaeger__mit_pc,control,1,6,2,9,10,21,2,19,false,false,false
pc-594e65cb-274,forschung_muskelkraft__mit_pc,control,0,10,3,8,10,21,3,18,true,false,true
pc-311eaa3c-276,rudeljaeger__mit_pc,control,1,6,1,5,6,12,1,11,false,false,false
pc-311eaa3c-276,forschung_muskelkraft__mit_pc,control,0,9,2,2,0,4,2,2,true,false,false
pc-3e83e8c1-278,forschung_muskelkraft__mit_pc,control,0,8,3,4,4,11,3,8,true,true,true
pc-c5369803-279,forschung_muskelkraft__mit_pc,control,0,7,3,6,0,9,3,6,true,false,false
pc-c5369803-279,rudeljaeger__mit_pc,control,1,7,2,7,11,20,2,18,false,false,false
pc-eca83582-280,forschung_muskelkraft__mit_pc,control,0,7,4,12,8,24,4,20,false,false,false
pc-eca83582-280,rudeljaeger__mit_pc,control,1,10,4,0,0,4,4,0,true,false,false
pc-735ac4c5-281,forschung_muskelkraft__mit_pc,control,0,7,1,3,2,6,1,5,true,false,false
pc-735ac4c5-281,rudeljaeger__mit_pc,control,1,9,5,22,23,50,5,45,false,false,false
pc-fa0d7407-282,forschung_muskelkraft__mit_pc,control,0,6,5,7,6,18,5,13,true,false,false
pc-fa0d7407-282,rudeljaeger__mit_pc,control,1,9,5,25,27,57,5,52,false,false,false
pc-d1ddb878-284,forschung_muskelkraft__mit_pc,control,0,6,5,7,6,18,5,13,true,false,false
pc-d1ddb878-284,rudeljaeger__mit_pc,control,1,12,4,5,6,15,4,11,false,false,false
pc-589047bb-285,rudeljaeger__mit_pc,control,1,6,3,12,15,30,3,27,false,false,false
pc-589047bb-285,forschung_muskelkraft__mit_pc,control,0,6,5,7,8,20,5,15,true,false,false
pc-df42f6fd-286,rudeljaeger__mit_pc,control,1,6,3,12,14,29,3,26,true,true,true
pc-b7133b6e-288,forschung_muskelkraft__mit_pc,control,0,7,4,4,2,10,4,6,true,false,false
pc-b7133b6e-288,rudeljaeger__mit_pc,control,1,11,5,6,9,20,5,15,false,false,false
pc-3dc5cab1-289,rudeljaeger__mit_pc,control,1,7,3,15,17,35,3,32,true,true,true
pc-c47879f3-290,forschung_muskelkraft__mit_pc,control,0,10,3,8,6,17,3,14,false,false,false
pc-c47879f3-290,rudeljaeger__mit_pc,control,1,14,4,10,13,27,4,23,false,false,false
pc-9c48be64-292,forschung_muskelkraft__mit_pc,control,0,7,3,6,2,11,3,8,true,false,false
pc-9c48be64-292,rudeljaeger__mit_pc,control,1,9,5,24,28,57,5,52,false,false,false
pc-22fb4da7-293,forschung_muskelkraft__mit_pc,control,0,6,3,9,8,20,3,17,true,false,false
pc-22fb4da7-293,rudeljaeger__mit_pc,control,1,12,4,17,17,38,4,34,false,false,false
pc-a9adfce9-294,forschung_muskelkraft__mit_pc,control,0,6,4,9,4,17,4,13,true,true,true
pc-ab2a3909-296,forschung_muskelkraft__mit_pc,control,0,6,4,3,2,9,4,5,true,false,false
pc-31dcc84c-297,forschung_muskelkraft__mit_pc,control,0,6,5,7,6,18,5,13,true,false,false
pc-b88f778e-298,rudeljaeger__mit_pc,control,1,6,3,11,14,28,3,25,false,false,false
pc-b88f778e-298,forschung_muskelkraft__mit_pc,control,0,11,2,4,4,10,2,8,true,true,true
pc-3f4206d1-299,forschung_muskelkraft__mit_pc,control,0,6,4,10,8,22,4,18,false,false,false
pc-3f4206d1-299,rudeljaeger__mit_pc,control,1,13,5,15,18,38,5,33,false,false,false
pc-ea4361e6-300,rudeljaeger__mit_pc,control,1,7,2,8,10,20,2,18,false,false,false
pc-ea4361e6-300,forschung_muskelkraft__mit_pc,control,0,7,3,6,8,17,3,14,true,false,false
pc-70f61129-301,rudeljaeger__mit_pc,control,1,6,4,15,15,34,4,30,true,false,false
pc-70f61129-301,forschung_muskelkraft__mit_pc,control,0,7,4,7,6,17,4,13,false,false,false
pc-dcde2361-302,forschung_muskelkraft__mit_pc,control,0,6,1,4,4,9,1,8,true,true,true
pc-6390d2a4-303,rudeljaeger__mit_pc,control,1,6,3,14,16,33,3,30,false,false,false
pc-6390d2a4-303,forschung_muskelkraft__mit_pc,control,0,10,3,3,2,8,3,5,true,false,false
pc-cf78e4dc-304,forschung_muskelkraft__mit_pc,control,0,6,3,4,4,11,3,8,true,false,true
pc-b4ae67d2-308,forschung_muskelkraft__mit_pc,control,0,6,3,7,6,16,3,13,false,false,false
pc-b4ae67d2-308,rudeljaeger__mit_pc,control,1,6,4,15,17,36,4,32,true,false,false
pc-3b611715-309,rudeljaeger__mit_pc,control,1,7,4,17,22,43,4,39,true,false,false
pc-3b611715-309,forschung_muskelkraft__mit_pc,control,0,11,3,8,10,21,3,18,false,false,false
pc-2dfbd890-311,rudeljaeger__mit_pc,control,1,6,4,19,21,44,4,40,true,true,true
