cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,219,962,674,288,288,0.7006237006237006,0.52,0.5418181818181819,0.551063829787234,3.4658753709198815,2464,411,0,440,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,234,1004,459,545,545,0.45717131474103584,0.52,0.5272407732864675,0.5403225806451613,4.2178649237472765,2301,630,0,388,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,241,1010,936,74,74,0.9267326732673268,0.52,0.5295138888888888,0.5384615384615384,5.677350427350428,0,0,0,0,0,2808,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,1200,231,878,767,111,111,0.8735763097949886,0.52,0.5516569200779727,0.5844155844155844,7.086049543676662,5472,753,0,807,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,239,923,215,708,708,0.23293607800650054,0.52,0.550185873605948,0.5344827586206896,7.744186046511628,841,454,0,125,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,264,938,506,432,432,0.5394456289978679,0.52,0.5459558823529411,0.5412371134020618,6.563241106719367,2682,457,0,449,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,241,936,593,343,343,0.6335470085470085,0.52,0.5451197053406999,0.5851063829787234,9.202360876897133,6091,467,0,690,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,121,502,240,262,262,0.47808764940239046,0.52,0.549800796812749,0.5333333333333333,3.9208333333333334,1154,212,0,174,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,123,470,201,269,269,0.4276595744680851,0.52,0.5531914893617021,0.5572139303482587,6.417910447761194,480,84,0,107,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,120,476,402,74,74,0.8445378151260504,0.52,0.5798319327731093,0.6144278606965174,7.3283582089552235,1012,156,0,218,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,111,469,225,244,244,0.47974413646055436,0.52,0.5671641791044776,0.5288888888888889,9.04,1024,108,0,235,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,120,471,300,171,171,0.6369426751592356,0.52,0.5711252653927813,0.5866666666666667,8.623333333333333,1926,725,0,367,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,136,452,402,50,50,0.8893805309734514,0.52,0.6150442477876106,0.654228855721393,7.079601990049751,2641,318,0,436,0,0,3558,3897,0,0,0,0
ratte,rudeljaeger,standard,1400,283,833,706,127,127,0.8475390156062425,0.5671428571428572,0.5228070175438596,0.4871287128712871,4.747875354107649,1364,1152,0,297,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,1400,280,881,742,139,139,0.8422247446083996,0.5671428571428572,0.5187074829931972,0.49224806201550386,4.664420485175202,1420,1183,0,298,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,1400,291,884,808,76,76,0.9140271493212669,0.5671428571428572,0.5360134003350083,0.5212014134275619,4.941831683168317,2290,1466,0,434,0,0,0,0,0,0,0,0
baer,rudeljaeger,standard,1400,279,684,626,58,58,0.9152046783625731,0.5671428571428572,0.4442105263157895,0.4170403587443946,6.538338658146965,2162,215,0,299,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,1400,250,858,689,169,169,0.803030303030303,0.5671428571428572,0.5161839863713799,0.45491803278688525,5.982583454281568,1551,348,0,268,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger,standard,1400,274,856,686,170,170,0.8014018691588785,0.5671428571428572,0.5145797598627787,0.40652173913043477,6.981049562682216,0,0,0,0,1372,0,0,0,520,150,0,0
pferd,rudeljaeger,standard,1400,309,907,852,55,55,0.9393605292171996,0.5671428571428572,0.5412541254125413,0.5298126064735945,5.245305164319249,2981,1103,0,544,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger,standard,700,146,434,369,65,65,0.8502304147465438,0.5671428571428572,0.4631336405529954,0.4146341463414634,5.528455284552845,495,91,0,94,0,0,0,0,0,0,0,0
luchs,rudeljaeger,standard,700,125,367,341,26,26,0.9291553133514986,0.5671428571428572,0.4822888283378747,0.4633431085043988,6.656891495601173,1465,495,0,243,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger,standard,700,146,333,299,34,34,0.8978978978978979,0.5671428571428572,0.4174174174174174,0.3745819397993311,7.1003344481605355,949,32,0,141,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger,standard,700,135,347,310,37,37,0.8933717579250721,0.5671428571428572,0.42939481268011526,0.38387096774193546,7.158064516129032,973,34,0,148,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger,standard,700,139,424,288,136,136,0.6792452830188679,0.5671428571428572,0.47877358490566035,0.3402777777777778,6.736111111111111,740,77,0,154,0,0,0,0,0,0,0,0
pc_principal,rudeljaeger,standard,700,143,319,255,64,64,0.799373040752351,0.5671428571428572,0.5172413793103449,0.41568627450980394,7.329411764705882,1437,73,0,223,0,0,2638,2973,0,0,0,0
