deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,50,30,19,1,0.6122448979591837,9.06,4.2
forschung_muskelkraft,rudeljaeger,standard,standard,1,50,22,28,0,0.44,8.68,5.52
forschung_muskelkraft,rudeljaeger,aggressive,standard,0,50,20,30,0,0.4,7.98,5.38
forschung_muskelkraft,rudeljaeger,aggressive,standard,1,50,23,25,2,0.4791666666666667,9.08,5.4
forschung_muskelkraft,rudeljaeger,standard,control,0,50,25,24,1,0.5102040816326531,8.14,5.2
forschung_muskelkraft,rudeljaeger,standard,control,1,50,29,21,0,0.58,9.54,5.08
forschung_muskelkraft,rudeljaeger,random,standard,0,50,4,46,0,0.08,5.4,7.9
forschung_muskelkraft,rudeljaeger,random,standard,1,50,2,48,0,0.04,5.62,8.22
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,50,25,21,4,0.5434782608695652,12.58,4.22
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,50,28,17,5,0.6222222222222222,11.6,4.38
forschung_muskelkraft,solidaritaet_ueberleben,aggressive,standard,0,50,22,26,2,0.4583333333333333,10.74,5.3
forschung_muskelkraft,solidaritaet_ueberleben,aggressive,standard,1,50,16,31,3,0.3404255319148936,12.02,3.82
forschung_muskelkraft,solidaritaet_ueberleben,standard,control,0,50,33,13,4,0.717391304347826,11.92,4.4
forschung_muskelkraft,solidaritaet_ueberleben,standard,control,1,50,26,18,6,0.5909090909090909,12.04,4.26
forschung_muskelkraft,solidaritaet_ueberleben,random,standard,0,50,2,47,1,0.04081632653061224,8.5,6.68
forschung_muskelkraft,solidaritaet_ueberleben,random,standard,1,50,4,46,0,0.08,8.7,7.2
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,50,21,27,2,0.4375,9.28,4.52
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,50,22,25,3,0.46808510638297873,9.78,4.32
forschung_muskelkraft,urzeitliche_kolosse,aggressive,standard,0,50,19,31,0,0.38,8.52,3.68
forschung_muskelkraft,urzeitliche_kolosse,aggressive,standard,1,50,21,28,1,0.42857142857142855,8.62,4.54
forschung_muskelkraft,urzeitliche_kolosse,standard,control,0,50,22,28,0,0.44,8.1,5.68
forschung_muskelkraft,urzeitliche_kolosse,standard,control,1,50,29,21,0,0.58,9.4,3.96
forschung_muskelkraft,urzeitliche_kolosse,random,standard,0,50,7,42,1,0.14285714285714285,6.1,6.34
forschung_muskelkraft,urzeitliche_kolosse,random,standard,1,50,3,47,0,0.06,5.92,7.7
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,50,26,23,1,0.5306122448979592,9.64,4.2
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,50,20,29,1,0.40816326530612246,10.38,4.04
rudeljaeger,solidaritaet_ueberleben,aggressive,standard,0,50,21,27,2,0.4375,10.38,4
rudeljaeger,solidaritaet_ueberleben,aggressive,standard,1,50,24,25,1,0.4897959183673469,9.8,5.06
rudeljaeger,solidaritaet_ueberleben,standard,control,0,50,20,29,1,0.40816326530612246,9.94,4.1
rudeljaeger,solidaritaet_ueberleben,standard,control,1,50,17,32,1,0.3469387755102041,9.78,4.14
rudeljaeger,solidaritaet_ueberleben,random,standard,0,50,16,34,0,0.32,8.1,4.7
rudeljaeger,solidaritaet_ueberleben,random,standard,1,50,9,41,0,0.18,8.3,4.5
rudeljaeger,urzeitliche_kolosse,standard,standard,0,50,34,16,0,0.68,7.56,4.52
rudeljaeger,urzeitliche_kolosse,standard,standard,1,50,24,25,1,0.4897959183673469,7.96,4.3
rudeljaeger,urzeitliche_kolosse,aggressive,standard,0,50,36,14,0,0.72,6.3,4.76
rudeljaeger,urzeitliche_kolosse,aggressive,standard,1,50,31,19,0,0.62,7.58,4.78
rudeljaeger,urzeitliche_kolosse,standard,control,0,50,32,18,0,0.64,7.62,4.72
rudeljaeger,urzeitliche_kolosse,standard,control,1,50,28,22,0,0.56,8.1,3.98
rudeljaeger,urzeitliche_kolosse,random,standard,0,50,14,35,1,0.2857142857142857,6.34,4.58
rudeljaeger,urzeitliche_kolosse,random,standard,1,50,13,37,0,0.26,6.5,4.4
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,50,24,25,1,0.4897959183673469,10.04,4.02
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,50,14,35,1,0.2857142857142857,9.76,4.36
solidaritaet_ueberleben,urzeitliche_kolosse,aggressive,standard,0,50,20,30,0,0.4,10.14,4.98
solidaritaet_ueberleben,urzeitliche_kolosse,aggressive,standard,1,50,22,27,1,0.4489795918367347,10.2,5.2
solidaritaet_ueberleben,urzeitliche_kolosse,standard,control,0,50,24,26,0,0.48,9.26,5
solidaritaet_ueberleben,urzeitliche_kolosse,standard,control,1,50,27,22,1,0.5510204081632653,10.62,4.14
solidaritaet_ueberleben,urzeitliche_kolosse,random,standard,0,50,2,48,0,0.04,7.52,7.18
solidaritaet_ueberleben,urzeitliche_kolosse,random,standard,1,50,1,49,0,0.02,6.68,7.48
