deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,5295,12066,0.43883639980109396
forschung_muskelkraft,2,5219,12066,0.4325377092657053
forschung_muskelkraft,3,5385,12066,0.4462953754351069
forschung_muskelkraft,4,5386,12066,0.4463782529421515
forschung_muskelkraft,5,5322,12066,0.44107409249129786
rudeljaeger,1,4662,11089,0.42041662909189287
rudeljaeger,2,4712,11089,0.42492560194787626
rudeljaeger,3,4659,11089,0.4201460907205339
rudeljaeger,4,4661,11089,0.4203264496347732
rudeljaeger,5,4790,11089,0.4319595996032104
solidaritaet_ueberleben,1,6590,13132,0.501827596710326
solidaritaet_ueberleben,2,6364,13132,0.48461772768809014
solidaritaet_ueberleben,3,6309,13132,0.4804294852269266
solidaritaet_ueberleben,4,6302,13132,0.47989643618641487
solidaritaet_ueberleben,5,6263,13132,0.47692659153213524
urzeitliche_kolosse,1,4345,11095,0.39161784587652093
urzeitliche_kolosse,2,4332,11095,0.3904461469130239
urzeitliche_kolosse,3,4347,11095,0.3917981072555205
urzeitliche_kolosse,4,4404,11095,0.3969355565570077
urzeitliche_kolosse,5,4535,11095,0.40874267688147814
