matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-774b46ba-0,forschung_muskelkraft,standard,0,0,1,6,0,11,7,20,1,5,5,6,0,0
match-774b46ba-0,rudeljaeger,standard,1,1,0,6,4,10,8,20,1,7,2,10,0,0
match-f098b777-1,forschung_muskelkraft,standard,0,0,1,9,0,13,12,40,4,10,7,1,0,0
match-f098b777-1,rudeljaeger,standard,1,1,0,9,9,13,12,34,7,11,6,10,0,0
match-84b0853f-2,forschung_muskelkraft,standard,0,0,1,5,-1,12,2,9,6,2,2,5,0,0
match-84b0853f-2,rudeljaeger,standard,1,1,0,5,5,8,4,11,3,4,0,11,0,0
match-fdfdf5fc-3,forschung_muskelkraft,standard,0,0,1,7,-2,17,7,25,2,6,6,3,0,0
match-fdfdf5fc-3,rudeljaeger,standard,1,1,0,7,7,11,8,24,1,8,2,12,0,0
match-9215c3c4-4,forschung_muskelkraft,standard,0,0,1,7,0,16,7,25,3,6,4,8,0,0
match-9215c3c4-4,rudeljaeger,standard,1,1,0,7,2,11,8,26,1,7,3,10,0,1
match-0b633482-5,forschung_muskelkraft,standard,0,1,1,10,2,21,10,40,11,9,11,10,0,0
match-0b633482-5,rudeljaeger,standard,1,0,0,10,0,14,13,32,14,12,5,8,0,3
match-9f7b0249-6,forschung_muskelkraft,standard,0,0,1,5,0,14,4,13,2,4,3,0,0,0
match-9f7b0249-6,rudeljaeger,standard,1,1,0,5,10,9,6,15,0,6,1,10,0,0
match-18c87307-7,forschung_muskelkraft,standard,0,1,1,9,1,18,10,38,7,8,7,10,0,0
match-18c87307-7,rudeljaeger,standard,1,0,0,9,0,14,12,32,5,10,3,9,0,0
match-ace040ce-8,forschung_muskelkraft,standard,0,1,1,13,1,22,14,52,26,12,12,11,0,0
match-ace040ce-8,rudeljaeger,standard,1,0,0,13,-1,19,16,42,39,15,8,9,0,0
match-262db18c-9,forschung_muskelkraft,standard,0,1,1,12,3,22,17,63,9,15,12,13,0,0
match-262db18c-9,rudeljaeger,standard,1,0,0,12,-3,16,15,37,32,14,10,7,0,0
match-ba459f53-10,forschung_muskelkraft,standard,0,1,1,10,6,19,12,43,8,10,9,11,0,0
match-ba459f53-10,rudeljaeger,standard,1,0,0,10,-1,17,14,36,10,12,5,4,0,0
match-3392f011-11,forschung_muskelkraft,standard,0,0,1,5,0,11,5,14,1,4,4,9,0,0
match-3392f011-11,rudeljaeger,standard,1,1,0,5,1,10,5,12,0,5,1,10,0,0
match-c7aaddd8-12,forschung_muskelkraft,standard,0,1,1,17,3,22,17,69,67,15,14,7,0,0
match-c7aaddd8-12,rudeljaeger,standard,1,0,0,17,0,22,20,56,82,18,10,4,0,1
match-40f82e96-13,forschung_muskelkraft,standard,0,,1,16,-1,22,12,48,72,10,14,8,0,0
match-40f82e96-13,rudeljaeger,standard,1,,0,16,-1,21,18,47,75,16,7,8,0,0
match-d5101c5d-14,forschung_muskelkraft,standard,0,1,1,9,3,16,11,37,3,9,10,10,0,0
match-d5101c5d-14,rudeljaeger,standard,1,0,0,9,0,12,12,29,9,11,5,7,0,0
match-4e5d6d1b-15,forschung_muskelkraft,standard,0,0,1,4,-1,11,2,6,4,2,2,2,0,0
match-4e5d6d1b-15,rudeljaeger,standard,1,1,0,4,8,7,4,7,3,4,0,11,0,0
match-0c215292-16,forschung_muskelkraft,standard,0,1,1,11,3,19,9,29,26,7,11,11,0,0
match-0c215292-16,rudeljaeger,standard,1,0,0,11,-1,15,14,37,21,13,2,7,0,0
match-856ea34f-17,forschung_muskelkraft,standard,0,1,1,15,1,22,13,53,58,11,13,9,0,0
match-856ea34f-17,rudeljaeger,standard,1,0,0,15,0,20,19,54,54,17,6,8,0,2
match-19869117-18,forschung_muskelkraft,standard,0,0,1,5,0,13,2,9,6,2,2,0,0,0
match-19869117-18,rudeljaeger,standard,1,1,0,5,10,8,6,15,0,6,0,10,0,0
match-92d3e1d4-19,forschung_muskelkraft,standard,0,0,1,5,0,12,6,13,2,4,1,3,0,0
match-92d3e1d4-19,rudeljaeger,standard,1,1,0,5,7,9,5,14,1,5,1,10,0,0
match-26ebcf9c-20,forschung_muskelkraft,standard,0,0,1,3,0,8,0,0,3,0,0,0,0,0
match-26ebcf9c-20,rudeljaeger,standard,1,1,0,3,10,8,2,2,1,2,0,10,0,0
match-a0392059-21,forschung_muskelkraft,standard,0,1,1,11,1,22,12,43,17,10,9,11,0,0
match-a0392059-21,rudeljaeger,standard,1,0,0,11,-1,15,14,45,14,13,5,9,0,2
match-34510e21-22,forschung_muskelkraft,standard,0,1,1,8,4,16,9,30,2,7,9,14,0,0
match-34510e21-22,rudeljaeger,standard,1,0,0,8,-4,11,11,26,6,10,2,6,0,0
match-ad9e7ede-23,forschung_muskelkraft,standard,0,1,1,5,2,11,5,14,1,4,4,12,0,0
match-ad9e7ede-23,rudeljaeger,standard,1,0,0,5,-2,9,5,14,1,5,1,8,0,0
match-41b64ca6-24,forschung_muskelkraft,standard,0,0,1,12,-1,22,10,41,25,8,9,9,0,0
match-41b64ca6-24,rudeljaeger,standard,1,1,0,12,1,17,15,46,24,13,6,11,0,2
match-bb03bd63-25,forschung_muskelkraft,standard,0,0,1,4,0,10,3,8,2,3,0,0,0,0
match-bb03bd63-25,rudeljaeger,standard,1,1,0,4,10,8,3,9,1,3,1,10,0,0
match-4f1b8b2b-26,forschung_muskelkraft,standard,0,0,1,5,-4,11,4,12,2,4,4,0,0,0
match-4f1b8b2b-26,rudeljaeger,standard,1,1,0,5,10,10,5,15,0,5,1,14,0,0
