matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-f098b777-1,rudeljaeger,standard,1,7,4,19,21,44,4,40,true,false,true
match-fdfdf5fc-3,rudeljaeger,standard,1,6,3,10,12,25,3,22,true,true,true
match-fdfdf5fc-3,forschung_muskelkraft,standard,0,7,2,8,10,20,2,18,false,false,false
match-0b633482-5,rudeljaeger,standard,1,6,3,11,11,25,3,22,false,false,false
match-0b633482-5,forschung_muskelkraft,standard,0,6,3,10,12,25,3,22,true,false,false
match-18c87307-7,rudeljaeger,standard,1,6,2,5,11,18,2,16,false,false,false
match-18c87307-7,forschung_muskelkraft,standard,0,6,3,10,10,23,3,20,true,false,false
match-ace040ce-8,rudeljaeger,standard,1,6,2,5,11,18,2,16,false,false,false
match-ace040ce-8,forschung_muskelkraft,standard,0,10,5,3,0,8,5,3,true,false,false
match-262db18c-9,rudeljaeger,standard,1,7,3,15,19,37,3,34,false,false,false
match-262db18c-9,forschung_muskelkraft,standard,0,11,1,2,2,5,1,4,true,true,true
match-ba459f53-10,forschung_muskelkraft,standard,0,6,2,8,6,16,2,14,true,false,false
match-ba459f53-10,rudeljaeger,standard,1,8,5,20,21,46,5,41,false,false,false
match-c7aaddd8-12,forschung_muskelkraft,standard,0,6,3,8,6,17,3,14,true,false,false
match-c7aaddd8-12,rudeljaeger,standard,1,14,4,13,12,29,4,25,false,false,false
match-40f82e96-13,rudeljaeger,standard,1,6,2,7,9,18,2,16,false,false,false
match-40f82e96-13,forschung_muskelkraft,standard,0,6,5,7,8,20,5,15,false,false,false
match-d5101c5d-14,rudeljaeger,standard,1,6,2,9,9,20,2,18,false,false,false
match-d5101c5d-14,forschung_muskelkraft,standard,0,6,3,9,8,20,3,17,true,false,false
match-0c215292-16,rudeljaeger,standard,1,6,3,8,9,20,3,17,false,false,false
match-0c215292-16,forschung_muskelkraft,standard,0,8,5,12,12,29,5,24,true,false,false
match-856ea34f-17,rudeljaeger,standard,1,6,3,11,15,29,3,26,false,false,false
match-856ea34f-17,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-a0392059-21,rudeljaeger,standard,1,6,2,7,10,19,2,17,false,false,false
match-a0392059-21,forschung_muskelkraft,standard,0,6,5,11,12,28,5,23,true,false,false
match-41b64ca6-24,rudeljaeger,standard,1,6,3,12,16,31,3,28,true,false,false
match-41b64ca6-24,forschung_muskelkraft,standard,0,8,5,11,12,28,5,23,false,false,false
match-c868fbe8-27,forschung_muskelkraft,standard,0,6,5,12,8,25,5,20,true,false,false
match-5c80c9b0-28,forschung_muskelkraft,standard,0,9,1,4,4,9,1,8,true,false,false
match-69e60835-30,rudeljaeger,standard,1,6,3,9,9,21,3,18,false,false,false
match-69e60835-30,forschung_muskelkraft,standard,0,6,4,11,12,27,4,23,true,false,false
