cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,4400,888,3463,2840,623,623,0.8200981807681201,0.5236363636363637,0.5287187039764359,0.523060227889311,4.750352112676056,9865,2908,0,1660,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,4400,862,3605,2055,1550,1550,0.5700416088765603,0.5236363636363637,0.5328852616418627,0.5425101214574899,6.079318734793187,8741,2236,0,1417,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,4400,905,3585,3349,236,236,0.9341701534170154,0.5236363636363637,0.530360531309298,0.5386148480318884,6.23768289041505,0,0,0,0,0,10047,0,0,0,0,0,0
mobilmachung,forschung_muskelkraft,standard,2200,431,1781,1148,633,633,0.6445816956765862,0.5236363636363637,0.523301516002246,0.4625435540069686,5.871080139372823,0,0,0,0,0,0,0,0,0,0,2177,0
die_fakultaet,forschung_muskelkraft,standard,2200,429,1554,1474,80,80,0.9485199485199485,0.5236363636363637,0.5540540540540541,0.5576662143826323,7.141112618724559,9007,1040,0,1383,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,4400,899,3372,1958,1414,1414,0.5806642941874258,0.5236363636363637,0.5275434243176179,0.5183450429352069,8.99438202247191,6887,2631,0,1063,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,4400,866,3310,2632,678,678,0.795166163141994,0.5236363636363637,0.5329974811083124,0.5258467023172906,7.395896656534954,13161,1231,0,2214,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,4400,846,3409,2847,562,562,0.8351422704605456,0.5236363636363637,0.5326409495548962,0.5420240137221269,8.169301018616087,23985,2456,0,3082,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,2200,402,1782,1019,763,763,0.5718294051627385,0.5236363636363637,0.5314253647586981,0.4975466143277723,6.204121687929343,3968,791,0,658,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,2200,475,1674,1169,505,505,0.6983273596176822,0.5236363636363637,0.5370370370370371,0.5372112917023096,7.838323353293413,2662,317,0,534,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,2200,455,1733,1610,123,123,0.9290248124639354,0.5236363636363637,0.5447201384881708,0.5658385093167702,7.278260869565218,4812,487,0,950,0,0,0,0,0,0,0,0
