deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,50,49,1,0.5050505050505051,8.97,4.56
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,42,56,2,0.42857142857142855,8.85,5
forschung_muskelkraft,rudeljaeger,aggressive,standard,0,100,49,49,2,0.5,8.41,4.74
forschung_muskelkraft,rudeljaeger,aggressive,standard,1,100,49,51,0,0.49,8.74,5.01
forschung_muskelkraft,rudeljaeger,standard,control,0,100,53,47,0,0.53,8.42,4.16
forschung_muskelkraft,rudeljaeger,standard,control,1,100,58,39,3,0.5979381443298969,9.54,4.55
forschung_muskelkraft,rudeljaeger,random,standard,0,100,8,92,0,0.08,5.49,7.95
forschung_muskelkraft,rudeljaeger,random,standard,1,100,2,98,0,0.02,5.34,8.34
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,56,41,3,0.5773195876288659,11.75,4.2
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,55,42,3,0.5670103092783505,11.33,4.49
forschung_muskelkraft,solidaritaet_ueberleben,aggressive,standard,0,100,53,44,3,0.5463917525773195,11.17,4.45
forschung_muskelkraft,solidaritaet_ueberleben,aggressive,standard,1,100,52,46,2,0.5306122448979592,11.03,4.56
forschung_muskelkraft,solidaritaet_ueberleben,standard,control,0,100,48,50,2,0.4897959183673469,11.04,4.25
forschung_muskelkraft,solidaritaet_ueberleben,standard,control,1,100,45,54,1,0.45454545454545453,11.49,3.97
forschung_muskelkraft,solidaritaet_ueberleben,random,standard,0,100,10,90,0,0.1,8.41,6.73
forschung_muskelkraft,solidaritaet_ueberleben,random,standard,1,100,8,92,0,0.08,8.12,7.29
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,41,59,0,0.41,8.29,4.76
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,44,56,0,0.44,8.85,4.63
forschung_muskelkraft,urzeitliche_kolosse,aggressive,standard,0,100,38,62,0,0.38,8.27,4.19
forschung_muskelkraft,urzeitliche_kolosse,aggressive,standard,1,100,42,58,0,0.42,8.47,4.36
forschung_muskelkraft,urzeitliche_kolosse,standard,control,0,100,37,63,0,0.37,8.29,4.18
forschung_muskelkraft,urzeitliche_kolosse,standard,control,1,100,53,47,0,0.53,8.77,4.03
forschung_muskelkraft,urzeitliche_kolosse,random,standard,0,100,6,94,0,0.06,6.23,6.73
forschung_muskelkraft,urzeitliche_kolosse,random,standard,1,100,4,96,0,0.04,6.15,7.25
forschung_muskelkraft,forschung_muskelkraft,standard,standard,0,100,51,45,4,0.53125,11.75,4.17
forschung_muskelkraft,forschung_muskelkraft,standard,standard,1,100,54,44,2,0.5510204081632653,12.15,4.46
forschung_muskelkraft,forschung_muskelkraft,aggressive,standard,0,100,51,47,2,0.5204081632653061,11.59,4.25
forschung_muskelkraft,forschung_muskelkraft,aggressive,standard,1,100,51,46,3,0.5257731958762887,12.26,4.14
forschung_muskelkraft,forschung_muskelkraft,standard,control,0,100,39,55,6,0.4148936170212766,11.93,4.27
forschung_muskelkraft,forschung_muskelkraft,standard,control,1,100,51,47,2,0.5204081632653061,11.3,4.43
forschung_muskelkraft,forschung_muskelkraft,random,standard,0,100,4,96,0,0.04,7.84,5.85
forschung_muskelkraft,forschung_muskelkraft,random,standard,1,100,3,97,0,0.03,7.8,6.56
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,40,60,0,0.4,10.05,3.96
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,35,63,2,0.35714285714285715,9.33,4.39
rudeljaeger,solidaritaet_ueberleben,aggressive,standard,0,100,43,57,0,0.43,9.44,4.52
rudeljaeger,solidaritaet_ueberleben,aggressive,standard,1,100,39,60,1,0.3939393939393939,8.92,4.57
rudeljaeger,solidaritaet_ueberleben,standard,control,0,100,54,45,1,0.5454545454545454,9.06,5.07
rudeljaeger,solidaritaet_ueberleben,standard,control,1,100,37,62,1,0.37373737373737376,9.25,4.19
rudeljaeger,solidaritaet_ueberleben,random,standard,0,100,15,85,0,0.15,8.16,4.61
rudeljaeger,solidaritaet_ueberleben,random,standard,1,100,9,91,0,0.09,7.73,4.55
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,54,46,0,0.54,7.93,3.64
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,54,46,0,0.54,8,4.09
rudeljaeger,urzeitliche_kolosse,aggressive,standard,0,100,53,47,0,0.53,7.61,4
rudeljaeger,urzeitliche_kolosse,aggressive,standard,1,100,55,45,0,0.55,7.16,4.11
rudeljaeger,urzeitliche_kolosse,standard,control,0,100,51,49,0,0.51,7.9,4.38
rudeljaeger,urzeitliche_kolosse,standard,control,1,100,58,42,0,0.58,7.26,4.11
rudeljaeger,urzeitliche_kolosse,random,standard,0,100,19,81,0,0.19,6.4,4.25
rudeljaeger,urzeitliche_kolosse,random,standard,1,100,12,88,0,0.12,6.29,4.93
rudeljaeger,rudeljaeger,standard,standard,0,100,50,50,0,0.5,8.15,3.7
rudeljaeger,rudeljaeger,standard,standard,1,100,59,41,0,0.59,7.93,3.48
rudeljaeger,rudeljaeger,aggressive,standard,0,100,52,48,0,0.52,8.08,3.46
rudeljaeger,rudeljaeger,aggressive,standard,1,100,49,51,0,0.49,7.53,3.35
rudeljaeger,rudeljaeger,standard,control,0,100,54,46,0,0.54,8.21,4
rudeljaeger,rudeljaeger,standard,control,1,100,51,49,0,0.51,8.19,3.92
rudeljaeger,rudeljaeger,random,standard,0,100,13,87,0,0.13,6.01,5.12
rudeljaeger,rudeljaeger,random,standard,1,100,6,94,0,0.06,5.64,5.22
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,39,61,0,0.39,9.18,4.68
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,39,60,1,0.3939393939393939,9.92,4.34
solidaritaet_ueberleben,urzeitliche_kolosse,aggressive,standard,0,100,43,57,0,0.43,9.42,4.26
solidaritaet_ueberleben,urzeitliche_kolosse,aggressive,standard,1,100,34,65,1,0.3434343434343434,10.13,3.9
solidaritaet_ueberleben,urzeitliche_kolosse,standard,control,0,100,46,54,0,0.46,9.46,4.4
solidaritaet_ueberleben,urzeitliche_kolosse,standard,control,1,100,37,62,1,0.37373737373737376,9.9,4.37
solidaritaet_ueberleben,urzeitliche_kolosse,random,standard,0,100,2,98,0,0.02,6.6,7.1
solidaritaet_ueberleben,urzeitliche_kolosse,random,standard,1,100,7,93,0,0.07,7.01,6.66
solidaritaet_ueberleben,solidaritaet_ueberleben,standard,standard,0,100,48,46,6,0.5106382978723404,12.2,4.32
solidaritaet_ueberleben,solidaritaet_ueberleben,standard,standard,1,100,42,55,3,0.4329896907216495,12.05,4.97
solidaritaet_ueberleben,solidaritaet_ueberleben,aggressive,standard,0,100,51,44,5,0.5368421052631579,11.89,4.77
