matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-ccec581e-0,forschung_muskelkraft,standard,0,1,1,14,1,22,20,73,18,17,15,10,0,0
match-ccec581e-0,rudeljaeger,standard,1,0,0,14,0,19,18,52,41,16,16,9,0,1
match-4639a8dc-1,forschung_muskelkraft,standard,0,1,1,13,1,20,13,51,27,11,9,13,0,0
match-4639a8dc-1,rudeljaeger,standard,1,0,0,13,-3,18,16,43,38,14,6,9,0,1
match-da5196a3-2,forschung_muskelkraft,standard,0,1,1,11,2,18,13,46,14,10,10,10,0,0
match-da5196a3-2,rudeljaeger,standard,1,0,0,11,0,16,15,36,21,13,7,8,0,0
match-539ee761-3,forschung_muskelkraft,standard,0,1,1,9,3,16,9,36,5,8,9,13,0,0
match-539ee761-3,rudeljaeger,standard,1,0,0,9,-3,13,13,36,6,11,4,7,0,0
match-e7b6d528-4,forschung_muskelkraft,standard,0,1,1,9,6,19,11,42,2,10,9,11,0,0
match-e7b6d528-4,rudeljaeger,standard,1,0,0,9,-1,14,13,38,3,11,7,4,0,0
match-610425e6-5,forschung_muskelkraft,standard,0,0,1,9,0,18,11,37,4,9,10,7,0,0
match-610425e6-5,rudeljaeger,standard,1,1,0,9,3,14,13,37,2,12,8,10,0,1
match-f51c13ad-6,forschung_muskelkraft,standard,0,1,1,14,4,23,18,67,28,15,15,14,0,0
match-f51c13ad-6,rudeljaeger,standard,1,0,0,14,-4,20,18,47,49,16,12,6,0,0
match-6e69646b-7,forschung_muskelkraft,standard,0,0,1,8,-3,16,9,33,2,8,5,8,0,0
match-6e69646b-7,rudeljaeger,standard,1,1,0,8,2,11,11,32,2,9,4,13,0,1
match-97575e0a-8,forschung_muskelkraft,standard,0,0,1,6,0,13,6,20,1,5,3,2,0,0
match-97575e0a-8,rudeljaeger,standard,1,1,0,6,8,10,8,20,1,6,2,10,0,0
match-10a4aec8-9,forschung_muskelkraft,standard,0,0,1,8,-1,13,10,31,3,8,8,7,0,0
match-10a4aec8-9,rudeljaeger,standard,1,1,0,8,3,11,11,29,4,11,4,11,0,0
match-a4bc9c8f-10,forschung_muskelkraft,standard,0,0,1,6,0,14,6,20,1,5,2,0,0,0
match-a4bc9c8f-10,rudeljaeger,standard,1,1,0,6,10,10,7,17,1,6,4,10,0,0
match-1e09ed4d-11,forschung_muskelkraft,standard,0,0,1,7,-1,13,8,25,2,7,8,5,0,0
match-1e09ed4d-11,rudeljaeger,standard,1,1,0,7,5,12,9,26,0,9,3,11,0,0
match-b221db14-12,forschung_muskelkraft,standard,0,0,1,9,-2,18,11,42,3,9,8,9,0,0
match-b221db14-12,rudeljaeger,standard,1,1,0,9,1,14,13,35,2,12,7,12,0,0
match-2b6f2bd2-13,forschung_muskelkraft,standard,0,1,1,8,1,15,10,34,2,8,8,10,0,0
match-2b6f2bd2-13,rudeljaeger,standard,1,0,0,8,0,14,11,32,3,11,6,9,0,1
match-bf871999-14,forschung_muskelkraft,standard,0,0,1,11,0,17,15,54,9,12,12,7,0,0
match-bf871999-14,rudeljaeger,standard,1,1,0,11,3,15,15,40,18,13,11,10,0,0
match-38d46a57-15,forschung_muskelkraft,standard,0,1,1,5,1,11,5,13,1,4,4,11,0,0
match-38d46a57-15,rudeljaeger,standard,1,0,0,5,-1,9,7,14,1,6,0,9,0,0
match-61c243f6-16,forschung_muskelkraft,standard,0,0,1,9,-3,18,9,32,4,7,9,8,0,0
match-61c243f6-16,rudeljaeger,standard,1,1,0,9,2,12,12,37,1,11,6,13,0,1
match-db0fb4b3-17,forschung_muskelkraft,standard,0,0,1,9,0,18,13,42,3,10,5,6,0,0
match-db0fb4b3-17,rudeljaeger,standard,1,1,0,9,4,12,10,30,7,9,8,10,0,0
match-6f27827b-18,forschung_muskelkraft,standard,0,1,1,12,3,21,17,64,6,15,13,13,0,0
match-6f27827b-18,rudeljaeger,standard,1,0,0,12,-3,17,16,43,25,14,10,7,0,1
match-e874f338-19,forschung_muskelkraft,standard,0,1,1,14,4,23,16,62,33,14,15,14,0,0
match-e874f338-19,rudeljaeger,standard,1,0,0,14,-4,19,17,47,46,15,11,6,0,1
match-7c8cc100-20,forschung_muskelkraft,standard,0,0,1,8,-2,13,8,32,1,6,3,4,0,0
match-7c8cc100-20,rudeljaeger,standard,1,1,0,8,6,14,10,30,2,8,5,12,0,1
match-f5da31bd-21,forschung_muskelkraft,standard,0,0,1,7,-1,13,7,27,1,5,5,5,0,0
match-f5da31bd-21,rudeljaeger,standard,1,1,0,7,5,12,9,23,3,8,4,11,0,0
match-89f21f85-22,forschung_muskelkraft,standard,0,1,1,10,6,17,12,43,4,10,9,18,0,0
match-89f21f85-22,rudeljaeger,standard,1,0,0,10,-8,15,14,42,7,12,7,4,0,1
match-033f7043-23,forschung_muskelkraft,standard,0,1,1,13,3,21,16,63,21,13,12,10,0,0
match-033f7043-23,rudeljaeger,standard,1,0,0,13,0,18,17,52,29,15,11,7,0,1
match-2c2d49e2-24,forschung_muskelkraft,standard,0,1,1,12,1,21,15,58,12,13,12,10,0,0
match-2c2d49e2-24,rudeljaeger,standard,1,0,0,12,0,18,15,43,24,14,8,9,0,1
match-a57aba9f-25,forschung_muskelkraft,standard,0,1,1,15,2,22,20,73,34,17,14,14,0,0
match-a57aba9f-25,rudeljaeger,standard,1,0,0,15,-4,19,18,50,56,16,15,8,0,1
match-39928867-26,forschung_muskelkraft,standard,0,0,1,11,0,17,16,53,8,13,10,8,0,0
match-39928867-26,rudeljaeger,standard,1,1,0,11,2,15,13,36,20,13,13,10,0,1
match-b2dff924-27,forschung_muskelkraft,standard,0,0,1,8,-2,16,8,30,2,6,8,8,0,0
match-b2dff924-27,rudeljaeger,standard,1,1,0,8,2,12,12,30,3,12,4,12,0,0
match-46f7c6ec-28,forschung_muskelkraft,standard,0,0,1,7,0,14,7,27,1,5,5,6,0,0
match-46f7c6ec-28,rudeljaeger,standard,1,1,0,7,4,12,10,21,2,9,4,10,0,0
match-c04537a9-29,forschung_muskelkraft,standard,0,0,1,3,0,8,1,3,3,0,0,0,0,0
match-c04537a9-29,rudeljaeger,standard,1,1,0,3,10,6,3,6,0,3,2,10,0,0
match-545d0571-30,forschung_muskelkraft,standard,0,1,1,12,1,20,13,46,20,11,11,11,0,0
match-545d0571-30,rudeljaeger,standard,1,0,0,12,-1,17,15,40,30,14,7,9,0,0
match-cdaa762e-31,forschung_muskelkraft,standard,0,0,1,5,0,12,5,14,1,4,1,0,0,0
match-cdaa762e-31,rudeljaeger,standard,1,1,0,5,10,9,6,14,1,5,2,10,0,0
match-a340406f-32,forschung_muskelkraft,standard,0,1,1,8,2,14,10,32,4,9,6,12,0,0
match-a340406f-32,rudeljaeger,standard,1,0,0,8,-2,12,11,30,2,10,4,8,0,0
match-1c8db12d-33,forschung_muskelkraft,standard,0,0,1,9,-3,16,12,42,2,10,8,6,0,0
match-1c8db12d-33,rudeljaeger,standard,1,1,0,9,4,13,13,34,3,11,10,13,0,0
match-b0a59ef4-34,forschung_muskelkraft,standard,0,1,1,10,4,17,12,47,4,11,9,10,0,0
match-b0a59ef4-34,rudeljaeger,standard,1,0,0,10,0,16,13,32,16,12,8,6,0,3
match-29f2efb2-35,forschung_muskelkraft,standard,0,1,1,7,2,12,8,27,1,6,6,11,0,0
match-29f2efb2-35,rudeljaeger,standard,1,0,0,7,-1,14,10,24,1,8,4,8,0,0
match-be0add79-36,forschung_muskelkraft,standard,0,0,1,5,0,11,5,14,1,4,2,0,0,0
match-be0add79-36,rudeljaeger,standard,1,1,0,5,10,8,5,14,1,5,1,10,0,0
match-37582e37-37,forschung_muskelkraft,standard,0,1,1,11,1,20,11,42,18,8,10,14,0,0
match-37582e37-37,rudeljaeger,standard,1,0,0,11,-4,15,15,41,17,13,5,9,0,1
match-cb701bfe-38,forschung_muskelkraft,standard,0,0,1,5,-1,12,4,13,2,4,3,3,0,0
match-cb701bfe-38,rudeljaeger,standard,1,1,0,5,7,8,5,13,2,5,1,11,0,0
match-44bd6cbc-39,forschung_muskelkraft,standard,0,0,1,8,0,17,11,34,1,9,7,8,0,0
match-44bd6cbc-39,rudeljaeger,standard,1,1,0,8,2,13,10,30,5,9,5,10,0,1
match-6dab465b-40,forschung_muskelkraft,standard,0,0,1,5,0,11,4,14,1,3,2,0,0,0
match-6dab465b-40,rudeljaeger,standard,1,1,0,5,10,8,5,14,0,5,2,10,0,0
match-e6f8b718-41,forschung_muskelkraft,standard,0,1,1,10,1,17,14,49,5,11,9,11,0,0
match-e6f8b718-41,rudeljaeger,standard,1,0,0,10,-1,14,13,35,13,13,9,9,0,3
match-7b1084e0-42,forschung_muskelkraft,standard,0,1,1,10,6,18,11,41,4,9,9,11,0,0
