matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-ccec581e-0,rudeljaeger,standard,1,6,3,10,9,22,12,10,false,false,false
match-ccec581e-0,forschung_muskelkraft,standard,0,7,3,7,7,17,15,2,true,false,false
match-4639a8dc-1,forschung_muskelkraft,standard,0,6,5,9,8,22,17,5,true,false,false
match-4639a8dc-1,rudeljaeger,standard,1,7,5,17,23,45,25,20,false,false,false
match-da5196a3-2,rudeljaeger,standard,1,10,3,7,7,17,7,10,false,false,false
match-e7b6d528-4,forschung_muskelkraft,standard,0,6,3,11,10,24,15,9,true,false,false
match-e7b6d528-4,rudeljaeger,standard,1,8,3,11,12,26,15,11,false,false,false
match-610425e6-5,forschung_muskelkraft,standard,0,6,4,9,6,19,16,3,false,false,false
match-610425e6-5,rudeljaeger,standard,1,7,5,21,23,49,25,24,true,false,true
match-f51c13ad-6,forschung_muskelkraft,standard,0,9,4,7,4,15,14,1,true,false,false
match-f51c13ad-6,rudeljaeger,standard,1,10,4,9,14,27,16,11,false,false,false
match-97575e0a-8,rudeljaeger,standard,1,6,2,8,10,20,10,10,true,true,true
match-10a4aec8-9,rudeljaeger,standard,1,7,3,12,12,27,15,12,true,true,true
match-a4bc9c8f-10,forschung_muskelkraft,standard,0,6,3,12,6,21,13,8,false,false,false
match-b221db14-12,rudeljaeger,standard,1,6,1,5,6,12,5,7,true,false,false
match-b221db14-12,forschung_muskelkraft,standard,0,7,2,6,5,13,10,3,false,false,false
match-2b6f2bd2-13,rudeljaeger,standard,1,6,4,10,12,26,18,8,false,false,false
match-2b6f2bd2-13,forschung_muskelkraft,standard,0,6,3,9,9,21,15,6,true,false,true
match-bf871999-14,rudeljaeger,standard,1,6,2,8,9,19,10,9,true,false,false
match-bf871999-14,forschung_muskelkraft,standard,0,6,3,8,7,18,15,3,false,false,false
match-61c243f6-16,rudeljaeger,standard,1,7,5,21,27,53,25,28,true,false,true
match-61c243f6-16,forschung_muskelkraft,standard,0,8,4,11,9,24,16,8,false,false,false
match-db0fb4b3-17,rudeljaeger,standard,1,6,3,12,12,27,15,12,true,false,false
match-6f27827b-18,forschung_muskelkraft,standard,0,8,5,13,8,26,19,7,true,false,false
match-e874f338-19,rudeljaeger,standard,1,10,4,18,17,39,19,20,false,false,false
match-e874f338-19,forschung_muskelkraft,standard,0,12,3,9,7,19,15,4,true,false,true
match-7c8cc100-20,forschung_muskelkraft,standard,0,6,3,7,6,16,11,5,false,false,false
match-f5da31bd-21,rudeljaeger,standard,1,6,2,4,4,10,7,3,true,true,true
match-89f21f85-22,rudeljaeger,standard,1,6,2,9,9,20,10,10,false,false,false
match-033f7043-23,forschung_muskelkraft,standard,0,6,5,8,8,21,13,8,true,false,false
match-033f7043-23,rudeljaeger,standard,1,12,5,17,18,40,21,19,false,false,false
match-2c2d49e2-24,rudeljaeger,standard,1,6,3,11,14,28,15,13,false,false,false
match-2c2d49e2-24,forschung_muskelkraft,standard,0,11,3,7,7,17,11,6,true,true,true
match-a57aba9f-25,forschung_muskelkraft,standard,0,7,4,3,2,9,9,0,true,false,false
match-a57aba9f-25,rudeljaeger,standard,1,8,3,14,18,35,15,20,false,false,false
match-39928867-26,forschung_muskelkraft,standard,0,9,5,19,11,35,22,13,false,false,false
match-545d0571-30,rudeljaeger,standard,1,8,4,15,18,37,19,18,false,false,false
match-545d0571-30,forschung_muskelkraft,standard,0,11,3,7,5,15,13,2,true,true,true
match-a340406f-32,rudeljaeger,standard,1,6,3,11,10,24,14,10,false,false,false
match-a340406f-32,forschung_muskelkraft,standard,0,8,3,11,6,20,13,7,true,true,true
match-1c8db12d-33,rudeljaeger,standard,1,6,2,6,10,18,10,8,true,false,false
match-b0a59ef4-34,rudeljaeger,standard,1,6,3,9,12,24,15,9,false,false,false
match-b0a59ef4-34,forschung_muskelkraft,standard,0,10,4,9,7,20,17,3,true,true,true
match-29f2efb2-35,forschung_muskelkraft,standard,0,6,4,15,11,30,19,11,true,true,true
match-44bd6cbc-39,forschung_muskelkraft,standard,0,6,2,10,8,20,10,10,false,false,false
match-e6f8b718-41,forschung_muskelkraft,standard,0,6,3,11,10,24,15,9,true,false,false
match-e6f8b718-41,rudeljaeger,standard,1,7,5,3,5,13,9,4,false,false,false
match-7b1084e0-42,rudeljaeger,standard,1,7,4,21,24,49,20,29,false,false,false
match-f45df59d-43,rudeljaeger,standard,1,6,2,5,11,18,10,8,false,false,false
match-f45df59d-43,forschung_muskelkraft,standard,0,9,3,9,6,18,13,5,true,false,true
match-01c33423-45,rudeljaeger,standard,1,7,4,19,26,49,20,29,false,false,false
match-01c33423-45,forschung_muskelkraft,standard,0,10,3,12,8,23,15,8,true,false,true
match-95db01ea-46,rudeljaeger,standard,1,6,3,9,12,24,15,9,false,false,false
match-95db01ea-46,forschung_muskelkraft,standard,0,8,3,9,8,20,11,9,true,true,true
match-0f2872a8-47,rudeljaeger,standard,1,6,2,6,8,16,10,6,true,true,true
match-38164c47-48,rudeljaeger,standard,1,6,3,0,0,3,3,0,false,false,false
match-b163bd04-49,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-b163bd04-49,forschung_muskelkraft,standard,0,6,3,9,7,19,13,6,true,false,false
match-457b8acc-50,rudeljaeger,standard,1,6,1,5,6,12,5,7,true,true,true
match-cc2e3a0e-53,rudeljaeger,standard,1,6,1,5,6,12,5,7,true,true,true
match-cc2e3a0e-53,forschung_muskelkraft,standard,0,6,5,9,7,21,17,4,false,false,false
match-604607d6-54,forschung_muskelkraft,standard,0,6,2,8,4,14,8,6,false,false,false
match-02815233-56,rudeljaeger,standard,1,6,3,10,12,25,15,10,true,false,false
match-02815233-56,forschung_muskelkraft,standard,0,8,4,7,6,17,13,4,false,false,false
match-0fe690b8-58,forschung_muskelkraft,standard,0,7,5,15,10,30,23,7,false,false,false
match-0fe690b8-58,rudeljaeger,standard,1,8,2,10,9,21,10,11,true,true,true
match-8933e175-59,rudeljaeger,standard,1,6,2,8,10,20,10,10,false,false,false
match-8933e175-59,forschung_muskelkraft,standard,0,12,3,9,6,18,13,5,true,false,true
match-96993ffa-61,forschung_muskelkraft,standard,0,11,4,7,6,17,12,5,true,false,true
match-2ab10dc2-62,forschung_muskelkraft,standard,0,7,3,6,6,15,11,4,true,false,true
match-2044477d-64,rudeljaeger,standard,1,8,5,20,27,52,25,27,false,false,false
match-2044477d-64,forschung_muskelkraft,standard,0,10,5,16,13,34,21,13,true,false,true
match-9991b83a-65,rudeljaeger,standard,1,6,2,9,10,21,10,11,false,false,false
match-9991b83a-65,forschung_muskelkraft,standard,0,6,5,7,7,19,13,6,true,false,false
match-2da98602-66,rudeljaeger,standard,1,6,3,10,8,21,12,9,false,false,false
match-2da98602-66,forschung_muskelkraft,standard,0,14,3,11,10,24,15,9,false,false,false
match-3b0ec487-68,rudeljaeger,standard,1,6,3,11,13,27,15,12,false,false,false
match-3b0ec487-68,forschung_muskelkraft,standard,0,6,3,11,9,23,15,8,true,false,false
match-4874030c-70,rudeljaeger,standard,1,6,2,8,8,18,10,8,false,false,false
match-4874030c-70,forschung_muskelkraft,standard,0,6,3,9,7,19,15,4,true,false,false
match-eaaf4d68-72,forschung_muskelkraft,standard,0,6,4,13,10,27,16,11,true,false,true
match-63fcbe26-73,rudeljaeger,standard,1,6,4,10,8,22,16,6,true,false,false
match-63fcbe26-73,forschung_muskelkraft,standard,0,7,3,8,7,18,15,3,false,false,false
match-0579ca73-76,rudeljaeger,standard,1,6,2,9,10,21,10,11,false,false,false
match-0579ca73-76,forschung_muskelkraft,standard,0,13,3,11,6,20,13,7,true,true,true
match-8c2c79b5-79,rudeljaeger,standard,1,8,2,3,4,9,6,3,true,true,true
match-b51a5354-80,forschung_muskelkraft,standard,0,8,4,6,4,14,10,4,true,true,true
match-c27f91d9-82,rudeljaeger,standard,1,6,4,10,9,23,18,5,false,false,false
match-c27f91d9-82,forschung_muskelkraft,standard,0,8,4,16,13,33,20,13,true,false,false
match-3bcce297-83,forschung_muskelkraft,standard,0,6,1,4,4,9,5,4,true,false,false
match-3bcce297-83,rudeljaeger,standard,1,10,5,16,20,41,17,24,false,false,false
match-4932211c-85,forschung_muskelkraft,standard,0,8,4,8,4,16,12,4,true,true,true
match-dd4a0ee3-86,rudeljaeger,standard,1,6,1,3,5,9,5,4,false,false,false
match-dd4a0ee3-86,forschung_muskelkraft,standard,0,14,4,14,10,28,18,10,true,true,true
match-56977fa1-87,rudeljaeger,standard,1,6,3,11,15,29,15,14,false,false,false
match-56977fa1-87,forschung_muskelkraft,standard,0,11,2,6,4,12,10,2,true,false,false
match-f8d2a9fd-89,rudeljaeger,standard,1,9,5,27,23,55,25,30,false,false,false
match-0637e883-91,rudeljaeger,standard,1,6,1,2,4,7,5,2,true,true,true
match-2102658d-95,rudeljaeger,standard,1,6,3,11,13,27,15,12,false,false,false
match-2102658d-95,forschung_muskelkraft,standard,0,6,5,12,9,26,19,7,true,false,false
match-f6984fcd-96,forschung_muskelkraft,standard,0,7,3,4,4,11,7,4,true,false,false
match-f6984fcd-96,rudeljaeger,standard,1,7,4,17,20,41,20,21,false,false,false
match-6fe5a08b-97,forschung_muskelkraft,standard,0,6,5,9,8,22,13,9,true,false,false
match-03fd8e53-98,forschung_muskelkraft,standard,0,6,4,16,10,30,18,12,true,false,false
match-03fd8e53-98,rudeljaeger,standard,1,7,4,15,23,42,20,22,false,false,false
match-0b7f17c7-100,rudeljaeger,standard,1,6,3,11,14,28,15,13,true,false,false
match-0b7f17c7-100,forschung_muskelkraft,standard,0,7,4,11,9,24,16,8,false,false,false
match-f0b49abc-104,forschung_muskelkraft,standard,0,10,2,9,8,19,10,9,true,false,true
match-6a01eb7a-105,rudeljaeger,standard,1,7,2,10,10,22,10,12,true,true,true
match-e34f5c37-106,forschung_muskelkraft,standard,0,7,4,6,6,16,12,4,true,false,false
match-5c9cacf5-107,rudeljaeger,standard,1,6,3,5,5,13,7,6,true,true,true
match-ba616298-109,rudeljaeger,standard,1,6,4,16,18,38,19,19,true,true,true
match-ba616298-109,forschung_muskelkraft,standard,0,7,4,12,11,27,20,7,false,false,false
match-33aed356-110,forschung_muskelkraft,standard,0,6,4,7,4,15,10,5,true,false,false
match-33aed356-110,rudeljaeger,standard,1,12,4,6,8,18,12,6,false,false,false
match-acfc2413-111,rudeljaeger,standard,1,6,2,9,9,20,10,10,true,true,true
match-264994d1-112,forschung_muskelkraft,standard,0,7,4,9,8,21,12,9,true,false,false
match-9f96e58e-113,rudeljaeger,standard,1,7,3,13,18,34,15,19,false,false,false
match-9f96e58e-113,forschung_muskelkraft,standard,0,9,1,4,2,7,5,2,true,false,true
match-18e4564c-114,rudeljaeger,standard,1,6,3,14,16,33,15,18,true,true,true
match-9231a709-115,forschung_muskelkraft,standard,0,6,4,4,4,12,8,4,true,false,false
match-9231a709-115,rudeljaeger,standard,1,14,5,16,17,38,17,21,false,false,false
match-19a2745c-117,rudeljaeger,standard,1,6,3,14,16,33,15,18,false,false,false
match-19a2745c-117,forschung_muskelkraft,standard,0,11,4,10,3,17,15,2,true,true,true
match-92efc519-118,rudeljaeger,standard,1,6,4,18,22,44,20,24,false,false,false
match-92efc519-118,forschung_muskelkraft,standard,0,8,2,3,2,7,6,1,true,true,true
match-0c3d35d7-119,forschung_muskelkraft,standard,0,6,4,4,4,12,8,4,true,false,false
match-0c3d35d7-119,rudeljaeger,standard,1,6,4,14,16,34,20,14,false,false,false
match-858a8694-120,rudeljaeger,standard,1,6,4,15,15,34,17,17,false,false,false
match-858a8694-120,forschung_muskelkraft,standard,0,7,3,7,7,17,11,6,true,false,false
match-fed7f751-121,forschung_muskelkraft,standard,0,14,3,5,4,12,12,0,true,true,true
