cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,6000,1171,4844,3838,1006,1006,0.7923203963666391,0.553,0.5700396110911055,0.5625498007968127,5.370244919228765,11320,1858,0,2140,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,6000,1174,4992,2586,2406,2406,0.5180288461538461,0.553,0.5652782639131957,0.5636363636363636,6.81477184841454,9755,2731,0,1759,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,6000,1211,5055,4850,205,205,0.9594460929772503,0.553,0.5600417681865646,0.5715312724658519,6.981649484536082,0,0,0,0,0,14550,0,0,0,0,0,0
mobilmachung,forschung_muskelkraft,standard,6000,1160,5018,2988,2030,2030,0.5954563571143882,0.553,0.5624780007039775,0.529467680608365,6.836010709504685,0,0,0,0,0,0,0,0,0,0,5400,0
kranfuehrer,forschung_muskelkraft,standard,6000,1175,4776,3417,1359,1359,0.7154522613065326,0.553,0.5747747747747748,0.5831792975970426,9.008486976880304,13908,6449,0,2228,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,6000,1286,4727,4066,661,661,0.86016500951978,0.553,0.5726216412490922,0.5796583234008741,7.7238071815051645,21207,2519,0,3623,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,6000,1212,4806,4398,408,408,0.9151061173533084,0.553,0.5657800143781452,0.5907869481765835,8.610732150977718,49160,3066,0,5532,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,3000,587,2524,1339,1185,1185,0.5305071315372425,0.553,0.5800316957210776,0.5571321882001493,6.589992531740105,4990,825,0,871,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,3000,608,2337,1701,636,636,0.7278562259306803,0.553,0.5956354300385109,0.586713697824809,8.466784244562023,3880,508,0,899,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,3000,637,2411,2279,132,132,0.9452509332227291,0.553,0.6022397345499793,0.6112329969284774,7.79859587538394,6132,846,0,1325,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,3000,598,2404,2111,293,293,0.8781198003327787,0.553,0.5877703826955075,0.5987683562292753,8.40312648034107,11594,1036,0,2616,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,3000,599,2450,2250,200,200,0.9183673469387755,0.553,0.5942857142857143,0.6008888888888889,8.217333333333332,13795,5468,0,2610,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,3000,582,2312,2208,104,104,0.9550173010380623,0.553,0.6237024221453287,0.6376811594202898,7.877264492753623,14020,1488,0,2632,0,0,17317,18690,0,0,0,0
ratte,rudeljaeger,standard,6000,1260,4603,4127,476,476,0.8965891809689333,0.526,0.5119219653179191,0.4973056197074673,5.918584928519506,9183,5063,0,2022,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,6000,1145,4525,4041,484,484,0.8930386740331492,0.526,0.5195612431444241,0.5033164260632071,6.054936896807721,9364,4774,0,2032,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,6000,1176,4649,4402,247,247,0.9468702946870294,0.526,0.5258467023172906,0.5203371198241113,6.188777828259882,14447,6071,0,2722,0,0,0,0,0,0,0,0
hauskater,rudeljaeger,standard,6000,1239,4496,3804,692,692,0.8460854092526691,0.526,0.5007374631268436,0.4625366262034324,7.378811777076761,6573,370,0,1298,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,6000,1184,4459,4094,365,365,0.9181430814083875,0.526,0.5016747301823595,0.4843935203476887,6.640693698094773,11936,1747,0,2402,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger,standard,6000,1209,4567,4340,227,227,0.950295598861397,0.526,0.5098901098901099,0.4924797531816429,7.4799539170506915,0,0,0,0,8680,0,0,0,3415,687,0,0
pferd,rudeljaeger,standard,6000,1221,4579,4439,140,140,0.969425638785761,0.526,0.5098540145985402,0.5062730627306273,6.2685289479612525,18658,5000,0,3526,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger,standard,3000,569,2205,2082,123,123,0.9442176870748299,0.526,0.48027210884353744,0.46733909702209414,6.486071085494717,4025,477,0,865,0,0,0,0,0,0,0,0
luchs,rudeljaeger,standard,3000,594,2134,2060,74,74,0.9653233364573571,0.526,0.5248359887535146,0.5179611650485437,7.849029126213592,12044,3101,0,2193,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger,standard,3000,598,2034,1977,57,57,0.971976401179941,0.526,0.5024582104228122,0.49721800708143654,8.084471421345473,8436,729,0,1473,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger,standard,3000,579,2093,2006,87,87,0.9584328714763497,0.526,0.4882943143812709,0.48005982053838486,8.15702891326022,8937,408,0,1478,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger,standard,3000,599,2171,1939,232,232,0.8931368033164441,0.526,0.49101796407185627,0.4564208354822073,7.172253739040743,5817,609,0,1311,0,0,0,0,0,0,0,0
pc_principal,rudeljaeger,standard,3000,627,1894,1831,63,63,0.9667370644139388,0.526,0.5601900739176346,0.5494265428727472,7.984161660294921,15618,1044,0,2742,0,0,16016,19002,0,0,0,0
