deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,500,268,211,21,0.5594989561586639,10.822,4.798
forschung_muskelkraft,rudeljaeger,standard,standard,1,500,236,231,33,0.5053533190578159,11.832,4.65
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,500,414,42,44,0.9078947368421053,14.756,5.472
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,500,392,58,50,0.8711111111111111,15.14,4.844
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,500,177,315,8,0.3597560975609756,10.008,4.902
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,500,172,318,10,0.3510204081632653,10.648,5.196
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,500,349,104,47,0.7704194260485652,13.58,4.974
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,500,328,132,40,0.7130434782608696,14.178,4.942
rudeljaeger,urzeitliche_kolosse,standard,standard,0,500,265,232,3,0.5331991951710262,9.088,4.648
rudeljaeger,urzeitliche_kolosse,standard,standard,1,500,194,304,2,0.3895582329317269,9.058,4.592
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,500,35,448,17,0.07246376811594203,12.118,6.814
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,500,48,432,20,0.1,12.74,6.464
