matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-ca935914-0,forschung_muskelkraft,standard,0,1,1,12,4,19,10,38,28,9,11,14,0,0
match-ca935914-0,rudeljaeger,standard,1,0,0,12,-2,15,15,34,34,13,4,8,0,1
match-43e0a9d2-1,forschung_muskelkraft,standard,0,1,1,14,2,20,19,67,29,15,14,15,0,0
match-43e0a9d2-1,rudeljaeger,standard,1,0,0,14,-3,17,17,45,48,15,16,10,0,2
match-d7f89799-2,forschung_muskelkraft,standard,0,0,1,16,-2,23,20,71,49,16,13,5,0,0
match-d7f89799-2,rudeljaeger,standard,1,1,0,16,6,20,18,49,73,17,18,13,0,0
match-5145e857-3,forschung_muskelkraft,standard,0,1,1,10,4,16,11,43,7,9,8,12,0,0
match-5145e857-3,rudeljaeger,standard,1,0,0,10,0,13,13,37,11,12,8,8,0,1
match-e55dd61e-4,forschung_muskelkraft,standard,0,1,1,15,4,22,20,71,34,16,17,14,0,0
match-e55dd61e-4,rudeljaeger,standard,1,0,0,15,-2,19,19,47,59,17,16,8,0,0
match-5eab26dc-5,forschung_muskelkraft,standard,0,1,1,12,6,19,12,47,20,9,11,14,0,0
match-5eab26dc-5,rudeljaeger,standard,1,0,0,12,-2,17,16,37,33,14,8,6,0,0
match-f2c314a3-6,forschung_muskelkraft,standard,0,1,1,14,4,19,13,51,44,11,12,14,0,0
match-f2c314a3-6,rudeljaeger,standard,1,0,0,14,-2,17,17,43,50,16,7,8,0,0
match-6c106561-7,forschung_muskelkraft,standard,0,1,1,11,6,17,12,43,16,8,12,12,0,0
match-6c106561-7,rudeljaeger,standard,1,0,0,11,0,16,14,41,19,13,7,6,0,2
match-00285329-8,forschung_muskelkraft,standard,0,0,1,15,-1,22,20,71,34,16,15,3,0,0
match-00285329-8,rudeljaeger,standard,1,1,0,15,9,19,18,46,59,16,20,13,0,2
match-7975a3e6-9,forschung_muskelkraft,standard,0,1,1,9,3,17,10,36,5,8,8,13,0,0
match-7975a3e6-9,rudeljaeger,standard,1,0,0,9,-1,13,12,25,13,10,3,9,0,0
match-0d8d91ae-10,forschung_muskelkraft,standard,0,0,1,16,0,23,14,56,68,11,15,5,0,0
match-0d8d91ae-10,rudeljaeger,standard,1,1,0,16,4,21,20,52,72,18,11,9,0,3
