matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-ca935914-0,forschung_muskelkraft,standard,0,6,3,8,6,17,3,14,true,false,false
match-43e0a9d2-1,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-43e0a9d2-1,forschung_muskelkraft,standard,0,13,1,4,6,11,1,10,true,true,true
match-d7f89799-2,forschung_muskelkraft,standard,0,6,5,9,6,20,5,15,false,false,false
match-d7f89799-2,rudeljaeger,standard,1,10,5,22,29,56,5,51,true,false,false
match-5145e857-3,forschung_muskelkraft,standard,0,6,4,18,12,34,4,30,true,false,false
match-5145e857-3,rudeljaeger,standard,1,8,3,13,19,35,3,32,false,false,false
match-e55dd61e-4,rudeljaeger,standard,1,6,2,7,8,17,2,15,false,false,false
match-e55dd61e-4,forschung_muskelkraft,standard,0,14,2,8,6,16,2,14,true,true,true
match-5eab26dc-5,forschung_muskelkraft,standard,0,6,5,3,0,8,5,3,true,false,false
match-f2c314a3-6,rudeljaeger,standard,1,6,3,10,9,22,3,19,false,false,false
match-f2c314a3-6,forschung_muskelkraft,standard,0,6,4,4,6,14,4,10,true,false,false
match-6c106561-7,rudeljaeger,standard,1,6,2,5,6,13,2,11,false,false,false
match-6c106561-7,forschung_muskelkraft,standard,0,6,3,9,8,20,3,17,true,false,false
match-00285329-8,rudeljaeger,standard,1,6,2,8,10,20,2,18,true,false,false
match-00285329-8,forschung_muskelkraft,standard,0,7,2,5,6,13,2,11,false,false,false
match-7975a3e6-9,forschung_muskelkraft,standard,0,7,2,5,3,10,2,8,true,false,true
match-0d8d91ae-10,rudeljaeger,standard,1,6,1,1,0,2,1,1,true,false,false
match-0d8d91ae-10,forschung_muskelkraft,standard,0,6,5,4,6,15,5,10,false,false,false
match-86dae26b-11,rudeljaeger,standard,1,7,4,17,24,45,4,41,true,true,true
match-1af2d033-12,forschung_muskelkraft,standard,0,6,4,7,6,17,4,13,false,false,false
match-1af2d033-12,rudeljaeger,standard,1,10,1,2,4,7,1,6,true,false,false
match-944020f0-13,rudeljaeger,standard,1,6,2,7,11,20,2,18,false,false,false
match-944020f0-13,forschung_muskelkraft,standard,0,6,4,4,6,14,4,10,true,false,false
match-a1a57f75-15,forschung_muskelkraft,standard,0,6,5,5,3,13,5,8,true,false,false
match-5f6944ec-16,rudeljaeger,standard,1,7,4,18,20,42,4,38,false,false,false
match-5f6944ec-16,forschung_muskelkraft,standard,0,15,5,7,3,15,5,10,true,false,true
match-d8b6b5a9-17,forschung_muskelkraft,standard,0,6,4,9,8,21,4,17,false,false,false
match-d8b6b5a9-17,rudeljaeger,standard,1,10,4,10,15,29,4,25,true,false,false
match-e61bf42e-19,forschung_muskelkraft,standard,0,6,4,9,6,19,4,15,true,false,true
match-7a33c1f6-20,rudeljaeger,standard,1,6,5,5,5,15,5,10,true,false,false
match-7a33c1f6-20,forschung_muskelkraft,standard,0,15,4,4,2,10,4,6,false,false,false
match-f38132b3-21,forschung_muskelkraft,standard,0,6,5,18,10,33,5,28,true,false,false
match-8799007b-22,rudeljaeger,standard,1,10,3,15,16,34,3,31,false,false,false
match-94fe5f00-24,forschung_muskelkraft,standard,0,6,4,12,10,26,4,22,false,false,false
match-94fe5f00-24,rudeljaeger,standard,1,9,5,22,28,55,5,50,true,false,false
match-1bb0ee43-27,rudeljaeger,standard,1,6,3,10,16,29,3,26,false,false,false
match-1bb0ee43-27,forschung_muskelkraft,standard,0,6,4,7,8,19,4,15,true,false,false
match-29162cc8-29,forschung_muskelkraft,standard,0,8,4,9,3,16,4,12,true,true,true
match-bd2e1a8f-30,rudeljaeger,standard,1,6,1,5,5,11,1,10,false,false,false
match-367b6b4d-31,rudeljaeger,standard,1,6,2,9,8,19,2,17,true,true,true
match-f43f50c3-32,rudeljaeger,standard,1,11,5,6,6,17,5,12,false,false,false
match-f43f50c3-32,forschung_muskelkraft,standard,0,12,5,13,14,32,5,27,true,false,false
match-01a48f49-34,rudeljaeger,standard,1,6,3,11,10,24,3,21,false,false,false
match-01a48f49-34,forschung_muskelkraft,standard,0,6,5,7,7,19,5,14,true,false,false
match-7af1e006-35,rudeljaeger,standard,1,6,2,9,9,20,2,18,true,false,false
match-0f09cdce-36,rudeljaeger,standard,1,6,1,4,3,8,1,7,false,false,false
match-0f09cdce-36,forschung_muskelkraft,standard,0,6,2,7,8,17,2,15,true,false,true
match-88573e8b-37,rudeljaeger,standard,1,6,3,10,13,26,3,23,true,false,false
match-3739895d-42,rudeljaeger,standard,1,6,3,10,11,24,3,21,true,true,true
match-b086fa1a-43,forschung_muskelkraft,standard,0,9,1,2,2,5,1,4,true,false,true
match-449ec7e2-44,forschung_muskelkraft,standard,0,6,4,15,8,27,4,23,true,false,false
match-bdec389f-45,forschung_muskelkraft,standard,0,6,3,9,5,17,3,14,false,false,false
match-bdec389f-45,rudeljaeger,standard,1,11,5,12,14,31,5,26,false,false,false
match-52040667-46,rudeljaeger,standard,1,6,3,8,8,19,3,16,false,false,false
match-52040667-46,forschung_muskelkraft,standard,0,10,5,17,15,37,5,32,true,true,true
match-cb517724-47,rudeljaeger,standard,1,6,2,9,9,20,2,18,false,false,false
match-cb517724-47,forschung_muskelkraft,standard,0,6,3,7,7,17,3,14,true,false,false
match-89155c9b-48,forschung_muskelkraft,standard,0,6,3,7,6,16,3,13,true,false,false
match-89155c9b-48,rudeljaeger,standard,1,8,5,18,24,47,5,42,false,false,false
match-0262ad59-49,rudeljaeger,standard,1,6,2,4,4,10,2,8,false,false,false
match-0262ad59-49,forschung_muskelkraft,standard,0,6,3,4,6,13,3,10,true,false,false
match-967a9b20-50,rudeljaeger,standard,1,6,1,3,5,9,1,8,true,true,true
match-a3dfd9a5-52,forschung_muskelkraft,standard,0,6,5,4,2,11,5,6,true,false,false
