deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
a1_rudeljaeger,a4_urzeitliches_rudel,standard,standard,0,50,26,24,0,0.52,8.52,4.86
a1_rudeljaeger,a4_urzeitliches_rudel,standard,standard,1,50,31,19,0,0.62,8.16,6.08
a1_rudeljaeger,h1_solidaritaet,standard,standard,0,50,25,25,0,0.5,10.5,5.48
a1_rudeljaeger,h1_solidaritaet,standard,standard,1,50,24,26,0,0.48,10.76,5.58
a1_rudeljaeger,h2_schicht,standard,standard,0,50,35,15,0,0.7,10.7,4.52
a1_rudeljaeger,h2_schicht,standard,standard,1,50,30,20,0,0.6,9.74,5.84
a4_urzeitliches_rudel,h1_solidaritaet,standard,standard,0,50,36,14,0,0.72,10.68,5.52
a4_urzeitliches_rudel,h1_solidaritaet,standard,standard,1,50,31,19,0,0.62,10.08,5.28
a4_urzeitliches_rudel,h2_schicht,standard,standard,0,50,26,24,0,0.52,9.26,5.54
a4_urzeitliches_rudel,h2_schicht,standard,standard,1,50,25,25,0,0.5,9.8,5.54
h1_solidaritaet,h2_schicht,standard,standard,0,50,26,22,2,0.5416666666666666,11.7,4.82
h1_solidaritaet,h2_schicht,standard,standard,1,50,26,20,4,0.5652173913043478,11.14,5.54
