cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills
ratte,a1_rudeljaeger,standard,3000,599,1940,1809,131,132,0.9324742268041237,0.6083333333333333,0.5963917525773196,0.5843007186290768,5.045328911000553,5121,2167,0,1248
streunerkatze,a1_rudeljaeger,standard,6000,1218,3865,3580,285,286,0.926261319534282,0.6083333333333333,0.5986185725249424,0.5920032639738882,4.9636871508379885,10786,4660,0,2571
getigerter,a1_rudeljaeger,standard,6000,1200,4002,3828,174,174,0.9565217391304348,0.6083333333333333,0.6164590411476029,0.615235134084726,5.41614420062696,13751,7279,0,2727
hauskater,a1_rudeljaeger,standard,6000,1162,3789,3155,634,640,0.8326735286355239,0.6083333333333333,0.5854043392504931,0.555919513336453,6.813629160063392,6485,276,0,1276
wolf,a1_rudeljaeger,standard,6000,1212,3753,3392,361,363,0.9038102851052492,0.6083333333333333,0.5897943037974683,0.5673913043478261,6.131191037735849,10387,1889,0,2205
wilder_instinkt,a1_rudeljaeger,standard,6000,1163,3913,3584,329,330,0.9159212880143113,0.6083333333333333,0.5911877394636015,0.5740971357409713,6.845145089285714,0,0,0,0
pferd,a1_rudeljaeger,standard,6000,1209,3908,3840,68,71,0.9825997952917093,0.6083333333333333,0.6013851481338977,0.6004663816556549,5.331770833333334,17807,5807,0,3750
schwarze_katze,a1_rudeljaeger,standard,6000,1220,3880,3710,170,171,0.9561855670103093,0.6083333333333333,0.6087461300309598,0.6014405762304922,6.183827493261456,14641,3593,0,3099
katzenmutter,a1_rudeljaeger,standard,6000,1231,3775,3556,219,221,0.9419867549668874,0.6083333333333333,0.5882121807465619,0.5792282430213465,5.91310461192351,8330,1149,0,1763
luchs,a1_rudeljaeger,standard,3000,613,1685,1656,29,30,0.9827893175074184,0.6083333333333333,0.6201780415430267,0.6177536231884058,6.676328502415459,9991,3249,0,2020
alphawolf,a1_rudeljaeger,standard,6000,1173,3302,3228,74,77,0.9775893397940641,0.6083333333333333,0.6030861551650236,0.6026200873362445,7.052664188351921,13776,1580,0,2521
compsognathus,a4_urzeitliches_rudel,standard,6000,1183,3985,3466,519,521,0.8697616060225847,0.49233333333333335,0.5142314990512334,0.49896907216494846,3.8395845354875937,6464,1617,0,1355
wolf,a4_urzeitliches_rudel,standard,6000,1166,3925,3364,561,562,0.8570700636942675,0.49233333333333335,0.5194006915097964,0.519847972972973,4.427467300832342,10866,1699,0,2459
wilder_instinkt,a4_urzeitliches_rudel,standard,6000,1196,3999,3501,498,498,0.8754688672168042,0.49233333333333335,0.510412722453616,0.5281602002503129,6.190516995144245,0,0,0,0
velociraptor,a4_urzeitliches_rudel,standard,6000,1196,3996,3456,540,542,0.8648648648648649,0.49233333333333335,0.5153673163418291,0.518856195607128,5.733506944444445,17012,3902,0,3578
pferd,a4_urzeitliches_rudel,standard,6000,1175,3996,3679,317,318,0.9206706706706707,0.49233333333333335,0.5183226293917642,0.5157604412923562,4.934493068768687,21854,5798,0,4777
triceratops,a4_urzeitliches_rudel,standard,6000,1171,3396,2892,504,505,0.8515901060070671,0.49233333333333335,0.5430242272347535,0.5427906976744186,6.110304287690179,14381,1687,0,3466
pteranodon,a4_urzeitliches_rudel,standard,6000,1269,3431,2322,1109,1112,0.6767706208102594,0.49233333333333335,0.5357585779247623,0.5534308211473565,7.204134366925064,8401,822,0,1712
spinosaurus,a4_urzeitliches_rudel,standard,6000,1173,3523,2332,1191,1191,0.661935850127732,0.49233333333333335,0.521810028536486,0.6374407582938388,9.228130360205832,5432,2635,0,758
brachiosaurus,a4_urzeitliches_rudel,standard,6000,1237,3446,2816,630,632,0.8171793383633198,0.49233333333333335,0.5244610281923715,0.5909542743538767,8.419034090909092,11796,5400,0,1654
tyrannosaurus_rex,a4_urzeitliches_rudel,standard,3000,634,1774,1515,259,260,0.8540022547914318,0.49233333333333335,0.5670800450958287,0.6448844884488449,8.127392739273928,7659,4360,0,778
alphawolf,a4_urzeitliches_rudel,standard,3000,600,1751,1648,103,103,0.9411764705882353,0.49233333333333335,0.5545402627070246,0.5697815533980582,6.658373786407767,7370,855,0,1383
rekrut,h1_solidaritaet,standard,3000,571,2129,1813,316,317,0.8515735086895256,0.43233333333333335,0.42837012682010334,0.3987865416436845,5.610590182018753,3703,928,0,819
flugblatt_verteiler,h1_solidaritaet,standard,6000,1242,4243,3789,454,454,0.8930002356823002,0.43233333333333335,0.43666666666666665,0.4278204609785685,5.250989707046714,9668,2084,0,2169
der_alte_hund,h1_solidaritaet,standard,6000,1219,4218,3928,290,291,0.9312470365101944,0.43233333333333335,0.43590690801625415,0.42934572202864885,5.779022403258656,8353,1527,0,2604
streikposten,h1_solidaritaet,standard,6000,1174,4217,3929,288,288,0.9317050035570311,0.43233333333333335,0.42538405267008045,0.42202541393916054,6.049121913973021,5094,763,0,1225
feldscherin,h1_solidaritaet,standard,6000,1202,4272,3614,658,659,0.8459737827715356,0.43233333333333335,0.4218462670099301,0.40347163420829807,7.28693967902601,3297,385,1418,1066
basisdemokratie,h1_solidaritaet,standard,9000,1783,6335,6157,178,179,0.9719021310181531,0.43233333333333335,0.43213296398891965,0.4348585399930143,5.865681338314114,28629,3495,0,6447
schrottsammlerin,h1_solidaritaet,standard,6000,1188,4266,4014,252,253,0.9409282700421941,0.43233333333333335,0.4301389904901244,0.43287566742944317,6.921026407573493,11821,1473,0,2741
generalstreik,h1_solidaritaet,standard,6000,1158,3756,3648,108,108,0.9712460063897763,0.43233333333333335,0.43084260731319557,0.4339853300733496,7.572368421052632,0,0,0,0
die_massen,h1_solidaritaet,standard,6000,1228,3937,3817,120,121,0.9695199390398781,0.43233333333333335,0.47694633408919124,0.48346153846153844,8.06156667539953,25255,14350,0,2947
improvisiertes_lager,h1_solidaritaet,standard,3000,629,2120,2094,26,27,0.9877358490566037,0.43233333333333335,0.44339622641509435,0.44126074498567336,5.899235912129895,7166,1069,0,1697
gewerkschaftssekretaerin,h1_solidaritaet,standard,3000,606,1873,1830,43,43,0.9770421783235451,0.43233333333333335,0.45168179391350777,0.45081967213114754,7.065573770491803,6446,924,0,1528
lehrling,h2_schicht,standard,9000,1768,6146,5886,260,1170,0.9576960624796615,0.446,0.4409312022237665,0.4211876832844575,5.639653414882773,21806,8874,0,3942
fliessbandarbeiter,h2_schicht,standard,9000,1823,6226,6657,0,541,1.0692258271763573,0.446,0.4395300621976503,0.42967379866713434,5.89079164788944,34236,6477,0,5407
rekrut,h2_schicht,standard,3000,613,2062,1855,207,513,0.899612027158099,0.446,0.42725509214354995,0.3444743935309973,6.369811320754717,2501,783,0,511
feldscherin,h2_schicht,standard,3000,580,1990,1791,199,534,0.9,0.446,0.4020100502512563,0.3126744835287549,7.714684533780011,1308,184,520,461
werkzeugkiste,h2_schicht,standard,9000,1781,6118,6487,0,622,1.060313828048382,0.446,0.4429413805064169,0.44475820684786443,6.362879605364575,3468,895,0,852
erstsemester,h2_schicht,standard,9000,1824,6111,6114,0,725,1.0004909180166912,0.446,0.43370551290997905,0.40676077265973254,6.8099443899247625,8904,1490,0,1806
schichtwechsel,h2_schicht,standard,3000,605,2017,2257,0,107,1.118988596926128,0.446,0.4253842340109073,0.40673460345591494,5.863978732831192,13770,2354,0,1948
kranfuehrer,h2_schicht,standard,3000,585,1739,2094,0,124,1.2041403105232893,0.446,0.3881541115583669,0.3982808022922636,7.267430754536772,8459,4348,0,1222
doktorandin,h2_schicht,standard,6000,1220,3539,4197,0,174,1.1859282283130828,0.446,0.410351966873706,0.3949019607843137,7.3690731474863,17838,2121,0,3475
vorarbeiter,h2_schicht,standard,3000,596,1789,2155,0,57,1.204583566238122,0.446,0.43711570709893793,0.41531322505800466,6.939211136890951,7670,1338,0,1566
bibliothekar,h2_schicht,standard,3000,605,1724,2021,0,97,1.1722737819025522,0.446,0.4060324825986079,0.3829787234042553,7.163780306778822,4401,473,0,1066
