deckId,lane,occupiedSnapshots,snapshots,occupancyRate
a1_rudeljaeger,1,13300,31812,0.4180812272098579
a1_rudeljaeger,2,13005,31812,0.4088079969822708
a1_rudeljaeger,3,13360,31812,0.4199673079341129
a1_rudeljaeger,4,13283,31812,0.417546837671319
a1_rudeljaeger,5,13603,31812,0.42760593486734566
a4_urzeitliches_rudel,1,11525,31222,0.3691307411440651
a4_urzeitliches_rudel,2,11882,31222,0.38056498622766
a4_urzeitliches_rudel,3,12185,31222,0.39026968163474474
a4_urzeitliches_rudel,4,12494,31222,0.4001665492281084
a4_urzeitliches_rudel,5,12679,31222,0.4060918583050413
h1_solidaritaet,1,16932,35367,0.47875137840359655
h1_solidaritaet,2,16463,35367,0.4654904289309243
h1_solidaritaet,3,16552,35367,0.4680068990867193
h1_solidaritaet,4,17050,35367,0.4820878219809427
h1_solidaritaet,5,16906,35367,0.4780162298187576
h2_schicht,1,14833,34297,0.43248680642621806
h2_schicht,2,15732,34297,0.4586990115753564
h2_schicht,3,16108,34297,0.46966206956876694
h2_schicht,4,16367,34297,0.4772137504738024
h2_schicht,5,16488,34297,0.4807417558387031
