matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-d5f2da62-0,a1_rudeljaeger,standard,0,0,1,13,0,16,15,41,38,13,10,10,0,0
match-d5f2da62-0,a4_urzeitliches_rudel,standard,1,1,0,13,2,17,16,59,23,14,9,12,0,0
match-4f402b20-1,a1_rudeljaeger,standard,0,0,1,11,-1,15,13,34,24,11,7,11,0,0
match-4f402b20-1,a4_urzeitliches_rudel,standard,1,1,0,11,1,16,13,56,6,11,9,13,0,0
match-e35818e7-2,a1_rudeljaeger,standard,0,0,1,8,0,12,10,29,5,9,3,10,0,0
match-e35818e7-2,a4_urzeitliches_rudel,standard,1,1,0,8,2,14,7,28,7,7,7,12,0,0
match-5ca569a5-3,a1_rudeljaeger,standard,0,1,1,7,9,11,10,24,0,9,4,15,0,0
match-5ca569a5-3,a4_urzeitliches_rudel,standard,1,0,0,7,-3,13,8,23,5,6,7,3,0,0
match-bb285d58-4,a1_rudeljaeger,standard,0,0,1,13,-3,16,16,40,40,14,9,10,0,0
match-bb285d58-4,a4_urzeitliches_rudel,standard,1,1,0,13,2,17,16,65,16,14,15,15,0,0
match-3475ae16-5,a1_rudeljaeger,standard,0,0,1,10,-3,14,13,35,19,13,9,9,0,0
match-3475ae16-5,a4_urzeitliches_rudel,standard,1,1,0,10,3,16,13,48,4,12,10,15,0,2
match-c88d9bdd-6,a1_rudeljaeger,standard,0,1,1,8,7,11,11,25,5,9,6,13,0,0
match-c88d9bdd-6,a4_urzeitliches_rudel,standard,1,0,0,8,-1,13,9,32,3,9,7,5,0,1
match-41daec9b-7,a1_rudeljaeger,standard,0,1,1,6,10,9,8,16,1,8,5,13,0,0
match-41daec9b-7,a4_urzeitliches_rudel,standard,1,0,0,6,-1,10,7,20,1,6,6,2,0,0
match-a05dc04e-8,a1_rudeljaeger,standard,0,1,1,10,1,13,13,35,13,12,9,15,0,0
match-a05dc04e-8,a4_urzeitliches_rudel,standard,1,0,0,10,-3,15,13,44,8,11,9,11,0,0
match-19ab310c-9,a1_rudeljaeger,standard,0,1,1,8,1,11,11,26,6,10,5,13,0,0
match-19ab310c-9,a4_urzeitliches_rudel,standard,1,0,0,8,-1,14,8,31,4,8,8,11,0,0
match-adc31ed3-10,a1_rudeljaeger,standard,0,0,1,9,-3,14,7,22,14,6,4,7,0,0
match-adc31ed3-10,a4_urzeitliches_rudel,standard,1,1,0,9,5,13,7,30,6,7,2,15,0,0
match-27106f91-11,a1_rudeljaeger,standard,0,1,1,12,1,16,15,32,36,13,10,13,0,0
match-27106f91-11,a4_urzeitliches_rudel,standard,1,0,0,12,-1,16,15,50,17,13,13,11,0,3
match-85934344-12,a1_rudeljaeger,standard,0,1,1,6,9,9,7,15,2,7,4,13,0,0
match-85934344-12,a4_urzeitliches_rudel,standard,1,0,0,6,-1,11,7,18,3,6,4,3,0,0
match-fee0b401-13,a1_rudeljaeger,standard,0,0,1,9,-4,12,10,27,11,9,10,9,0,0
match-fee0b401-13,a4_urzeitliches_rudel,standard,1,1,0,9,3,13,11,33,6,11,8,16,0,2
match-92f881c9-14,a1_rudeljaeger,standard,0,1,1,7,10,10,9,26,2,8,4,15,0,0
match-92f881c9-14,a4_urzeitliches_rudel,standard,1,0,0,7,-3,12,8,24,4,7,5,2,0,0
match-0c45f287-15,a1_rudeljaeger,standard,0,0,1,9,0,14,12,26,12,10,6,10,0,0
match-0c45f287-15,a4_urzeitliches_rudel,standard,1,1,0,9,2,12,10,42,1,10,9,12,0,1
match-6ac8c63a-16,a1_rudeljaeger,standard,0,0,1,11,-1,15,14,36,20,13,10,11,0,0
match-6ac8c63a-16,a4_urzeitliches_rudel,standard,1,1,0,11,1,16,14,49,13,12,10,13,0,0
match-e41636f7-17,a1_rudeljaeger,standard,0,1,1,4,8,8,4,9,0,4,1,14,0,0
match-e41636f7-17,a4_urzeitliches_rudel,standard,1,0,0,4,-2,8,4,9,1,3,1,4,0,0
match-782e04bf-18,a1_rudeljaeger,standard,0,0,1,8,-4,12,11,26,5,10,3,10,0,0
match-782e04bf-18,a4_urzeitliches_rudel,standard,1,1,0,8,2,14,7,30,5,7,7,16,0,0
match-f17b757c-19,a1_rudeljaeger,standard,0,1,1,11,4,14,14,34,22,13,10,13,0,0
match-f17b757c-19,a4_urzeitliches_rudel,standard,1,0,0,11,-1,15,14,52,10,12,9,8,0,2
match-4ffe4930-20,a1_rudeljaeger,standard,0,0,1,11,0,14,12,33,23,10,9,7,0,0
match-4ffe4930-20,a4_urzeitliches_rudel,standard,1,1,0,11,5,15,13,57,5,11,8,12,0,0
match-c94bb9ed-21,a1_rudeljaeger,standard,0,1,1,8,10,12,9,22,9,9,5,14,0,0
match-c94bb9ed-21,a4_urzeitliches_rudel,standard,1,0,0,8,-2,12,9,32,3,8,7,2,0,0
match-5d6387b5-22,a1_rudeljaeger,standard,0,0,1,15,-1,19,18,41,67,16,12,11,0,0
match-5d6387b5-22,a4_urzeitliches_rudel,standard,1,1,0,15,1,20,18,69,40,16,14,13,0,1
match-d6b0f872-23,a1_rudeljaeger,standard,0,1,1,6,5,9,8,19,1,8,6,13,0,0
match-d6b0f872-23,a4_urzeitliches_rudel,standard,1,0,0,6,-1,11,7,19,1,6,6,7,0,0
match-3533cc26-24,a1_rudeljaeger,standard,0,0,1,9,-1,12,9,27,14,9,6,8,0,0
match-3533cc26-24,a4_urzeitliches_rudel,standard,1,1,0,9,4,13,11,39,5,10,6,13,0,0
match-ae813ce3-25,a1_rudeljaeger,standard,0,1,1,6,10,9,5,17,1,5,1,13,0,0
match-ae813ce3-25,a4_urzeitliches_rudel,standard,1,0,0,6,-1,12,5,14,6,4,3,2,0,0
match-42990aab-26,a1_rudeljaeger,standard,0,1,1,11,2,14,14,36,22,13,9,13,0,0
match-42990aab-26,a4_urzeitliches_rudel,standard,1,0,0,11,-1,15,14,55,6,12,12,10,0,0
match-bbe67b68-27,a1_rudeljaeger,standard,0,1,1,7,12,11,7,21,2,6,6,13,0,0
match-bbe67b68-27,a4_urzeitliches_rudel,standard,1,0,0,7,-1,12,8,25,3,8,2,0,0,0
match-1a694f1c-28,a1_rudeljaeger,standard,0,1,1,6,8,11,8,21,0,8,3,15,0,0
match-1a694f1c-28,a4_urzeitliches_rudel,standard,1,0,0,6,-3,10,6,18,2,6,6,4,0,0
match-93b6bfd9-29,a1_rudeljaeger,standard,0,1,1,6,5,9,8,20,1,8,1,15,0,0
match-93b6bfd9-29,a4_urzeitliches_rudel,standard,1,0,0,6,-3,11,6,20,1,5,5,7,0,0
match-27ce8da1-30,a1_rudeljaeger,standard,0,0,1,9,-3,14,11,27,13,10,4,8,0,0
match-27ce8da1-30,a4_urzeitliches_rudel,standard,1,1,0,9,4,13,9,34,2,8,8,15,0,0
match-a11bfe5e-31,a1_rudeljaeger,standard,0,1,1,7,10,12,8,24,1,8,3,12,0,0
match-a11bfe5e-31,a4_urzeitliches_rudel,standard,1,0,0,7,0,12,8,24,4,7,4,2,0,1
match-ff9ed211-32,a1_rudeljaeger,standard,0,0,1,6,0,10,9,19,0,8,3,7,0,0
match-ff9ed211-32,a4_urzeitliches_rudel,standard,1,1,0,6,5,12,6,19,1,5,7,12,0,0
match-78ec22cf-33,a1_rudeljaeger,standard,0,1,1,7,6,11,10,26,1,9,4,13,0,0
