cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,258,973,754,219,219,0.774922918807811,0.5316666666666666,0.5498220640569395,0.5375494071146245,4.9907161803713525,2386,337,0,456,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,230,988,512,476,476,0.5182186234817814,0.5316666666666666,0.5380530973451327,0.5235457063711911,6.82421875,1978,581,0,355,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,249,1002,963,39,39,0.9610778443113772,0.5316666666666666,0.5480427046263345,0.5614678899082569,6.895119418483905,0,0,0,0,0,2889,0,0,0,0,0,0
mobilmachung,forschung_muskelkraft,standard,1200,229,1006,583,423,423,0.5795228628230616,0.5316666666666666,0.5251299826689775,0.4834123222748815,6.478559176672384,0,0,0,0,0,0,0,0,0,0,1068,0
kranfuehrer,forschung_muskelkraft,standard,1200,259,954,662,292,292,0.6939203354297694,0.5316666666666666,0.5511669658886894,0.5432692307692307,8.821752265861027,2489,1176,0,398,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,239,955,826,129,129,0.8649214659685864,0.5316666666666666,0.5424954792043399,0.5513833992094862,7.865617433414044,4123,520,0,731,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,230,945,873,72,72,0.9238095238095239,0.5316666666666666,0.554954954954955,0.5653846153846154,8.524627720504009,9994,601,0,1119,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,116,501,266,235,235,0.530938123752495,0.5316666666666666,0.5429141716566867,0.5375939849624061,6.2293233082706765,1115,187,0,194,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,103,486,345,141,141,0.7098765432098766,0.5316666666666666,0.565843621399177,0.5623188405797102,8.182608695652174,816,99,0,193,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,115,488,449,39,39,0.9200819672131147,0.5316666666666666,0.5635245901639344,0.5679287305122495,7.6815144766147,1248,140,0,266,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,113,471,430,41,41,0.9129511677282378,0.5316666666666666,0.5562632696390658,0.5674418604651162,8.546511627906977,2354,248,0,498,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,142,491,449,42,42,0.9144602851323829,0.5316666666666666,0.5621181262729125,0.5679287305122495,8.11804008908686,2746,1075,0,538,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,117,442,424,18,18,0.9592760180995475,0.5316666666666666,0.6199095022624435,0.6273584905660378,8.054245283018869,2732,326,0,511,0,0,3373,3687,0,0,0,0
ratte,rudeljaeger,standard,1200,236,884,794,90,90,0.8981900452488688,0.59,0.581651376146789,0.566990291262136,5.722921914357682,1822,972,0,409,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,1200,215,881,790,91,91,0.8967082860385925,0.59,0.575925925925926,0.5546719681908548,5.978481012658228,1789,869,0,411,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,1200,248,924,865,59,59,0.9361471861471862,0.59,0.5913978494623656,0.5807050092764379,6.027745664739885,2840,1370,0,544,0,0,0,0,0,0,0,0
hauskater,rudeljaeger,standard,1200,242,855,717,138,138,0.8385964912280702,0.59,0.5578747628083491,0.5266524520255863,7.244072524407253,1298,60,0,248,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,1200,263,886,803,83,83,0.9063205417607223,0.59,0.5677655677655677,0.5427435387673957,6.270236612702366,2238,388,0,476,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger,standard,1200,255,912,854,58,58,0.9364035087719298,0.59,0.5768535262206148,0.5549132947976878,7.312646370023419,0,0,0,0,1708,0,0,0,677,125,0,0
pferd,rudeljaeger,standard,1200,233,901,866,35,35,0.9611542730299667,0.59,0.5742753623188406,0.5738007380073801,6.01270207852194,3370,1075,0,672,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger,standard,600,113,433,399,34,34,0.9214780600461894,0.59,0.5542725173210161,0.5338345864661654,6.303258145363409,697,115,0,154,0,0,0,0,0,0,0,0
luchs,rudeljaeger,standard,600,111,414,394,20,20,0.9516908212560387,0.59,0.5845410628019324,0.5812182741116751,7.730964467005077,2409,655,0,447,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger,standard,600,131,394,377,17,17,0.9568527918781726,0.59,0.5736040609137056,0.5676392572944297,7.888594164456234,1597,166,0,283,0,0,0,0,0,0,0,0
