deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,48,47,5,0.5052631578947369,10.37,4.87
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,45,52,3,0.4639175257731959,11.06,5.41
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,82,3,15,0.9647058823529412,15.3,5.07
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,74,12,14,0.8604651162790697,14.9,5.25
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,38,58,4,0.3958333333333333,10.66,4.43
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,32,68,0,0.32,10.62,5.31
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,78,14,8,0.8478260869565217,12.85,5.4
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,72,22,6,0.7659574468085106,13.79,5.45
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,60,39,1,0.6060606060606061,9.43,4.61
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,45,54,1,0.45454545454545453,8.94,4.53
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,11,89,0,0.11,11.47,7.16
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,9,88,3,0.09278350515463918,12.24,6.93
