deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,4158,7891,0.5269294132556076
forschung_muskelkraft,2,4211,7891,0.5336459257381827
forschung_muskelkraft,3,3993,7891,0.5060195159041947
forschung_muskelkraft,4,4019,7891,0.5093144088201749
forschung_muskelkraft,5,4002,7891,0.5071600557597262
rudeljaeger,1,3534,7244,0.4878520154610712
rudeljaeger,2,3542,7244,0.48895637769188294
rudeljaeger,3,3541,7244,0.48881833241303146
rudeljaeger,4,3475,7244,0.4797073440088349
rudeljaeger,5,3550,7244,0.49006073992269467
solidaritaet_ueberleben,1,4729,8655,0.5463893703061814
solidaritaet_ueberleben,2,4939,8655,0.5706528018486424
solidaritaet_ueberleben,3,4698,8655,0.5428076256499134
solidaritaet_ueberleben,4,4758,8655,0.549740034662045
solidaritaet_ueberleben,5,4609,8655,0.532524552281918
urzeitliche_kolosse,1,3046,6936,0.4391580161476355
urzeitliche_kolosse,2,3005,6936,0.4332468281430219
urzeitliche_kolosse,3,3099,6936,0.4467993079584775
urzeitliche_kolosse,4,3159,6936,0.4554498269896194
urzeitliche_kolosse,5,3015,6936,0.4346885813148789
