matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-256474e6-0,forschung_muskelkraft,standard,0,0,1,15,0,22,20,71,44,16,14,7,0,0
match-256474e6-0,rudeljaeger,standard,1,1,0,15,4,21,19,50,60,17,15,11,0,2
match-ac170428-1,forschung_muskelkraft,standard,0,0,1,7,0,13,8,24,3,5,5,9,0,0
match-ac170428-1,rudeljaeger,standard,1,1,0,7,3,11,8,17,5,8,3,12,0,0
match-17ff3661-2,forschung_muskelkraft,standard,0,1,1,10,3,17,10,39,10,9,10,12,0,0
match-17ff3661-2,rudeljaeger,standard,1,0,0,10,0,15,14,39,11,13,6,9,0,1
match-9eb1c5a3-3,forschung_muskelkraft,standard,0,0,1,12,-2,18,16,52,22,12,9,4,0,0
match-9eb1c5a3-3,rudeljaeger,standard,1,1,0,12,8,16,14,39,32,13,13,14,0,3
match-0a99f7dc-4,forschung_muskelkraft,standard,0,1,1,9,3,13,9,36,7,7,8,13,0,0
match-0a99f7dc-4,rudeljaeger,standard,1,0,0,9,-1,13,13,27,13,11,4,9,0,0
match-914c871e-5,forschung_muskelkraft,standard,0,1,1,9,1,15,10,36,4,8,6,14,0,0
match-914c871e-5,rudeljaeger,standard,1,0,0,9,-2,12,12,25,12,10,3,11,0,0
match-fd34b956-6,forschung_muskelkraft,standard,0,1,1,12,1,17,11,41,25,9,9,12,0,0
match-fd34b956-6,rudeljaeger,standard,1,0,0,12,0,16,15,37,30,14,7,11,0,0
match-83e74899-7,forschung_muskelkraft,standard,0,1,1,7,8,13,8,27,1,6,4,12,0,0
match-83e74899-7,rudeljaeger,standard,1,0,0,7,0,10,8,22,5,7,3,4,0,1
match-5af96efa-8,forschung_muskelkraft,standard,0,1,1,14,5,21,20,71,22,16,12,13,0,0
match-5af96efa-8,rudeljaeger,standard,1,0,0,14,-1,17,16,43,52,15,17,7,0,1
match-e1ac1e3c-9,forschung_muskelkraft,standard,0,1,1,8,4,15,8,30,2,6,8,13,0,0
match-e1ac1e3c-9,rudeljaeger,standard,1,0,0,8,-1,12,12,30,2,10,3,8,0,1
match-4d943075-10,forschung_muskelkraft,standard,0,0,1,9,-3,17,12,39,5,8,6,4,0,0
match-4d943075-10,rudeljaeger,standard,1,1,0,9,8,14,11,35,6,10,8,15,0,2
match-d446dfb7-11,forschung_muskelkraft,standard,0,0,1,15,0,22,14,50,60,10,11,8,0,0
match-d446dfb7-11,rudeljaeger,standard,1,1,0,15,3,19,16,45,62,15,9,11,0,1
match-402ef1f0-12,forschung_muskelkraft,standard,0,1,1,14,1,21,14,55,43,11,13,13,0,0
match-402ef1f0-12,rudeljaeger,standard,1,0,0,14,-1,18,18,49,44,16,9,11,0,1
match-c6e18132-13,forschung_muskelkraft,standard,0,1,1,11,2,18,12,45,15,11,8,15,0,0
match-c6e18132-13,rudeljaeger,standard,1,0,0,11,-3,15,14,31,24,12,7,10,0,0
match-32c9b36b-14,forschung_muskelkraft,standard,0,1,1,7,6,14,7,26,1,6,7,13,0,0
match-32c9b36b-14,rudeljaeger,standard,1,0,0,7,-1,10,9,24,3,9,1,6,0,0
match-b97c42ad-15,forschung_muskelkraft,standard,0,1,1,13,3,19,13,50,31,11,13,14,0,0
match-b97c42ad-15,rudeljaeger,standard,1,0,0,13,-2,18,17,42,38,15,8,9,0,0
match-ba3a60bd-16,forschung_muskelkraft,standard,0,0,1,10,-6,17,11,41,13,9,6,6,0,0
match-ba3a60bd-16,rudeljaeger,standard,1,1,0,10,6,15,12,39,11,10,10,18,0,2
match-40ed1000-17,forschung_muskelkraft,standard,0,0,1,5,-2,10,4,14,1,3,2,2,0,0
match-40ed1000-17,rudeljaeger,standard,1,1,0,5,10,8,4,14,1,4,3,14,0,0
match-acd52238-18,forschung_muskelkraft,standard,0,1,1,10,5,16,8,35,10,6,9,13,0,0
match-acd52238-18,rudeljaeger,standard,1,0,0,10,-1,15,14,33,14,13,4,7,0,0
match-3387d17b-19,forschung_muskelkraft,standard,0,1,1,8,4,16,8,28,1,6,9,12,0,0
match-3387d17b-19,rudeljaeger,standard,1,0,0,8,0,11,11,27,6,10,3,8,0,0
match-9f6fe3b3-20,forschung_muskelkraft,standard,0,1,1,16,6,22,14,54,66,11,17,9,0,0
match-9f6fe3b3-20,rudeljaeger,standard,1,0,0,16,0,21,20,52,69,18,9,3,0,1
match-262292f6-21,forschung_muskelkraft,standard,0,1,1,12,3,18,10,42,29,8,13,13,0,0
match-262292f6-21,rudeljaeger,standard,1,0,0,12,-1,16,16,38,29,14,6,9,0,0
match-920aa52e-22,forschung_muskelkraft,standard,0,1,1,16,5,23,14,57,76,12,14,9,0,0
match-920aa52e-22,rudeljaeger,standard,1,0,0,16,0,19,19,50,75,17,7,4,0,0
match-18bd5471-23,forschung_muskelkraft,standard,0,1,1,7,8,12,6,25,2,6,6,13,0,0
match-18bd5471-23,rudeljaeger,standard,1,0,0,7,-1,10,10,22,4,8,3,4,0,0
match-efcf7ad1-24,forschung_muskelkraft,standard,0,0,1,5,0,12,4,14,1,3,3,3,0,0
match-efcf7ad1-24,rudeljaeger,standard,1,1,0,5,9,8,5,13,0,5,2,12,0,0
match-76820a14-25,forschung_muskelkraft,standard,0,1,1,7,3,13,8,27,1,6,8,12,0,0
match-76820a14-25,rudeljaeger,standard,1,0,0,7,0,10,10,24,3,10,3,9,0,0
match-e26a3c4c-26,forschung_muskelkraft,standard,0,1,1,15,3,23,15,56,49,11,16,15,0,0
match-e26a3c4c-26,rudeljaeger,standard,1,0,0,15,-3,21,19,51,58,17,11,9,0,2
match-691ccb8f-27,forschung_muskelkraft,standard,0,0,1,9,-1,14,11,41,3,8,4,8,0,0
match-691ccb8f-27,rudeljaeger,standard,1,1,0,9,4,13,11,26,10,9,10,13,0,0
match-d504fdc7-28,forschung_muskelkraft,standard,0,0,1,9,-2,17,11,38,2,9,9,8,0,0
match-d504fdc7-28,rudeljaeger,standard,1,1,0,9,4,13,13,37,5,12,8,14,0,0
match-5bb78d0a-29,forschung_muskelkraft,standard,0,1,1,8,3,14,8,28,1,6,7,12,0,0
match-5bb78d0a-29,rudeljaeger,standard,1,0,0,8,0,12,12,28,2,10,3,9,0,1
match-c79fbf42-30,forschung_muskelkraft,standard,0,0,1,15,0,21,17,65,50,13,14,9,0,0
match-c79fbf42-30,rudeljaeger,standard,1,1,0,15,2,20,19,50,58,17,12,11,0,1
match-4e524e85-31,forschung_muskelkraft,standard,0,1,1,11,1,19,10,37,22,9,8,15,0,0
match-4e524e85-31,rudeljaeger,standard,1,0,0,11,-3,14,13,30,25,12,6,11,0,1
match-fbb87d36-32,forschung_muskelkraft,standard,0,0,1,7,-1,14,8,27,1,5,7,6,0,0
match-fbb87d36-32,rudeljaeger,standard,1,1,0,7,6,10,10,25,2,10,4,13,0,0
match-826b0c79-33,forschung_muskelkraft,standard,0,1,1,10,1,16,11,38,7,9,10,12,0,0
match-826b0c79-33,rudeljaeger,standard,1,0,0,10,0,13,13,37,12,12,5,11,0,1
match-ee533eb1-34,forschung_muskelkraft,standard,0,1,1,14,2,19,14,55,42,10,16,15,0,0
match-ee533eb1-34,rudeljaeger,standard,1,0,0,14,-3,19,18,48,45,16,9,10,0,1
match-7505cdf4-35,forschung_muskelkraft,standard,0,1,1,9,2,15,9,36,6,8,8,15,0,0
match-7505cdf4-35,rudeljaeger,standard,1,0,0,9,-3,12,12,28,10,10,3,10,0,1
match-e0ede02c-36,forschung_muskelkraft,standard,0,0,1,7,0,12,7,24,3,5,5,11,0,0
match-e0ede02c-36,rudeljaeger,standard,1,1,0,7,1,11,9,25,1,9,5,12,0,0
match-67a08f6f-37,forschung_muskelkraft,standard,0,0,1,7,-1,13,8,27,1,7,7,6,0,0
match-67a08f6f-37,rudeljaeger,standard,1,1,0,7,6,11,10,23,1,10,5,13,0,2
match-d388a1a7-38,forschung_muskelkraft,standard,0,1,1,13,1,20,16,56,26,13,14,14,0,0
match-d388a1a7-38,rudeljaeger,standard,1,0,0,13,-2,17,16,36,45,15,11,11,0,2
match-5a3b50ea-39,forschung_muskelkraft,standard,0,0,1,11,-1,18,16,56,3,13,8,0,0,0
match-5a3b50ea-39,rudeljaeger,standard,1,1,0,11,12,14,14,35,21,12,14,13,0,1
match-314d774b-40,forschung_muskelkraft,standard,0,1,1,11,3,16,12,46,14,9,11,19,0,0
match-314d774b-40,rudeljaeger,standard,1,0,0,11,-7,14,14,34,23,12,7,9,0,0
match-b800068d-41,forschung_muskelkraft,standard,0,1,1,15,1,22,14,54,55,11,16,11,0,0
match-b800068d-41,rudeljaeger,standard,1,0,0,15,0,19,18,47,60,17,8,10,0,2
match-23e838c6-42,forschung_muskelkraft,standard,0,1,1,10,4,17,13,44,11,10,6,12,0,0
match-23e838c6-42,rudeljaeger,standard,1,0,0,10,0,14,13,32,17,11,7,8,0,2
match-aa9ac808-43,forschung_muskelkraft,standard,0,1,1,15,3,20,17,64,41,14,15,15,0,0
match-aa9ac808-43,rudeljaeger,standard,1,0,0,15,-3,19,19,51,59,17,12,9,0,2
match-1682fa41-44,forschung_muskelkraft,standard,0,0,1,8,-1,14,8,33,1,7,5,8,0,0
match-1682fa41-44,rudeljaeger,standard,1,1,0,8,4,13,10,22,6,8,6,13,0,0
match-9d358983-45,forschung_muskelkraft,standard,0,,1,16,0,22,18,65,55,14,12,9,0,0
match-9d358983-45,rudeljaeger,standard,1,,0,16,0,22,16,42,83,14,12,9,0,1
match-091dbbbc-46,forschung_muskelkraft,standard,0,0,1,7,0,11,8,26,1,6,4,0,0,0
match-091dbbbc-46,rudeljaeger,standard,1,1,0,7,12,11,8,23,0,7,5,12,0,0
match-8fd04afe-47,forschung_muskelkraft,standard,0,0,1,16,0,22,20,71,51,16,11,10,0,0
match-8fd04afe-47,rudeljaeger,standard,1,1,0,16,1,20,17,46,74,15,17,11,0,0
match-908e690e-48,forschung_muskelkraft,standard,0,1,1,11,3,17,12,41,14,9,13,17,0,0
match-908e690e-48,rudeljaeger,standard,1,0,0,11,-5,15,15,40,20,13,7,9,0,0
match-17411851-49,forschung_muskelkraft,standard,0,0,1,8,0,14,7,25,3,6,7,10,0,0
