matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-256474e6-0,rudeljaeger,standard,1,6,0,0,0,0,0,0,true,false,false
match-256474e6-0,forschung_muskelkraft,standard,0,6,3,9,10,22,3,19,false,false,false
match-17ff3661-2,rudeljaeger,standard,1,6,3,13,12,28,3,25,false,false,false
match-17ff3661-2,forschung_muskelkraft,standard,0,6,3,9,8,20,3,17,true,false,false
match-9eb1c5a3-3,rudeljaeger,standard,1,9,5,25,31,61,5,56,true,false,false
match-914c871e-5,forschung_muskelkraft,standard,0,8,5,5,2,12,5,7,true,true,true
match-fd34b956-6,rudeljaeger,standard,1,6,1,3,5,9,1,8,false,false,false
match-fd34b956-6,forschung_muskelkraft,standard,0,7,4,6,8,18,4,14,true,false,false
match-83e74899-7,forschung_muskelkraft,standard,0,6,2,7,6,15,2,13,true,true,true
match-5af96efa-8,forschung_muskelkraft,standard,0,6,4,9,8,21,4,17,true,false,false
match-5af96efa-8,rudeljaeger,standard,1,10,4,6,6,16,4,12,false,false,false
match-4d943075-10,rudeljaeger,standard,1,6,3,9,9,21,3,18,true,false,false
match-d446dfb7-11,forschung_muskelkraft,standard,0,10,4,9,6,19,4,15,false,false,false
match-d446dfb7-11,rudeljaeger,standard,1,11,5,6,7,18,5,13,true,false,false
match-402ef1f0-12,forschung_muskelkraft,standard,0,8,4,3,2,9,4,5,true,false,false
match-402ef1f0-12,rudeljaeger,standard,1,12,5,5,4,14,5,9,false,false,false
match-c6e18132-13,forschung_muskelkraft,standard,0,6,4,3,2,9,4,5,true,false,false
match-32c9b36b-14,forschung_muskelkraft,standard,0,6,4,8,6,18,4,14,true,true,true
match-b97c42ad-15,forschung_muskelkraft,standard,0,6,4,7,2,13,4,9,true,false,false
match-b97c42ad-15,rudeljaeger,standard,1,10,3,8,6,17,3,14,false,false,false
match-ba3a60bd-16,rudeljaeger,standard,1,6,2,6,8,16,2,14,true,false,false
match-acd52238-18,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-acd52238-18,forschung_muskelkraft,standard,0,6,4,11,10,25,4,21,true,false,false
match-3387d17b-19,forschung_muskelkraft,standard,0,6,4,9,4,17,4,13,true,false,true
match-9f6fe3b3-20,rudeljaeger,standard,1,7,3,13,13,29,3,26,false,false,false
match-9f6fe3b3-20,forschung_muskelkraft,standard,0,8,5,8,6,19,5,14,true,false,false
match-262292f6-21,rudeljaeger,standard,1,6,2,4,4,10,2,8,false,false,false
match-262292f6-21,forschung_muskelkraft,standard,0,6,4,4,6,14,4,10,true,false,false
match-920aa52e-22,rudeljaeger,standard,1,6,3,9,11,23,3,20,false,false,false
match-920aa52e-22,forschung_muskelkraft,standard,0,6,4,4,6,14,4,10,true,false,false
match-18bd5471-23,forschung_muskelkraft,standard,0,6,2,6,4,12,2,10,true,true,true
match-76820a14-25,forschung_muskelkraft,standard,0,6,3,6,4,13,3,10,true,true,true
match-e26a3c4c-26,rudeljaeger,standard,1,8,3,18,19,40,3,37,false,false,false
match-e26a3c4c-26,forschung_muskelkraft,standard,0,13,4,13,14,31,4,27,true,false,true
match-691ccb8f-27,rudeljaeger,standard,1,6,3,10,11,24,3,21,true,false,false
match-d504fdc7-28,forschung_muskelkraft,standard,0,6,2,8,6,16,2,14,false,false,false
match-d504fdc7-28,rudeljaeger,standard,1,8,3,13,19,35,3,32,true,true,true
match-c79fbf42-30,rudeljaeger,standard,1,10,5,28,31,64,5,59,true,false,false
match-c79fbf42-30,forschung_muskelkraft,standard,0,15,3,10,10,23,3,20,false,false,false
match-4e524e85-31,forschung_muskelkraft,standard,0,7,1,2,1,4,1,3,true,false,false
match-4e524e85-31,rudeljaeger,standard,1,9,5,10,12,27,5,22,false,false,false
match-826b0c79-33,rudeljaeger,standard,1,6,1,4,4,9,1,8,false,false,false
match-ee533eb1-34,rudeljaeger,standard,1,6,0,0,0,0,0,0,false,false,false
match-ee533eb1-34,forschung_muskelkraft,standard,0,6,3,12,12,27,3,24,true,false,false
match-7505cdf4-35,forschung_muskelkraft,standard,0,6,2,6,6,14,2,12,true,false,false
match-d388a1a7-38,forschung_muskelkraft,standard,0,6,4,12,8,24,4,20,true,false,false
match-5a3b50ea-39,rudeljaeger,standard,1,6,1,5,5,11,1,10,true,false,false
match-314d774b-40,rudeljaeger,standard,1,6,2,9,8,19,2,17,false,false,false
match-b800068d-41,rudeljaeger,standard,1,6,3,12,11,26,3,23,false,false,false
match-b800068d-41,forschung_muskelkraft,standard,0,6,2,7,8,17,2,15,true,false,false
match-23e838c6-42,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-aa9ac808-43,rudeljaeger,standard,1,12,4,11,12,27,4,23,false,false,false
match-aa9ac808-43,forschung_muskelkraft,standard,0,14,5,13,14,32,5,27,true,true,true
match-9d358983-45,rudeljaeger,standard,1,12,5,17,13,35,5,30,false,false,false
match-9d358983-45,forschung_muskelkraft,standard,0,15,5,8,10,23,5,18,false,false,false
match-091dbbbc-46,rudeljaeger,standard,1,6,3,9,11,23,3,20,true,true,true
match-8fd04afe-47,forschung_muskelkraft,standard,0,8,4,7,4,15,4,11,false,false,false
match-8fd04afe-47,rudeljaeger,standard,1,9,5,27,32,64,5,59,true,false,false
match-908e690e-48,forschung_muskelkraft,standard,0,6,5,12,7,24,5,19,true,false,false
match-17411851-49,rudeljaeger,standard,1,6,3,9,8,20,3,17,true,false,true
match-83292a89-50,forschung_muskelkraft,standard,0,6,4,8,4,16,4,12,false,false,false
match-83292a89-50,rudeljaeger,standard,1,9,5,15,17,37,5,32,true,false,false
match-75c3ec04-52,rudeljaeger,standard,1,6,3,10,12,25,3,22,true,true,true
match-fc769b46-53,rudeljaeger,standard,1,6,3,6,10,19,3,16,false,false,false
match-fc769b46-53,forschung_muskelkraft,standard,0,10,5,16,14,35,5,30,false,false,false
match-ef115cc1-55,forschung_muskelkraft,standard,0,6,4,10,7,21,4,17,true,false,true
match-4cd61265-57,rudeljaeger,standard,1,6,1,1,0,2,1,1,true,false,false
match-4cd61265-57,forschung_muskelkraft,standard,0,15,3,8,4,15,3,12,false,false,false
match-3f70d3e0-59,forschung_muskelkraft,standard,0,6,1,2,0,3,1,2,false,false,false
match-ab58e618-60,forschung_muskelkraft,standard,0,6,3,9,6,18,3,15,false,false,false
match-ab58e618-60,rudeljaeger,standard,1,9,5,17,21,43,5,38,true,false,false
match-320b955b-61,forschung_muskelkraft,standard,0,11,2,5,2,9,2,7,true,false,false
match-24a656d6-63,rudeljaeger,standard,1,6,3,10,10,23,3,20,false,false,false
match-78bc6444-64,forschung_muskelkraft,standard,0,6,2,8,6,16,2,14,false,false,false
match-6b5725bf-66,rudeljaeger,standard,1,6,1,3,4,8,1,7,false,false,false
match-6b5725bf-66,forschung_muskelkraft,standard,0,6,4,16,12,32,4,28,true,false,false
match-e4a4967c-69,forschung_muskelkraft,standard,0,6,3,8,6,17,3,14,false,false,false
match-e4a4967c-69,rudeljaeger,standard,1,9,4,21,25,50,4,46,false,false,false
match-ae517e58-72,rudeljaeger,standard,1,6,2,4,5,11,2,9,false,false,false
match-ae517e58-72,forschung_muskelkraft,standard,0,6,3,12,12,27,3,24,false,false,false
match-35040d9b-73,rudeljaeger,standard,1,7,5,20,27,52,5,47,true,false,false
match-35040d9b-73,forschung_muskelkraft,standard,0,12,5,12,11,28,5,23,false,false,false
match-a0ec3fd3-74,rudeljaeger,standard,1,7,4,19,24,47,4,43,true,false,false
match-9386e14e-76,rudeljaeger,standard,1,6,3,10,9,22,3,19,true,false,true
match-8621a2c9-78,forschung_muskelkraft,standard,0,6,4,6,4,14,4,10,false,false,false
match-8621a2c9-78,rudeljaeger,standard,1,8,4,14,18,36,4,32,true,true,true
match-0d92701c-80,rudeljaeger,standard,1,6,2,9,9,20,2,18,true,false,false
match-0d92701c-80,forschung_muskelkraft,standard,0,11,1,3,2,6,1,5,false,false,false
match-94451f5e-81,forschung_muskelkraft,standard,0,13,2,8,6,16,2,14,false,false,false
match-94451f5e-81,rudeljaeger,standard,1,13,3,11,13,27,3,24,false,false,false
match-002d3197-82,forschung_muskelkraft,standard,0,10,3,9,8,20,3,17,true,true,true
match-86dfc0d9-83,rudeljaeger,standard,1,6,2,5,8,15,2,13,false,false,false
match-86dfc0d9-83,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-f2c7f311-84,rudeljaeger,standard,1,9,4,17,18,39,4,35,false,false,false
match-f2c7f311-84,forschung_muskelkraft,standard,0,14,5,16,10,31,5,26,true,true,true
match-797a8254-85,rudeljaeger,standard,1,6,3,7,7,17,3,14,false,false,false
match-797a8254-85,forschung_muskelkraft,standard,0,12,5,10,5,20,5,15,true,false,false
match-e562b48c-86,forschung_muskelkraft,standard,0,8,4,10,5,19,4,15,true,true,true
match-6c1543cf-87,forschung_muskelkraft,standard,0,6,2,5,2,9,2,7,true,false,false
match-c9da1972-89,rudeljaeger,standard,1,7,5,20,19,44,5,39,true,false,true
match-bc74daed-91,forschung_muskelkraft,standard,0,6,4,9,6,19,4,15,true,false,false
match-285ced26-92,forschung_muskelkraft,standard,0,6,3,7,6,16,3,13,false,false,false
match-af0f9c68-93,forschung_muskelkraft,standard,0,6,5,5,1,11,5,6,true,false,false
