cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,252,968,767,201,201,0.7923553719008265,0.41,0.4126984126984127,0.41487279843444225,4.980443285528032,2273,394,0,433,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,240,1000,504,496,496,0.504,0.41,0.42086956521739133,0.42105263157894735,6.246031746031746,2044,557,0,342,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,222,951,906,45,45,0.9526813880126183,0.41,0.4186046511627907,0.4232209737827715,6.798013245033113,0,0,0,0,0,2718,0,0,0,0,0,0
mobilmachung,forschung_muskelkraft,standard,1200,241,964,579,385,385,0.6006224066390041,0.41,0.4038800705467372,0.3581730769230769,6.544041450777202,0,0,0,0,0,0,0,0,0,0,1052,0
kranfuehrer,forschung_muskelkraft,standard,1200,250,907,637,270,270,0.7023153252480706,0.41,0.42385321100917434,0.4261904761904762,8.861852433281005,2456,1128,0,388,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,233,919,785,134,134,0.8541893362350381,0.41,0.4215328467153285,0.41448692152917505,7.565605095541401,3787,400,0,630,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,239,936,854,82,82,0.9123931623931624,0.41,0.4116575591985428,0.42115384615384616,8.488290398126464,8437,587,0,980,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,115,492,242,250,250,0.491869918699187,0.41,0.42886178861788615,0.45454545454545453,6.450413223140496,1005,167,0,168,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,114,452,327,125,125,0.7234513274336283,0.41,0.44026548672566373,0.3944954128440367,8.235474006116208,783,98,0,177,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,136,460,433,27,27,0.941304347826087,0.41,0.4434782608695652,0.45265588914549654,7.6327944572748265,1196,169,0,233,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,121,461,421,40,40,0.913232104121475,0.41,0.42516268980477223,0.42280285035629456,8.30166270783848,2135,187,0,482,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,109,476,439,37,37,0.9222689075630253,0.41,0.4327731092436975,0.44419134396355353,7.758542141230068,2611,897,0,502,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,128,437,418,19,19,0.9565217391304348,0.41,0.4782608695652174,0.4880382775119617,7.538277511961723,2804,241,0,480,0,0,3597,3746,0,0,0,0
ratte,rudeljaeger,standard,1200,232,867,764,103,103,0.881199538638985,0.38666666666666666,0.3644859813084112,0.3588709677419355,5.824607329842932,1695,1000,0,366,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,1200,229,868,770,98,98,0.8870967741935484,0.38666666666666666,0.36996336996337,0.3568627450980392,5.5181818181818185,1801,1009,0,379,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,1200,251,889,843,46,46,0.9482564679415073,0.38666666666666666,0.37722419928825623,0.3720508166969147,5.819691577698695,2711,1270,0,514,0,0,0,0,0,0,0,0
hauskater,rudeljaeger,standard,1200,257,864,706,158,158,0.8171296296296297,0.38666666666666666,0.3532710280373832,0.32456140350877194,6.9645892351274785,1177,88,0,235,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,1200,244,864,785,79,79,0.9085648148148148,0.38666666666666666,0.3527204502814259,0.334,6.3859872611464965,2061,292,0,414,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger,standard,1200,248,896,853,43,43,0.9520089285714286,0.38666666666666666,0.36,0.3326959847036329,7.23915592028136,0,0,0,0,1706,0,0,0,731,130,0,0
pferd,rudeljaeger,standard,1200,232,861,833,28,28,0.967479674796748,0.38666666666666666,0.3621013133208255,0.35619047619047617,5.990396158463385,3290,818,0,616,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger,standard,600,119,422,392,30,30,0.9289099526066351,0.38666666666666666,0.33649289099526064,0.32908163265306123,5.971938775510204,792,106,0,152,0,0,0,0,0,0,0,0
luchs,rudeljaeger,standard,600,123,395,385,10,10,0.9746835443037974,0.38666666666666666,0.36455696202531646,0.36883116883116884,7.51948051948052,2272,541,0,379,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger,standard,600,116,381,372,9,9,0.9763779527559056,0.38666666666666666,0.3464566929133858,0.34139784946236557,7.833333333333333,1416,110,0,241,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger,standard,600,102,375,360,15,15,0.96,0.38666666666666666,0.3253333333333333,0.3194444444444444,7.747222222222222,1569,80,0,253,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger,standard,600,124,407,355,52,52,0.8722358722358723,0.38666666666666666,0.3316953316953317,0.29577464788732394,6.901408450704225,1087,125,0,239,0,0,0,0,0,0,0,0
pc_principal,rudeljaeger,standard,600,123,371,352,19,19,0.9487870619946092,0.38666666666666666,0.38274932614555257,0.36079545454545453,7.6335227272727275,2909,221,0,466,0,0,3274,3758,0,0,0,0
rekrut,solidaritaet_ueberleben,standard,1200,233,964,686,278,278,0.7116182572614108,0.54,0.5517857142857143,0.5414012738853503,4.790087463556851,1295,677,0,266,0,0,0,0,0,0,0,0
schildwache,solidaritaet_ueberleben,standard,1200,227,922,775,147,147,0.8405639913232104,0.54,0.5394265232974911,0.5187376725838264,6.021935483870967,1035,285,0,337,0,0,0,0,0,0,0,0
der_alte_hund,solidaritaet_ueberleben,standard,600,126,468,364,104,104,0.7777777777777778,0.54,0.5277777777777778,0.48626373626373626,6.239010989010989,743,167,0,243,0,0,0,0,0,0,0,0
streikposten,solidaritaet_ueberleben,standard,1200,236,977,750,227,227,0.7676560900716479,0.54,0.5335689045936396,0.5121951219512195,6.757333333333333,1122,172,0,274,0,0,0,0,0,0,0,0
feldscherin,solidaritaet_ueberleben,standard,600,121,499,286,213,213,0.5731462925851704,0.54,0.5470941883767535,0.486013986013986,8.283216783216783,256,55,121,91,0,0,0,0,0,0,0,0
schrottsammlerin,solidaritaet_ueberleben,standard,1200,245,955,814,141,141,0.8523560209424084,0.54,0.5373665480427047,0.5272373540856031,6.554054054054054,2603,402,0,527,0,0,0,0,0,0,0,0
generalstreik,solidaritaet_ueberleben,standard,600,133,463,440,23,23,0.9503239740820735,0.54,0.5421166306695464,0.5363636363636364,8.2,0,0,0,0,0,0,3152,0,0,0,0,0
ritter,solidaritaet_ueberleben,standard,1200,254,911,806,105,105,0.884742041712404,0.54,0.5397111913357401,0.5266272189349113,7.550868486352357,3669,259,0,650,0,0,0,0,0,0,0,0
gewerkschaftssekretaerin,solidaritaet_ueberleben,standard,600,123,447,404,43,43,0.9038031319910514,0.54,0.5480984340044742,0.5420792079207921,8.207920792079207,1203,116,0,241,0,0,0,0,0,0,0,0
die_massen,solidaritaet_ueberleben,standard,1200,227,951,910,41,41,0.9568874868559412,0.54,0.5524475524475524,0.5652951699463328,8.973626373626374,6244,3152,0,658,0,0,0,0,0,0,0,0
kommandantin,solidaritaet_ueberleben,standard,600,113,445,415,30,30,0.9325842696629213,0.54,0.5550561797752809,0.5590361445783133,7.720481927710844,1029,120,0,211,0,0,0,0,0,0,0,0
pc_babies,solidaritaet_ueberleben,standard,600,129,453,427,26,26,0.9426048565121413,0.54,0.5540838852097131,0.5480093676814989,8.140515222482435,1871,129,0,302,0,0,0,0,0,0,0,0
junger_neffe,solidaritaet_ueberleben,standard,600,115,477,392,85,85,0.8218029350104822,0.54,0.5220125786163522,0.5076530612244898,7.6020408163265305,1206,127,0,259,0,0,0,0,0,0,0,0
pc_principal,solidaritaet_ueberleben,standard,600,118,423,413,10,10,0.9763593380614657,0.54,0.5862884160756501,0.5883777239709443,7.825665859564165,2492,144,0,443,0,0,4308,4290,0,0,0,0
ratte,urzeitliche_kolosse,standard,1200,244,874,756,118,118,0.8649885583524027,0.5983333333333334,0.604355716878403,0.596116504854369,4.194444444444445,1765,1435,0,409,0,0,0,0,0,0,0,0
wolf,urzeitliche_kolosse,standard,1200,246,852,705,147,147,0.8274647887323944,0.5983333333333334,0.6054545454545455,0.611336032388664,4.809929078014185,1981,555,0,433,0,0,0,0,0,0,0,0
wilder_instinkt,urzeitliche_kolosse,standard,600,124,452,385,67,67,0.8517699115044248,0.5983333333333334,0.5796460176991151,0.5844155844155844,6.828571428571428,0,0,0,0,770,0,0,0,235,136,0,0
velociraptor,urzeitliche_kolosse,standard,1200,234,857,681,176,176,0.79463243873979,0.5983333333333334,0.6007259528130672,0.5764192139737991,7.117474302496329,2215,371,0,420,0,0,0,0,0,0,0,0
pferd,urzeitliche_kolosse,standard,1200,221,869,798,71,71,0.9182968929804373,0.5983333333333334,0.5890909090909091,0.5900383141762452,5.466165413533835,3328,1107,0,661,0,0,0,0,0,0,0,0
triceratops,urzeitliche_kolosse,standard,1200,244,742,642,100,100,0.8652291105121294,0.5983333333333334,0.5869120654396728,0.5803571428571429,7.1993769470404985,1904,241,0,529,0,0,0,0,0,0,0,0
pteranodon,urzeitliche_kolosse,standard,1200,261,760,486,274,274,0.6394736842105263,0.5983333333333334,0.6039215686274509,0.5628571428571428,8.576131687242798,1239,104,0,234,0,0,0,0,0,0,0,0
baer,urzeitliche_kolosse,standard,600,110,388,360,28,28,0.9278350515463918,0.5983333333333334,0.5902061855670103,0.5888888888888889,6.502777777777778,1347,165,0,203,0,0,0,0,0,0,0,0
spinosaurus,urzeitliche_kolosse,standard,600,136,382,310,72,72,0.8115183246073299,0.5983333333333334,0.5942408376963351,0.5838709677419355,9.361290322580645,745,328,0,96,0,0,0,0,0,0,0,0
tyrannosaurus_rex,urzeitliche_kolosse,standard,600,117,393,351,42,42,0.8931297709923665,0.5983333333333334,0.6132315521628499,0.6467236467236467,8.592592592592593,1714,825,0,148,0,0,0,0,0,0,0,0
brachiosaurus,urzeitliche_kolosse,standard,600,115,378,347,31,31,0.917989417989418,0.5983333333333334,0.6084656084656085,0.6195965417867435,8.412103746397694,1575,612,0,197,0,0,0,0,0,0,0,0
vogelmensch,urzeitliche_kolosse,standard,600,135,369,340,29,29,0.9214092140921409,0.5983333333333334,0.5962059620596206,0.5970588235294118,7.470588235294118,1275,51,0,213,0,0,0,0,0,0,0,0
randy_marsh,urzeitliche_kolosse,standard,600,109,375,355,20,20,0.9466666666666667,0.5983333333333334,0.6266666666666667,0.6253521126760564,7.197183098591549,1896,566,0,332,0,0,0,0,0,0,0,0
pc_principal,urzeitliche_kolosse,standard,600,104,358,343,15,15,0.9581005586592178,0.5983333333333334,0.6787709497206704,0.685131195335277,7.1020408163265305,1824,99,0,297,0,0,3025,3376,0,0,0,0
