deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,55,43,2,0.5612244897959183,10.4,5.29
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,47,49,4,0.4895833333333333,11.2,5.17
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,44,50,6,0.46808510638297873,12.96,4.66
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,38,57,5,0.4,13.31,4.98
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,30,69,1,0.30303030303030304,10.51,5.48
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,32,66,2,0.32653061224489793,10.84,4.98
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,35,60,5,0.3684210526315789,12.32,4.13
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,24,72,4,0.25,11.94,4.2
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,42,57,1,0.42424242424242425,8.9,3.86
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,39,61,0,0.39,9.76,4.45
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,43,54,3,0.44329896907216493,10.82,5.05
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,42,52,6,0.44680851063829785,11.6,4.53
