deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,3869,7522,0.5143578835416113
forschung_muskelkraft,2,3853,7522,0.5122307896835948
forschung_muskelkraft,3,3761,7522,0.5
forschung_muskelkraft,4,3684,7522,0.4897633608082957
forschung_muskelkraft,5,3653,7522,0.48564211645838873
rudeljaeger,1,3392,7052,0.48099829835507657
rudeljaeger,2,3347,7052,0.47461712989222915
rudeljaeger,3,3452,7052,0.4895065229722065
rudeljaeger,4,3467,7052,0.4916335791264889
rudeljaeger,5,3457,7052,0.4902155416903006
solidaritaet_ueberleben,1,4272,7895,0.5411019632678911
solidaritaet_ueberleben,2,4413,7895,0.5589613679544015
solidaritaet_ueberleben,3,4373,7895,0.5538948701709943
solidaritaet_ueberleben,4,4270,7895,0.5408486383787207
solidaritaet_ueberleben,5,4168,7895,0.5279290690310323
urzeitliche_kolosse,1,2987,6843,0.4365044571094549
urzeitliche_kolosse,2,2970,6843,0.4340201665935993
urzeitliche_kolosse,3,2979,6843,0.4353353792196405
urzeitliche_kolosse,4,3011,6843,0.4400116907788981
urzeitliche_kolosse,5,2989,6843,0.43679672658190855
