matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-c6b9643c-0,forschung_muskelkraft,standard,0,,1,15,0,21,16,62,54,13,10,11,0,0
match-c6b9643c-0,rudeljaeger,standard,1,,0,15,0,18,16,46,66,14,10,11,0,4
match-4d6c137f-1,forschung_muskelkraft,standard,0,1,1,17,3,24,16,62,74,13,16,11,0,0
match-4d6c137f-1,rudeljaeger,standard,1,0,0,17,-2,23,20,52,86,18,10,6,0,0
match-b95425b7-2,forschung_muskelkraft,standard,0,0,1,6,-2,11,5,20,1,4,5,5,0,0
match-b95425b7-2,rudeljaeger,standard,1,1,0,6,7,10,8,20,0,8,2,14,0,1
match-4006d4fa-3,forschung_muskelkraft,standard,0,1,1,14,2,21,17,64,32,14,11,12,0,0
match-4006d4fa-3,rudeljaeger,standard,1,0,0,14,0,18,17,46,48,15,12,10,0,1
match-abeee732-4,forschung_muskelkraft,standard,0,0,1,17,-1,21,9,32,104,5,8,1,0,0
match-abeee732-4,rudeljaeger,standard,1,1,0,17,5,21,13,39,99,12,5,7,0,0
match-32a19675-5,forschung_muskelkraft,standard,0,0,1,5,0,9,5,14,1,3,5,6,0,0
match-32a19675-5,rudeljaeger,standard,1,1,0,5,6,8,7,15,0,6,2,12,0,0
match-9e89a8ad-6,forschung_muskelkraft,standard,0,1,1,14,1,20,13,54,37,13,12,14,0,0
match-9e89a8ad-6,rudeljaeger,standard,1,0,0,14,-2,19,17,40,51,16,9,11,0,1
match-253c57f0-7,forschung_muskelkraft,standard,0,0,1,7,0,12,6,24,3,6,3,6,0,0
match-253c57f0-7,rudeljaeger,standard,1,1,0,7,6,12,7,25,1,7,3,12,0,0
match-91246a28-8,forschung_muskelkraft,standard,0,0,1,4,0,9,3,7,3,2,0,3,0,0
match-91246a28-8,rudeljaeger,standard,1,1,0,4,9,7,4,9,1,3,1,12,0,0
match-17d7196b-9,forschung_muskelkraft,standard,0,0,1,5,0,11,4,14,1,3,1,1,0,0
match-17d7196b-9,rudeljaeger,standard,1,1,0,5,11,9,5,14,1,4,3,12,0,0
match-83bf2ba3-10,forschung_muskelkraft,standard,0,1,1,15,1,23,19,68,39,16,11,11,0,0
match-83bf2ba3-10,rudeljaeger,standard,1,0,0,15,0,21,17,45,61,15,15,10,0,1
match-0a71dae6-11,forschung_muskelkraft,standard,0,1,1,16,4,23,20,71,51,16,15,12,0,0
match-0a71dae6-11,rudeljaeger,standard,1,0,0,16,-1,20,20,52,70,18,14,7,0,1
match-7659ed1e-12,forschung_muskelkraft,standard,0,0,1,8,0,15,9,33,3,8,5,4,0,0
match-7659ed1e-12,rudeljaeger,standard,1,1,0,8,8,12,12,27,5,10,4,12,0,0
match-fd0c9c60-13,forschung_muskelkraft,standard,0,0,1,15,0,22,20,71,34,16,13,11,0,0
match-fd0c9c60-13,rudeljaeger,standard,1,1,0,15,1,20,18,49,56,16,16,12,0,1
match-68f4ae99-14,forschung_muskelkraft,standard,0,0,1,5,0,10,4,14,1,3,3,2,0,0
match-68f4ae99-14,rudeljaeger,standard,1,1,0,5,10,8,6,15,0,6,1,12,0,0
match-efa75ddb-15,forschung_muskelkraft,standard,0,1,1,7,3,14,7,26,1,6,7,14,0,0
match-efa75ddb-15,rudeljaeger,standard,1,0,0,7,-2,11,10,23,2,9,3,9,0,0
match-5b8f7014-16,forschung_muskelkraft,standard,0,0,1,4,-2,10,3,9,1,2,0,0,0,0
match-5b8f7014-16,rudeljaeger,standard,1,1,0,4,12,9,5,10,0,3,3,14,0,0
match-e2421f56-17,forschung_muskelkraft,standard,0,0,1,10,0,16,12,38,11,9,8,10,0,0
match-e2421f56-17,rudeljaeger,standard,1,1,0,10,2,14,14,32,15,12,11,12,0,2
match-4e2a318f-18,forschung_muskelkraft,standard,0,0,1,6,-2,11,6,20,1,4,4,6,0,0
match-4e2a318f-18,rudeljaeger,standard,1,1,0,6,6,10,8,19,2,8,4,14,0,0
match-d4dcc0d1-19,forschung_muskelkraft,standard,0,1,1,15,3,20,16,62,48,13,11,11,0,0
match-d4dcc0d1-19,rudeljaeger,standard,1,0,0,15,0,20,17,40,65,15,10,8,0,0
match-40c4f30a-20,forschung_muskelkraft,standard,0,0,1,17,0,22,20,71,65,16,13,8,0,0
match-40c4f30a-20,rudeljaeger,standard,1,1,0,17,1,20,18,44,92,16,19,9,0,1
match-c777824c-21,forschung_muskelkraft,standard,0,0,1,16,-2,23,20,71,49,16,16,7,0,0
match-c777824c-21,rudeljaeger,standard,1,1,0,16,4,20,20,52,70,18,16,13,0,1
match-335fb485-22,forschung_muskelkraft,standard,0,0,1,8,0,15,10,35,1,9,6,5,0,0
match-335fb485-22,rudeljaeger,standard,1,1,0,8,7,12,11,24,6,10,6,12,0,0
match-ba1243c7-23,forschung_muskelkraft,standard,0,0,1,12,-1,19,16,56,15,12,11,2,0,0
match-ba1243c7-23,rudeljaeger,standard,1,1,0,12,10,17,15,40,29,14,14,13,0,0
match-25fa7600-24,forschung_muskelkraft,standard,0,1,1,10,5,16,11,36,9,9,9,14,0,0
match-25fa7600-24,rudeljaeger,standard,1,0,0,10,-2,14,13,33,14,11,5,7,0,1
match-acad0542-25,forschung_muskelkraft,standard,0,1,1,15,3,23,13,51,54,11,14,13,0,0
match-acad0542-25,rudeljaeger,standard,1,0,0,15,-1,21,19,47,61,17,6,9,0,1
match-1895377b-26,forschung_muskelkraft,standard,0,1,1,8,4,14,9,31,2,7,9,12,0,0
match-1895377b-26,rudeljaeger,standard,1,0,0,8,0,12,12,25,5,10,3,8,0,0
match-9f47c6bd-27,forschung_muskelkraft,standard,0,1,1,12,6,18,15,52,17,11,7,13,0,0
match-9f47c6bd-27,rudeljaeger,standard,1,0,0,12,-1,15,13,32,36,11,11,6,0,1
match-0b2ff8f6-28,forschung_muskelkraft,standard,0,1,1,14,1,19,12,50,41,11,14,12,0,0
match-0b2ff8f6-28,rudeljaeger,standard,1,0,0,14,0,17,17,46,50,16,6,11,0,0
match-91e28838-29,forschung_muskelkraft,standard,0,1,1,18,3,21,20,71,82,16,16,6,0,0
match-91e28838-29,rudeljaeger,standard,1,0,0,18,0,20,20,52,101,18,16,3,0,1
match-fdcaba70-30,forschung_muskelkraft,standard,0,1,1,10,5,16,9,35,10,7,10,12,0,0
match-fdcaba70-30,rudeljaeger,standard,1,0,0,10,0,14,13,29,18,11,4,7,0,0
match-847d49b3-31,forschung_muskelkraft,standard,0,1,1,12,2,19,17,60,14,13,10,15,0,0
match-847d49b3-31,rudeljaeger,standard,1,0,0,12,-3,17,15,42,30,13,12,10,0,0
match-9d0d6c8d-32,forschung_muskelkraft,standard,0,0,1,5,-2,12,5,14,1,3,1,0,0,0
match-9d0d6c8d-32,rudeljaeger,standard,1,1,0,5,12,9,7,14,0,6,3,14,0,0
match-23c01bd0-33,forschung_muskelkraft,standard,0,1,1,7,3,13,6,23,4,5,6,12,0,0
