matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-c6b9643c-0,rudeljaeger,standard,1,13,4,4,4,12,4,8,false,false,false
match-c6b9643c-0,forschung_muskelkraft,standard,0,15,4,8,10,22,4,18,false,false,false
match-4d6c137f-1,forschung_muskelkraft,standard,0,6,3,9,6,18,3,15,true,false,false
match-4d6c137f-1,rudeljaeger,standard,1,7,4,13,17,34,4,30,false,false,false
match-4006d4fa-3,rudeljaeger,standard,1,6,2,6,8,16,2,14,false,false,false
match-4006d4fa-3,forschung_muskelkraft,standard,0,9,4,14,11,29,4,25,true,false,false
match-abeee732-4,rudeljaeger,standard,1,6,4,4,6,14,4,10,true,false,false
match-abeee732-4,forschung_muskelkraft,standard,0,6,5,15,13,33,5,28,false,false,false
match-9e89a8ad-6,forschung_muskelkraft,standard,0,6,5,7,1,13,5,8,true,false,false
match-253c57f0-7,rudeljaeger,standard,1,6,2,8,7,17,2,15,true,true,true
match-83bf2ba3-10,forschung_muskelkraft,standard,0,6,4,4,4,12,4,8,true,false,false
match-83bf2ba3-10,rudeljaeger,standard,1,9,5,18,22,45,5,40,false,false,false
match-0a71dae6-11,rudeljaeger,standard,1,9,5,21,25,51,5,46,false,false,false
match-0a71dae6-11,forschung_muskelkraft,standard,0,15,3,9,8,20,3,17,true,true,true
match-fd0c9c60-13,forschung_muskelkraft,standard,0,6,3,12,6,21,3,18,false,false,false
match-fd0c9c60-13,rudeljaeger,standard,1,14,0,0,0,0,0,0,true,true,true
match-4e2a318f-18,rudeljaeger,standard,1,6,2,8,10,20,2,18,true,true,true
match-d4dcc0d1-19,forschung_muskelkraft,standard,0,6,4,10,6,20,4,16,true,false,false
match-d4dcc0d1-19,rudeljaeger,standard,1,13,5,16,14,35,5,30,false,false,false
match-40c4f30a-20,forschung_muskelkraft,standard,0,6,5,7,4,16,5,11,false,false,false
match-40c4f30a-20,rudeljaeger,standard,1,11,5,10,9,24,5,19,true,false,false
match-c777824c-21,forschung_muskelkraft,standard,0,6,2,8,6,16,2,14,false,false,false
match-c777824c-21,rudeljaeger,standard,1,7,3,12,15,30,3,27,true,false,false
match-ba1243c7-23,forschung_muskelkraft,standard,0,6,4,10,5,19,4,15,false,false,false
match-ba1243c7-23,rudeljaeger,standard,1,7,3,10,14,27,3,24,true,false,false
match-25fa7600-24,forschung_muskelkraft,standard,0,6,4,6,2,12,4,8,true,false,false
match-acad0542-25,rudeljaeger,standard,1,6,4,13,13,30,4,26,false,false,false
match-acad0542-25,forschung_muskelkraft,standard,0,6,3,6,8,17,3,14,true,false,false
match-0b2ff8f6-28,rudeljaeger,standard,1,6,2,7,8,17,2,15,false,false,false
match-0b2ff8f6-28,forschung_muskelkraft,standard,0,6,3,8,10,21,3,18,true,false,false
match-91e28838-29,rudeljaeger,standard,1,6,4,11,11,26,4,22,false,false,false
match-91e28838-29,forschung_muskelkraft,standard,0,12,5,12,12,29,5,24,true,false,false
