cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,251,1046,730,316,316,0.6978967495219885,0.5366666666666666,0.5492957746478874,0.5465587044534413,4.1657534246575345,2616,485,0,484,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,240,1078,532,546,546,0.4935064935064935,0.5366666666666666,0.5457685664939551,0.5288461538461539,4.821428571428571,2654,832,0,428,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,259,1091,1054,37,37,0.9660861594867094,0.5366666666666666,0.5391156462585034,0.5460869565217391,6.018975332068311,0,0,0,0,0,3162,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,1200,242,977,896,81,81,0.917093142272262,0.5366666666666666,0.5480943738656987,0.5557692307692308,7.719866071428571,6254,706,0,913,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,235,1052,334,718,718,0.31749049429657794,0.5366666666666666,0.5524475524475524,0.5179282868525896,9.401197604790418,1203,569,0,190,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,232,1039,625,414,414,0.6015399422521656,0.5366666666666666,0.5479930191972077,0.5678733031674208,7.6224,3234,569,0,544,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,253,1052,801,251,251,0.7614068441064639,0.5366666666666666,0.5295138888888888,0.5553191489361702,9.398252184769039,8772,705,0,987,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,114,534,271,263,263,0.5074906367041199,0.5366666666666666,0.548689138576779,0.5166051660516605,4.881918819188192,1231,238,0,214,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,115,520,245,275,275,0.47115384615384615,0.5366666666666666,0.5461538461538461,0.5142857142857142,7.742857142857143,538,98,0,122,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,106,531,460,71,71,0.8662900188323918,0.5366666666666666,0.559322033898305,0.5956521739130435,7.697826086956522,1263,185,0,253,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,126,524,335,189,189,0.6393129770992366,0.5366666666666666,0.5438931297709924,0.5283582089552239,9.397014925373135,1814,170,0,388,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,119,514,396,118,118,0.7704280155642024,0.5366666666666666,0.5544747081712063,0.5909090909090909,8.97979797979798,2488,1076,0,469,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,108,507,482,25,25,0.9506903353057199,0.5366666666666666,0.5759368836291914,0.5933609958506224,7.3838174273858925,3399,353,0,552,0,0,4136,4466,0,0,0,0
ratte,rudeljaeger,standard,1200,253,876,771,105,105,0.8801369863013698,0.415,0.39517625231910947,0.3821138211382114,5.527885862516213,1718,1057,0,348,0,0,0,0,0,0,0,0
