deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,61,32,7,0.6559139784946236,10.36,4.94
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,60,35,5,0.631578947368421,12.03,4.25
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,42,49,9,0.46153846153846156,13.54,4.32
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,48,39,13,0.5517241379310345,13.97,4.19
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,59,39,2,0.6020408163265306,10.29,4.06
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,52,48,0,0.52,10.92,4.67
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,37,58,5,0.3894736842105263,11.86,4.45
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,42,56,2,0.42857142857142855,12.08,5.19
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,56,43,1,0.5656565656565656,9.37,4.89
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,47,53,0,0.47,8.55,4.59
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,50,49,1,0.5050505050505051,11.11,5.06
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,38,60,2,0.3877551020408163,11.83,4.66
