deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,3941,7711,0.511088056023862
forschung_muskelkraft,2,4039,7711,0.5237971728699261
forschung_muskelkraft,3,4029,7711,0.5225003242121644
forschung_muskelkraft,4,4043,7711,0.5243159123330308
forschung_muskelkraft,5,4093,7711,0.5308001556218389
rudeljaeger,1,3355,7025,0.47758007117437723
rudeljaeger,2,3273,7025,0.4659074733096085
rudeljaeger,3,3327,7025,0.47359430604982206
rudeljaeger,4,3383,7025,0.4815658362989324
rudeljaeger,5,3386,7025,0.48199288256227757
solidaritaet_ueberleben,1,4311,8039,0.5362607289463863
solidaritaet_ueberleben,2,4379,8039,0.5447194924741884
solidaritaet_ueberleben,3,4240,8039,0.5274287846747108
solidaritaet_ueberleben,4,4270,8039,0.5311605921134469
solidaritaet_ueberleben,5,4061,8039,0.505162333623585
urzeitliche_kolosse,1,2891,6807,0.42470985749963275
urzeitliche_kolosse,2,2894,6807,0.42515058028500075
urzeitliche_kolosse,3,2965,6807,0.43558101953871015
urzeitliche_kolosse,4,2907,6807,0.42706037902159544
urzeitliche_kolosse,5,2955,6807,0.43411194358748345
