matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-4bd9f116-0,forschung_muskelkraft,standard,0,1,1,14,4,23,13,53,38,11,17,12,0,0
match-4bd9f116-0,rudeljaeger,standard,1,0,0,14,0,19,18,48,45,17,7,8,0,1
match-d28c8058-1,forschung_muskelkraft,standard,0,0,1,5,0,12,5,11,4,3,4,2,0,0
match-d28c8058-1,rudeljaeger,standard,1,1,0,5,10,9,6,12,0,6,1,12,0,0
match-3e74b291-2,forschung_muskelkraft,standard,0,1,1,15,1,23,13,52,53,11,14,11,0,0
match-3e74b291-2,rudeljaeger,standard,1,0,0,15,0,18,18,50,61,16,6,10,0,3
match-c52741d3-3,forschung_muskelkraft,standard,0,0,1,4,0,10,3,7,3,2,3,2,0,0
match-c52741d3-3,rudeljaeger,standard,1,1,0,4,10,10,5,8,1,5,0,12,0,0
match-66a46e20-4,forschung_muskelkraft,standard,0,1,1,12,8,22,12,48,18,10,13,12,0,0
match-66a46e20-4,rudeljaeger,standard,1,0,0,12,0,18,16,43,28,15,5,4,0,0
match-ed571d62-5,forschung_muskelkraft,standard,0,0,1,6,-1,11,6,19,1,5,6,9,0,0
match-ed571d62-5,rudeljaeger,standard,1,1,0,6,3,10,8,17,1,8,1,13,0,1
match-593f2f9b-6,forschung_muskelkraft,standard,0,0,1,16,0,22,20,75,47,18,10,9,0,0
match-593f2f9b-6,rudeljaeger,standard,1,1,0,16,2,21,15,47,75,14,17,11,0,3
match-dff1dedd-7,forschung_muskelkraft,standard,0,1,1,7,6,18,7,26,2,7,4,12,0,0
match-dff1dedd-7,rudeljaeger,standard,1,0,0,7,0,11,10,22,4,8,2,6,0,0
match-816eeb2a-8,forschung_muskelkraft,standard,0,1,1,12,5,24,12,44,28,10,11,17,0,0
match-816eeb2a-8,rudeljaeger,standard,1,0,0,12,-5,15,15,44,27,13,6,7,0,0
match-08219a6d-9,forschung_muskelkraft,standard,0,1,1,8,3,17,8,30,4,7,6,13,0,0
match-08219a6d-9,rudeljaeger,standard,1,0,0,8,-1,12,11,29,2,9,4,9,0,1
match-7409aca5-10,forschung_muskelkraft,standard,0,0,1,6,-1,11,6,18,3,5,4,0,0,0
match-7409aca5-10,rudeljaeger,standard,1,1,0,6,12,10,7,20,1,7,3,13,0,0
match-fabc5be7-11,forschung_muskelkraft,standard,0,0,1,4,0,9,4,8,2,2,0,3,0,0
match-fabc5be7-11,rudeljaeger,standard,1,1,0,4,9,8,3,9,1,3,0,12,0,0
match-9c396834-12,forschung_muskelkraft,standard,0,1,1,13,8,21,19,73,13,17,14,14,0,0
match-9c396834-12,rudeljaeger,standard,1,0,0,13,-2,19,17,53,28,15,12,4,0,2
match-22ec1777-13,forschung_muskelkraft,standard,0,0,1,6,-3,13,6,19,1,5,5,10,0,0
match-22ec1777-13,rudeljaeger,standard,1,1,0,6,2,10,8,21,0,7,2,15,0,1
match-8ed429af-14,forschung_muskelkraft,standard,0,0,1,5,0,9,5,14,1,4,2,7,0,0
match-8ed429af-14,rudeljaeger,standard,1,1,0,5,5,8,5,15,0,5,0,12,0,0
match-1586d8f2-15,forschung_muskelkraft,standard,0,1,1,12,7,24,11,42,29,9,15,12,0,0
match-1586d8f2-15,rudeljaeger,standard,1,0,0,12,0,17,16,46,22,14,4,5,0,1
match-e0affced-16,forschung_muskelkraft,standard,0,1,1,10,3,21,11,39,16,9,8,12,0,0
match-e0affced-16,rudeljaeger,standard,1,0,0,10,0,15,14,40,8,13,4,9,0,2
match-67628c30-17,forschung_muskelkraft,standard,0,1,1,7,4,13,8,27,1,7,7,15,0,0
match-67628c30-17,rudeljaeger,standard,1,0,0,7,-3,10,10,26,2,9,3,8,0,0
match-d34abe68-18,forschung_muskelkraft,standard,0,0,1,8,-1,20,11,33,2,9,6,8,0,0
match-d34abe68-18,rudeljaeger,standard,1,1,0,8,4,15,11,31,4,11,6,13,0,0
match-59fd4dab-19,forschung_muskelkraft,standard,0,0,1,15,0,21,13,51,69,11,13,5,0,0
match-59fd4dab-19,rudeljaeger,standard,1,1,0,15,6,20,19,52,58,17,6,11,0,0
match-fb7a79f7-20,forschung_muskelkraft,standard,0,0,1,9,-2,15,12,43,2,11,5,6,0,0
match-fb7a79f7-20,rudeljaeger,standard,1,1,0,9,6,14,11,34,5,9,8,14,0,2
match-822d093a-21,forschung_muskelkraft,standard,0,1,1,12,5,23,16,63,9,14,14,12,0,0
match-822d093a-21,rudeljaeger,standard,1,0,0,12,0,18,16,45,25,14,10,7,0,1
match-ee153b72-22,forschung_muskelkraft,standard,0,1,1,10,6,18,11,43,8,9,8,12,0,0
match-ee153b72-22,rudeljaeger,standard,1,0,0,10,0,14,13,33,15,11,5,6,0,0
match-74c7cab5-23,forschung_muskelkraft,standard,0,0,1,6,-3,15,6,20,1,5,2,6,0,0
match-74c7cab5-23,rudeljaeger,standard,1,1,0,6,6,10,5,20,1,5,2,15,0,1
match-1644f702-24,forschung_muskelkraft,standard,0,,1,17,-2,22,19,73,75,17,14,8,0,0
match-1644f702-24,rudeljaeger,standard,1,,0,17,-2,20,20,56,84,18,13,8,0,1
match-9cf78644-25,forschung_muskelkraft,standard,0,1,1,14,5,23,20,75,20,18,15,14,0,0
match-9cf78644-25,rudeljaeger,standard,1,0,0,14,-2,21,18,47,46,16,15,7,0,0
match-08dfb87d-26,forschung_muskelkraft,standard,0,1,1,14,6,23,16,62,29,14,12,13,0,0
match-08dfb87d-26,rudeljaeger,standard,1,0,0,14,-1,20,18,53,42,16,11,6,0,0
match-8f9247bf-27,forschung_muskelkraft,standard,0,0,1,8,-2,19,9,31,3,8,6,0,0,0
match-8f9247bf-27,rudeljaeger,standard,1,1,0,8,12,11,9,26,4,9,4,14,0,1
match-310f740c-28,forschung_muskelkraft,standard,0,1,1,10,4,17,9,32,13,7,10,13,0,0
match-310f740c-28,rudeljaeger,standard,1,0,0,10,-1,15,14,39,8,12,2,8,0,1
match-b7c2034e-29,forschung_muskelkraft,standard,0,1,1,7,4,17,9,27,1,7,7,16,0,0
match-b7c2034e-29,rudeljaeger,standard,1,0,0,7,-4,11,9,23,3,8,2,8,0,0
match-23aa3587-30,forschung_muskelkraft,standard,0,0,1,5,0,13,4,13,2,4,1,6,0,0
match-23aa3587-30,rudeljaeger,standard,1,1,0,5,6,10,5,14,1,5,2,12,0,0
match-aa5cc4c9-31,forschung_muskelkraft,standard,0,0,1,6,-1,14,6,19,1,5,3,3,0,0
match-aa5cc4c9-31,rudeljaeger,standard,1,1,0,6,9,10,7,20,1,6,1,13,0,1
match-222df967-32,forschung_muskelkraft,standard,0,0,1,5,0,12,5,14,1,4,4,5,0,0
match-222df967-32,rudeljaeger,standard,1,1,0,5,7,10,6,15,0,6,0,12,0,0
match-a8e088a9-33,forschung_muskelkraft,standard,0,1,1,11,8,22,12,45,16,10,13,13,0,0
match-a8e088a9-33,rudeljaeger,standard,1,0,0,11,-1,15,14,42,16,12,6,4,0,2
match-14c8bae2-34,forschung_muskelkraft,standard,0,1,1,15,8,23,16,65,44,14,14,15,0,0
match-14c8bae2-34,rudeljaeger,standard,1,0,0,15,-3,19,18,46,60,16,11,4,0,0
match-9b7b4a24-35,forschung_muskelkraft,standard,0,1,1,9,8,19,11,36,9,9,7,12,0,0
match-9b7b4a24-35,rudeljaeger,standard,1,0,0,9,0,16,12,29,9,10,5,4,0,0
match-3cf87671-36,forschung_muskelkraft,standard,0,1,1,9,6,16,8,30,6,7,5,13,0,0
match-3cf87671-36,rudeljaeger,standard,1,0,0,9,-1,14,12,32,7,10,2,6,0,1
match-c3ab05b3-37,forschung_muskelkraft,standard,0,0,1,4,-1,9,1,4,6,1,0,0,0,0
match-c3ab05b3-37,rudeljaeger,standard,1,1,0,4,12,9,4,10,0,3,0,13,0,0
match-2f9337ec-38,forschung_muskelkraft,standard,0,1,1,6,1,11,5,17,3,4,5,16,0,0
match-2f9337ec-38,rudeljaeger,standard,1,0,0,6,-4,10,9,17,1,8,0,11,0,0
match-b645c72e-39,forschung_muskelkraft,standard,0,1,1,7,4,15,8,26,2,7,3,13,0,0
match-b645c72e-39,rudeljaeger,standard,1,0,0,7,-1,12,8,22,4,7,2,8,0,0
match-57c2f37b-40,forschung_muskelkraft,standard,0,0,1,8,-1,17,8,26,2,6,6,6,0,0
match-57c2f37b-40,rudeljaeger,standard,1,1,0,8,6,13,11,31,2,10,4,13,0,1
match-de7582bd-41,forschung_muskelkraft,standard,0,1,1,12,5,22,14,53,18,12,11,14,0,0
match-de7582bd-41,rudeljaeger,standard,1,0,0,12,-2,18,17,46,23,15,7,7,0,1
match-4a5db4f6-42,forschung_muskelkraft,standard,0,0,1,7,0,18,7,25,3,7,4,9,0,0
match-4a5db4f6-42,rudeljaeger,standard,1,1,0,7,3,11,9,26,1,9,3,12,0,0
match-d1104438-43,forschung_muskelkraft,standard,0,1,1,15,1,22,16,65,50,14,14,13,0,0
match-d1104438-43,rudeljaeger,standard,1,0,0,15,-1,21,19,54,52,18,10,11,0,4
match-728d7085-44,forschung_muskelkraft,standard,0,1,1,15,7,22,13,52,53,11,14,11,0,0
match-728d7085-44,rudeljaeger,standard,1,0,0,15,0,20,19,55,51,17,8,4,0,1
match-f9401fc7-45,forschung_muskelkraft,standard,0,1,1,14,8,22,15,59,36,13,14,15,0,0
match-f9401fc7-45,rudeljaeger,standard,1,0,0,14,-3,20,19,55,41,17,8,4,0,2
match-65283200-46,forschung_muskelkraft,standard,0,1,1,8,1,15,8,28,7,6,9,12,0,0
match-65283200-46,rudeljaeger,standard,1,0,0,8,0,13,11,27,6,10,2,11,0,0
match-ebdac142-47,forschung_muskelkraft,standard,0,1,1,9,1,17,11,39,4,9,6,13,0,0
match-ebdac142-47,rudeljaeger,standard,1,0,0,9,-1,14,11,31,10,10,4,11,0,1
match-b703e53e-48,forschung_muskelkraft,standard,0,1,1,7,3,15,8,27,1,7,7,13,0,0
match-b703e53e-48,rudeljaeger,standard,1,0,0,7,-1,12,10,25,1,9,2,9,0,0
match-3db69481-49,forschung_muskelkraft,standard,0,1,1,10,4,21,8,30,20,7,9,13,0,0
match-3db69481-49,rudeljaeger,standard,1,0,0,10,-1,16,13,33,15,11,2,8,0,0
match-a99ea6b9-50,forschung_muskelkraft,standard,0,1,1,7,2,17,8,26,1,6,8,15,0,0
match-a99ea6b9-50,rudeljaeger,standard,1,0,0,7,-3,10,10,25,1,9,1,10,0,0
match-305155fc-51,forschung_muskelkraft,standard,0,1,1,6,8,14,6,19,1,5,5,13,0,0
match-305155fc-51,rudeljaeger,standard,1,0,0,6,-1,11,7,20,1,7,2,4,0,0
match-d1ce6248-52,forschung_muskelkraft,standard,0,,1,16,-1,23,19,73,55,17,14,10,0,0
match-d1ce6248-52,rudeljaeger,standard,1,,0,16,-1,22,20,56,65,18,15,10,0,1
match-5881118b-53,forschung_muskelkraft,standard,0,0,1,7,0,13,7,25,2,6,5,7,0,0
match-5881118b-53,rudeljaeger,standard,1,1,0,7,5,12,9,27,1,9,3,12,0,0
match-c46923c3-54,forschung_muskelkraft,standard,0,1,1,11,3,21,14,53,8,12,15,15,0,0
match-c46923c3-54,rudeljaeger,standard,1,0,0,11,-3,15,15,36,21,14,7,9,0,2
match-4b1bd306-55,forschung_muskelkraft,standard,0,1,1,12,4,22,13,46,20,11,15,14,0,0
match-4b1bd306-55,rudeljaeger,standard,1,0,0,12,-2,18,15,41,25,15,6,8,0,2
match-ec98ff52-56,forschung_muskelkraft,standard,0,1,1,14,5,21,13,50,41,11,14,13,0,0
match-ec98ff52-56,rudeljaeger,standard,1,0,0,14,-1,19,18,49,46,17,7,7,0,0
match-734b8e95-57,forschung_muskelkraft,standard,0,1,1,12,1,21,13,48,18,11,12,14,0,0
match-734b8e95-57,rudeljaeger,standard,1,0,0,12,-2,17,15,40,30,14,7,11,0,2
match-df33a0cd-58,forschung_muskelkraft,standard,0,,1,16,0,23,17,69,59,15,15,10,0,0
match-df33a0cd-58,rudeljaeger,standard,1,,0,16,-1,20,20,56,66,18,14,9,0,0
match-65e65010-59,forschung_muskelkraft,standard,0,1,1,10,5,22,11,38,7,9,8,12,0,0
match-65e65010-59,rudeljaeger,standard,1,0,0,10,0,16,14,34,14,12,4,7,0,0
match-07637c5d-60,forschung_muskelkraft,standard,0,1,1,13,5,22,16,59,19,14,12,14,0,0
match-07637c5d-60,rudeljaeger,standard,1,0,0,13,-2,18,17,42,41,15,9,7,0,0
match-8e160b9f-61,forschung_muskelkraft,standard,0,1,1,13,3,21,13,51,32,11,15,16,0,0
match-8e160b9f-61,rudeljaeger,standard,1,0,0,13,-4,21,18,50,32,17,8,9,0,1
match-f9fe3dd7-62,forschung_muskelkraft,standard,0,0,1,8,0,16,10,33,2,9,6,4,0,0
match-f9fe3dd7-62,rudeljaeger,standard,1,1,0,8,8,11,11,30,2,10,6,12,0,0
match-80b0cd1a-63,forschung_muskelkraft,standard,0,1,1,12,2,22,15,51,15,13,11,13,0,0
