matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-4bd9f116-0,forschung_muskelkraft,standard,0,6,5,6,4,15,5,10,true,false,false
match-3e74b291-2,forschung_muskelkraft,standard,0,6,3,9,8,20,3,17,true,false,false
match-3e74b291-2,rudeljaeger,standard,1,15,5,14,17,36,5,31,false,false,false
match-66a46e20-4,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-66a46e20-4,forschung_muskelkraft,standard,0,7,3,4,6,13,3,10,true,false,false
match-593f2f9b-6,forschung_muskelkraft,standard,0,6,2,9,8,19,2,17,false,false,false
match-593f2f9b-6,rudeljaeger,standard,1,11,5,15,15,35,5,30,true,false,false
match-dff1dedd-7,forschung_muskelkraft,standard,0,6,4,7,6,17,4,13,true,true,true
match-816eeb2a-8,rudeljaeger,standard,1,6,1,3,5,9,1,8,false,false,false
match-816eeb2a-8,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-08219a6d-9,rudeljaeger,standard,1,6,3,10,12,25,3,22,false,false,false
match-7409aca5-10,forschung_muskelkraft,standard,0,6,3,5,4,12,3,9,false,false,false
match-9c396834-12,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-9c396834-12,forschung_muskelkraft,standard,0,12,4,15,14,33,4,29,true,true,true
match-1586d8f2-15,forschung_muskelkraft,standard,0,6,5,8,6,19,5,14,true,false,false
match-e0affced-16,forschung_muskelkraft,standard,0,6,4,14,14,32,4,28,true,false,false
match-e0affced-16,rudeljaeger,standard,1,8,5,22,29,56,5,51,false,false,false
match-d34abe68-18,rudeljaeger,standard,1,6,2,9,6,17,2,15,true,false,true
match-59fd4dab-19,forschung_muskelkraft,standard,0,8,5,11,6,22,5,17,false,false,false
match-59fd4dab-19,rudeljaeger,standard,1,11,5,12,14,31,5,26,true,false,false
match-822d093a-21,forschung_muskelkraft,standard,0,6,3,10,8,21,3,18,true,false,false
match-822d093a-21,rudeljaeger,standard,1,7,3,14,17,34,3,31,false,false,false
match-ee153b72-22,rudeljaeger,standard,1,6,2,9,10,21,2,19,false,false,false
match-ee153b72-22,forschung_muskelkraft,standard,0,10,3,10,8,21,3,18,true,true,true
match-74c7cab5-23,rudeljaeger,standard,1,6,2,8,8,18,2,16,true,true,true
match-1644f702-24,forschung_muskelkraft,standard,0,9,5,11,6,22,5,17,false,false,false
match-1644f702-24,rudeljaeger,standard,1,13,5,14,18,37,5,32,false,false,false
match-9cf78644-25,forschung_muskelkraft,standard,0,6,2,9,6,17,2,15,true,false,false
match-9cf78644-25,rudeljaeger,standard,1,8,3,0,0,3,3,0,false,false,false
match-08dfb87d-26,forschung_muskelkraft,standard,0,6,4,10,6,20,4,16,true,false,false
match-08dfb87d-26,rudeljaeger,standard,1,10,5,25,30,60,5,55,false,false,false
match-8f9247bf-27,rudeljaeger,standard,1,6,3,13,10,26,3,23,true,false,true
match-310f740c-28,forschung_muskelkraft,standard,0,9,1,4,4,9,1,8,true,true,true
match-a8e088a9-33,rudeljaeger,standard,1,6,2,9,10,21,2,19,false,false,false
match-a8e088a9-33,forschung_muskelkraft,standard,0,7,5,10,12,27,5,22,true,false,false
match-14c8bae2-34,forschung_muskelkraft,standard,0,9,2,7,6,15,2,13,true,false,false
match-14c8bae2-34,rudeljaeger,standard,1,11,5,12,16,33,5,28,false,false,false
match-3cf87671-36,forschung_muskelkraft,standard,0,6,4,8,6,18,4,14,true,false,false
match-57c2f37b-40,rudeljaeger,standard,1,6,3,12,14,29,3,26,true,false,true
match-57c2f37b-40,forschung_muskelkraft,standard,0,6,3,6,8,17,3,14,false,false,false
match-de7582bd-41,rudeljaeger,standard,1,6,3,12,14,29,3,26,false,false,false
match-de7582bd-41,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-4a5db4f6-42,rudeljaeger,standard,1,7,3,5,6,14,3,11,true,true,true
match-d1104438-43,forschung_muskelkraft,standard,0,8,3,8,4,15,3,12,true,false,false
match-d1104438-43,rudeljaeger,standard,1,13,4,7,13,24,4,20,false,false,false
match-728d7085-44,rudeljaeger,standard,1,6,3,13,11,27,3,24,false,false,false
match-728d7085-44,forschung_muskelkraft,standard,0,6,4,10,12,26,4,22,true,false,false
match-f9401fc7-45,rudeljaeger,standard,1,10,5,30,30,65,5,60,false,false,false
match-f9401fc7-45,forschung_muskelkraft,standard,0,12,3,12,12,27,3,24,true,false,true
match-ebdac142-47,rudeljaeger,standard,1,6,3,12,15,30,3,27,false,false,false
match-b703e53e-48,forschung_muskelkraft,standard,0,6,2,7,6,15,2,13,true,true,true
match-3db69481-49,rudeljaeger,standard,1,6,2,9,9,20,2,18,false,false,false
match-3db69481-49,forschung_muskelkraft,standard,0,6,5,14,12,31,5,26,true,false,false
match-a99ea6b9-50,forschung_muskelkraft,standard,0,6,1,6,4,11,1,10,true,true,true
match-d1ce6248-52,rudeljaeger,standard,1,6,2,7,8,17,2,15,false,false,false
match-d1ce6248-52,forschung_muskelkraft,standard,0,6,4,10,12,26,4,22,false,false,false
match-5881118b-53,rudeljaeger,standard,1,6,2,7,8,17,2,15,true,true,true
match-c46923c3-54,forschung_muskelkraft,standard,0,11,1,2,2,5,1,4,true,true,true
match-ec98ff52-56,rudeljaeger,standard,1,6,2,6,5,13,2,11,false,false,false
match-ec98ff52-56,forschung_muskelkraft,standard,0,6,3,12,12,27,3,24,true,false,false
