cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,239,952,654,298,298,0.6869747899159664,0.535,0.5527272727272727,0.5592105263157895,3.5825688073394497,2517,561,0,459,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,235,996,459,537,537,0.4608433734939759,0.535,0.5526315789473685,0.5736842105263158,4.254901960784314,2378,713,0,370,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,239,994,934,60,60,0.9396378269617707,0.535,0.5495652173913044,0.5649819494584838,5.609207708779444,0,0,0,0,0,2802,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,1200,239,852,750,102,102,0.8802816901408451,0.535,0.5549019607843138,0.5662393162393162,7.298666666666667,5449,593,0,782,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,227,925,250,675,675,0.2702702702702703,0.535,0.551660516605166,0.594059405940594,8.328,973,417,0,150,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,223,945,510,435,435,0.5396825396825397,0.535,0.5495495495495496,0.5380710659898477,6.643137254901961,2662,414,0,446,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,234,936,577,359,359,0.6164529914529915,0.535,0.5543278084714549,0.5994397759103641,8.996533795493933,5717,293,0,646,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,113,485,249,236,236,0.51340206185567,0.535,0.5567010309278351,0.5742971887550201,4.216867469879518,1051,228,0,169,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,126,454,204,250,250,0.44933920704845814,0.535,0.566079295154185,0.5833333333333334,6.867647058823529,546,117,0,121,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,128,484,410,74,74,0.8471074380165289,0.535,0.5702479338842975,0.624390243902439,7.095121951219512,1073,168,0,226,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,133,470,237,233,233,0.5042553191489362,0.535,0.5638297872340425,0.5864978902953587,9.219409282700422,1242,140,0,277,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,117,465,314,151,151,0.6752688172043011,0.535,0.5806451612903226,0.6305732484076433,8.538216560509554,1981,860,0,384,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,147,449,402,47,47,0.8953229398663697,0.535,0.5968819599109132,0.6218905472636815,7.057213930348259,2609,315,0,426,0,0,3322,3656,0,0,0,0
