deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,51,45,4,0.53125,8.74,4.6
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,49,48,3,0.5051546391752577,9.69,4.8
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,70,27,3,0.7216494845360825,12.09,4.1
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,55,40,5,0.5789473684210527,12.49,4.87
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,46,53,1,0.46464646464646464,8.41,4.36
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,50,48,2,0.5102040816326531,8.89,4.07
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,45,52,3,0.4639175257731959,9.73,4.47
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,39,58,3,0.4020618556701031,10.15,4.44
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,58,41,1,0.5858585858585859,7.67,4.17
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,67,33,0,0.67,7.51,4.42
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,46,53,1,0.46464646464646464,9.86,3.9
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,50,46,4,0.5208333333333334,9.86,4.58
