deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,3194,6631,0.48167697179912533
forschung_muskelkraft,2,3199,6631,0.48243100588146587
forschung_muskelkraft,3,3193,6631,0.4815261649826572
forschung_muskelkraft,4,3220,6631,0.485597949027296
forschung_muskelkraft,5,3238,6631,0.4883124717237219
rudeljaeger,1,2601,5949,0.4372163388804841
rudeljaeger,2,2712,5949,0.4558749369641957
rudeljaeger,3,2558,5949,0.4299882333165238
rudeljaeger,4,2709,5949,0.45537065052950076
rudeljaeger,5,2649,5949,0.44528492183560264
solidaritaet_ueberleben,1,3522,7018,0.5018523795953264
solidaritaet_ueberleben,2,3575,7018,0.5094043887147336
solidaritaet_ueberleben,3,3654,7018,0.5206611570247934
solidaritaet_ueberleben,4,3577,7018,0.5096893701909376
solidaritaet_ueberleben,5,3410,7018,0.48589341692789967
urzeitliche_kolosse,1,2303,5820,0.39570446735395187
urzeitliche_kolosse,2,2280,5820,0.3917525773195876
urzeitliche_kolosse,3,2286,5820,0.39278350515463917
urzeitliche_kolosse,4,2331,5820,0.4005154639175258
urzeitliche_kolosse,5,2381,5820,0.409106529209622
