matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-02692644-0,forschung_muskelkraft,standard,0,,1,17,0,21,15,59,82,13,16,6,0,0
match-02692644-0,rudeljaeger,standard,1,,0,17,-2,22,20,56,80,18,9,4,0,1
match-891bd586-1,forschung_muskelkraft,standard,0,,1,15,0,23,19,73,34,17,11,9,0,0
match-891bd586-1,rudeljaeger,standard,1,,0,15,0,20,16,43,62,14,15,9,0,0
match-0fce64c9-2,forschung_muskelkraft,standard,0,1,1,16,2,23,20,75,47,18,15,11,0,0
match-0fce64c9-2,rudeljaeger,standard,1,0,0,16,-2,21,20,56,67,18,13,7,0,3
match-9681140b-3,forschung_muskelkraft,standard,0,1,1,6,4,13,6,20,1,5,5,10,0,0
match-9681140b-3,rudeljaeger,standard,1,0,0,6,0,10,8,19,1,7,1,6,0,0
match-e79ea939-4,forschung_muskelkraft,standard,0,0,1,6,0,15,6,19,1,5,7,4,0,0
match-e79ea939-4,rudeljaeger,standard,1,1,0,6,6,10,9,17,1,8,2,10,0,0
match-6e51587c-5,forschung_muskelkraft,standard,0,1,1,16,1,23,17,69,55,15,15,10,0,0
match-6e51587c-5,rudeljaeger,standard,1,0,0,16,-1,21,20,56,69,18,11,8,0,0
match-f503e7be-6,forschung_muskelkraft,standard,0,1,1,12,4,22,12,47,19,10,11,12,0,0
match-f503e7be-6,rudeljaeger,standard,1,0,0,12,-2,17,15,46,26,13,6,6,0,1
match-7bb69701-7,forschung_muskelkraft,standard,0,0,1,5,-2,10,4,12,3,3,4,3,0,0
match-7bb69701-7,rudeljaeger,standard,1,1,0,5,7,8,6,14,0,6,0,12,0,0
match-37fe2058-8,forschung_muskelkraft,standard,0,1,1,8,2,20,9,32,3,8,6,14,0,0
match-37fe2058-8,rudeljaeger,standard,1,0,0,8,-4,11,11,29,4,9,4,8,0,0
match-beb0cf9a-9,forschung_muskelkraft,standard,0,0,1,5,0,11,3,11,4,3,3,3,0,0
match-beb0cf9a-9,rudeljaeger,standard,1,1,0,5,7,8,6,12,1,6,1,10,0,0
match-45637edd-10,forschung_muskelkraft,standard,0,0,1,5,-4,13,4,13,2,4,3,6,0,0
match-45637edd-10,rudeljaeger,standard,1,1,0,5,4,9,5,13,2,5,0,14,0,0
match-cc160e1f-11,forschung_muskelkraft,standard,0,1,1,15,2,23,13,50,55,11,13,13,0,0
match-cc160e1f-11,rudeljaeger,standard,1,0,0,15,-3,19,18,51,59,16,6,8,0,2
match-1d33a34e-12,forschung_muskelkraft,standard,0,0,1,5,-1,12,2,9,6,2,2,0,0,0
match-1d33a34e-12,rudeljaeger,standard,1,1,0,5,10,9,5,12,3,5,0,11,0,0
match-a3e65290-13,forschung_muskelkraft,standard,0,1,1,16,1,23,18,71,61,16,15,7,0,0
match-a3e65290-13,rudeljaeger,standard,1,0,0,16,0,21,20,56,66,18,14,6,0,2
match-2a98e1d3-14,forschung_muskelkraft,standard,0,1,1,6,3,12,6,20,1,5,5,10,0,0
match-2a98e1d3-14,rudeljaeger,standard,1,0,0,6,0,10,7,18,1,7,2,7,0,0
match-b14b9115-15,forschung_muskelkraft,standard,0,1,1,12,2,23,13,51,15,11,11,12,0,0
match-b14b9115-15,rudeljaeger,standard,1,0,0,12,-2,16,15,44,25,14,8,8,0,1
match-6d933a6c-16,forschung_muskelkraft,standard,0,0,1,7,-2,17,8,26,2,6,4,0,0,0
match-6d933a6c-16,rudeljaeger,standard,1,1,0,7,10,12,9,27,1,8,3,12,0,0
match-f445c9ae-17,forschung_muskelkraft,standard,0,1,1,13,2,22,14,57,26,12,8,10,0,0
match-f445c9ae-17,rudeljaeger,standard,1,0,0,13,0,17,15,40,43,13,7,8,0,0
match-7af878f1-18,forschung_muskelkraft,standard,0,1,1,11,6,22,13,50,16,11,14,14,0,0
match-7af878f1-18,rudeljaeger,standard,1,0,0,11,-4,17,15,44,14,14,6,4,0,3
match-01ab0834-19,forschung_muskelkraft,standard,0,1,1,7,5,14,7,25,1,6,8,12,0,0
match-01ab0834-19,rudeljaeger,standard,1,0,0,7,-2,10,10,25,1,9,2,5,0,0
match-52c8bd62-20,forschung_muskelkraft,standard,0,0,1,14,-1,23,17,69,35,15,13,7,0,0
match-52c8bd62-20,rudeljaeger,standard,1,1,0,14,3,18,18,53,46,17,11,11,0,0
match-d97b4ca4-21,forschung_muskelkraft,standard,0,0,1,3,-2,9,3,5,1,2,0,0,0,0
match-d97b4ca4-21,rudeljaeger,standard,1,1,0,3,10,8,3,6,0,3,0,12,0,0
match-602dfbe7-22,forschung_muskelkraft,standard,0,1,1,13,4,24,16,63,15,14,10,10,0,0
match-602dfbe7-22,rudeljaeger,standard,1,0,0,13,0,16,16,48,35,14,9,6,0,0
match-e6e08b29-23,forschung_muskelkraft,standard,0,0,1,5,-2,10,4,12,3,3,3,4,0,0
match-e6e08b29-23,rudeljaeger,standard,1,1,0,5,6,9,6,14,1,6,0,12,0,0
match-a3283480-24,forschung_muskelkraft,standard,0,0,1,5,-2,12,5,14,1,4,4,4,0,0
match-a3283480-24,rudeljaeger,standard,1,1,0,5,6,10,6,14,1,6,0,12,0,0
match-29dac3c3-25,forschung_muskelkraft,standard,0,0,1,5,0,12,4,13,2,4,3,7,0,0
match-29dac3c3-25,rudeljaeger,standard,1,1,0,5,3,8,6,13,2,6,1,10,0,0
match-b08d7305-26,forschung_muskelkraft,standard,0,1,1,6,3,12,7,20,1,5,4,11,0,0
match-b08d7305-26,rudeljaeger,standard,1,0,0,6,-1,10,8,19,2,7,1,7,0,0
match-37400248-27,forschung_muskelkraft,standard,0,1,1,8,5,18,9,26,3,7,8,11,0,0
match-37400248-27,rudeljaeger,standard,1,0,0,8,-1,12,12,31,4,10,2,5,0,1
match-885db776-28,forschung_muskelkraft,standard,0,1,1,9,6,20,10,37,4,9,11,10,0,0
match-885db776-28,rudeljaeger,standard,1,0,0,9,0,13,13,36,3,11,5,4,0,0
match-0f1046b9-29,forschung_muskelkraft,standard,0,1,1,13,6,23,15,59,28,13,14,10,0,0
match-0f1046b9-29,rudeljaeger,standard,1,0,0,13,0,17,16,44,38,14,8,4,0,1
match-95c2f5fb-30,forschung_muskelkraft,standard,0,1,1,15,3,22,14,57,52,12,13,11,0,0
match-95c2f5fb-30,rudeljaeger,standard,1,0,0,15,-1,19,18,51,57,16,8,7,0,1
match-1c75853e-31,forschung_muskelkraft,standard,0,0,1,5,-1,13,5,13,2,3,0,3,0,0
match-1c75853e-31,rudeljaeger,standard,1,1,0,5,7,9,5,14,0,5,0,11,0,0
match-2c153df3-32,forschung_muskelkraft,standard,0,1,1,14,3,23,14,57,34,12,13,13,0,0
match-2c153df3-32,rudeljaeger,standard,1,0,0,14,-3,17,17,45,47,15,10,7,0,2
match-b2c7cd35-33,forschung_muskelkraft,standard,0,0,1,7,0,13,5,22,6,4,2,4,0,0
match-b2c7cd35-33,rudeljaeger,standard,1,1,0,7,6,11,6,21,3,6,2,10,0,0
match-397a7c78-34,forschung_muskelkraft,standard,0,0,1,9,0,20,10,36,9,9,7,3,0,0
match-397a7c78-34,rudeljaeger,standard,1,1,0,9,7,13,12,35,5,10,5,10,0,1
match-c02d0bba-35,forschung_muskelkraft,standard,0,0,1,5,-1,13,5,14,1,4,1,2,0,0
match-c02d0bba-35,rudeljaeger,standard,1,1,0,5,8,10,6,14,1,5,1,11,0,0
match-114aa0e9-36,forschung_muskelkraft,standard,0,1,1,13,3,21,14,56,26,12,14,13,0,0
match-114aa0e9-36,rudeljaeger,standard,1,0,0,13,-3,17,17,46,33,15,7,7,0,3
