matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-02692644-0,rudeljaeger,standard,1,6,2,7,11,20,2,18,false,false,false
match-02692644-0,forschung_muskelkraft,standard,0,6,3,9,10,22,3,19,false,false,false
match-891bd586-1,forschung_muskelkraft,standard,0,6,5,13,8,26,5,21,false,false,false
match-891bd586-1,rudeljaeger,standard,1,7,4,18,21,43,4,39,false,false,false
match-0fce64c9-2,forschung_muskelkraft,standard,0,9,4,10,4,18,4,14,true,false,false
match-0fce64c9-2,rudeljaeger,standard,1,13,5,11,12,28,5,23,false,false,false
match-9681140b-3,forschung_muskelkraft,standard,0,6,3,4,4,11,3,8,true,true,true
match-6e51587c-5,forschung_muskelkraft,standard,0,10,3,6,2,11,3,8,true,false,false
match-6e51587c-5,rudeljaeger,standard,1,13,5,18,21,44,5,39,false,false,false
match-f503e7be-6,rudeljaeger,standard,1,8,4,18,21,43,4,39,false,false,false
match-f503e7be-6,forschung_muskelkraft,standard,0,8,2,4,6,12,2,10,true,false,false
match-cc160e1f-11,rudeljaeger,standard,1,6,2,9,9,20,2,18,false,false,false
match-cc160e1f-11,forschung_muskelkraft,standard,0,6,5,4,6,15,5,10,true,false,false
match-a3e65290-13,forschung_muskelkraft,standard,0,7,4,6,6,16,4,12,true,false,false
match-a3e65290-13,rudeljaeger,standard,1,11,5,26,31,62,5,57,false,false,false
match-2a98e1d3-14,forschung_muskelkraft,standard,0,6,4,12,10,26,4,22,true,true,true
match-b14b9115-15,rudeljaeger,standard,1,6,1,5,6,12,1,11,false,false,false
match-b14b9115-15,forschung_muskelkraft,standard,0,7,3,10,12,25,3,22,true,false,false
match-6d933a6c-16,rudeljaeger,standard,1,6,2,8,10,20,2,18,true,true,true
match-f445c9ae-17,forschung_muskelkraft,standard,0,6,3,7,2,12,3,9,true,false,false
match-f445c9ae-17,rudeljaeger,standard,1,7,5,5,6,16,5,11,false,false,false
match-7af878f1-18,rudeljaeger,standard,1,6,1,3,5,9,1,8,false,false,false
match-7af878f1-18,forschung_muskelkraft,standard,0,6,2,6,8,16,2,14,true,false,false
match-01ab0834-19,forschung_muskelkraft,standard,0,6,3,10,6,19,3,16,true,true,true
match-52c8bd62-20,forschung_muskelkraft,standard,0,6,3,4,4,11,3,8,false,false,false
match-52c8bd62-20,rudeljaeger,standard,1,10,4,14,16,34,4,30,true,false,false
match-602dfbe7-22,rudeljaeger,standard,1,12,3,13,15,31,3,28,false,false,false
match-602dfbe7-22,forschung_muskelkraft,standard,0,12,3,11,10,24,3,21,true,true,true
match-885db776-28,forschung_muskelkraft,standard,0,6,4,15,12,31,4,27,true,false,false
match-0f1046b9-29,rudeljaeger,standard,1,7,2,10,12,24,2,22,false,false,false
match-0f1046b9-29,forschung_muskelkraft,standard,0,9,5,8,10,23,5,18,true,false,false
match-95c2f5fb-30,rudeljaeger,standard,1,6,3,10,12,25,3,22,false,false,false
match-95c2f5fb-30,forschung_muskelkraft,standard,0,6,2,6,8,16,2,14,true,false,false
match-2c153df3-32,forschung_muskelkraft,standard,0,6,5,7,6,18,5,13,true,false,false
match-b2c7cd35-33,rudeljaeger,standard,1,6,2,8,9,19,2,17,true,true,true
match-397a7c78-34,rudeljaeger,standard,1,7,4,20,21,45,4,41,true,false,true
match-114aa0e9-36,rudeljaeger,standard,1,6,3,11,14,28,3,25,false,false,false
match-114aa0e9-36,forschung_muskelkraft,standard,0,6,4,10,12,26,4,22,true,false,false
match-1eafff6e-38,rudeljaeger,standard,1,6,3,10,15,28,3,25,false,false,false
match-1eafff6e-38,forschung_muskelkraft,standard,0,6,4,6,8,18,4,14,true,false,false
match-a5628eb0-39,rudeljaeger,standard,1,6,4,12,13,29,4,25,false,false,false
match-a5628eb0-39,forschung_muskelkraft,standard,0,7,3,9,10,22,3,19,true,false,false
match-6f0f768c-42,forschung_muskelkraft,standard,0,6,3,8,8,19,3,16,true,false,false
match-6f0f768c-42,rudeljaeger,standard,1,7,5,19,22,46,5,41,false,false,false
match-f5c205ce-43,rudeljaeger,standard,1,10,4,9,10,23,4,19,false,false,false
match-f5c205ce-43,forschung_muskelkraft,standard,0,12,4,12,8,24,4,20,true,true,true
match-5444f982-46,forschung_muskelkraft,standard,0,6,5,11,10,26,5,21,true,false,false
match-daf788c4-47,rudeljaeger,standard,1,6,2,7,7,16,2,14,false,false,false
match-daf788c4-47,forschung_muskelkraft,standard,0,6,2,6,8,16,2,14,true,false,false
match-973f321b-48,forschung_muskelkraft,standard,0,6,3,10,6,19,3,16,true,false,false
match-1df1c15e-49,rudeljaeger,standard,1,6,2,8,11,21,2,19,false,false,false
match-1df1c15e-49,forschung_muskelkraft,standard,0,11,1,2,2,5,1,4,false,false,false
match-03274454-53,forschung_muskelkraft,standard,0,6,2,7,2,11,2,9,true,true,true
match-89d9f396-54,rudeljaeger,standard,1,6,2,7,14,23,2,21,false,false,false
match-89d9f396-54,forschung_muskelkraft,standard,0,6,5,7,8,20,5,15,true,false,false
match-108c82d9-55,rudeljaeger,standard,1,6,2,8,10,20,2,18,true,false,false
match-108c82d9-55,forschung_muskelkraft,standard,0,7,3,10,12,25,3,22,false,false,false
match-ccd42c2f-56,rudeljaeger,standard,1,6,2,8,10,20,2,18,true,false,false
match-5386db72-57,forschung_muskelkraft,standard,0,6,3,3,0,6,3,3,true,true,true
match-b209af25-60,rudeljaeger,standard,1,6,3,11,9,23,3,20,false,false,false
match-b209af25-60,forschung_muskelkraft,standard,0,6,5,8,10,23,5,18,false,false,false
match-55c135a2-64,forschung_muskelkraft,standard,0,6,5,8,6,19,5,14,true,false,false
match-dc73c4e4-65,forschung_muskelkraft,standard,0,7,2,6,6,14,2,12,true,true,true
match-63267427-66,forschung_muskelkraft,standard,0,6,5,4,4,13,5,8,true,false,false
match-c1a947da-69,forschung_muskelkraft,standard,0,6,3,10,8,21,3,18,false,false,false
match-98bb6e3b-74,rudeljaeger,standard,1,6,2,7,8,17,2,15,true,true,true
match-1f6e1d7e-75,rudeljaeger,standard,1,6,2,7,10,19,2,17,true,true,true
match-1f6e1d7e-75,forschung_muskelkraft,standard,0,6,3,4,6,13,3,10,false,false,false
match-708bb2ac-76,rudeljaeger,standard,1,6,3,10,10,23,3,20,false,false,false
match-708bb2ac-76,forschung_muskelkraft,standard,0,6,4,8,10,22,4,18,true,false,false
match-f73e41ee-77,forschung_muskelkraft,standard,0,6,5,6,6,17,5,12,true,false,false
match-7df0f131-78,forschung_muskelkraft,standard,0,6,4,11,8,23,4,19,true,false,false
match-04a38074-79,rudeljaeger,standard,1,6,4,15,15,34,4,30,false,false,false
match-04a38074-79,forschung_muskelkraft,standard,0,9,4,8,8,20,4,16,true,true,true
match-c0eb29ca-80,rudeljaeger,standard,1,6,2,9,9,20,2,18,false,false,false
match-c0eb29ca-80,forschung_muskelkraft,standard,0,6,3,8,8,19,3,16,true,false,false
