cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,255,976,699,277,277,0.7161885245901639,0.46166666666666667,0.4649910233393178,0.4573170731707317,3.765379113018598,2518,456,0,467,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,248,1015,500,515,515,0.49261083743842365,0.46166666666666667,0.4756944444444444,0.49876543209876545,4.486,2331,633,0,373,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,228,981,908,73,73,0.9255861365953109,0.46166666666666667,0.4750889679715303,0.4896810506566604,5.78193832599119,0,0,0,0,0,2724,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,1200,246,866,751,115,115,0.8672055427251733,0.46166666666666667,0.4727626459143969,0.4967741935483871,7.37150466045273,5272,562,0,734,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,229,942,269,673,673,0.28556263269639065,0.46166666666666667,0.4782608695652174,0.4788732394366197,8.052044609665428,993,497,0,158,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,266,930,511,419,419,0.5494623655913978,0.46166666666666667,0.4844606946983547,0.5,6.888454011741683,2527,399,0,431,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,240,950,614,336,336,0.6463157894736842,0.46166666666666667,0.4782608695652174,0.5263157894736842,9.166123778501628,6544,373,0,717,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,136,492,242,250,250,0.491869918699187,0.46166666666666667,0.49390243902439024,0.5,4.487603305785124,1019,157,0,163,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,126,457,203,254,254,0.4442013129102845,0.46166666666666667,0.4989059080962801,0.4975369458128079,7.16256157635468,529,80,0,125,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,98,480,408,72,72,0.85,0.46166666666666667,0.5020833333333333,0.5490196078431373,7.321078431372549,997,123,0,205,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,118,478,258,220,220,0.5397489539748954,0.46166666666666667,0.4916317991631799,0.5387596899224806,8.937984496124031,1350,139,0,290,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,101,479,330,149,149,0.6889352818371608,0.46166666666666667,0.5010438413361169,0.5484848484848485,8.375757575757575,2105,843,0,400,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,109,452,411,41,41,0.9092920353982301,0.46166666666666667,0.5398230088495575,0.5693430656934306,7.141119221411192,2498,232,0,398,0,0,3542,3844,0,0,0,0
ratte,rudeljaeger,standard,1200,250,801,683,118,118,0.8526841448189763,0.52,0.48747591522157996,0.47844827586206895,4.942898975109809,1440,987,0,312,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,1200,251,760,647,113,113,0.8513157894736842,0.52,0.4859437751004016,0.46651785714285715,4.975270479134466,1311,962,0,259,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,1200,239,805,759,46,46,0.9428571428571428,0.52,0.5,0.49504950495049505,5.169960474308301,1988,1265,0,359,0,0,0,0,0,0,0,0
baer,rudeljaeger,standard,1200,253,635,601,34,34,0.9464566929133859,0.52,0.42757009345794394,0.4132029339853301,6.9916805324459235,2386,244,0,363,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,1200,246,777,646,131,131,0.8314028314028314,0.52,0.4647058823529412,0.4018475750577367,5.84984520123839,1624,277,0,300,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger,standard,1200,243,798,689,109,109,0.8634085213032582,0.52,0.4837476099426386,0.40765765765765766,6.7750362844702465,0,0,0,0,1378,0,0,0,532,122,0,0
pferd,rudeljaeger,standard,1200,244,765,723,42,42,0.9450980392156862,0.52,0.47834645669291337,0.47695390781563124,5.623789764868603,2663,717,0,480,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger,standard,600,112,368,332,36,36,0.9021739130434783,0.52,0.44021739130434784,0.42168674698795183,5.852409638554217,478,61,0,80,0,0,0,0,0,0,0,0
luchs,rudeljaeger,standard,600,102,326,315,11,11,0.9662576687116564,0.52,0.4662576687116564,0.4507936507936508,7.095238095238095,1479,446,0,230,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger,standard,600,106,309,277,32,32,0.8964401294498382,0.52,0.4336569579288026,0.4151624548736462,7.108303249097473,842,65,0,129,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger,standard,600,129,317,295,22,22,0.9305993690851735,0.52,0.4353312302839117,0.4101694915254237,7.196610169491525,1025,46,0,149,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger,standard,600,112,354,247,107,107,0.6977401129943502,0.52,0.4435028248587571,0.3441295546558704,7.052631578947368,674,58,0,132,0,0,0,0,0,0,0,0
pc_principal,rudeljaeger,standard,600,113,299,260,39,39,0.8695652173913043,0.52,0.4414715719063545,0.38846153846153847,7.107692307692307,1658,92,0,267,0,0,2681,3087,0,0,0,0
