deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,47,51,2,0.47959183673469385,8.66,4.7
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,42,57,1,0.42424242424242425,9.58,5.34
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,51,44,5,0.5368421052631579,11.86,4.76
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,40,52,8,0.43478260869565216,12,4.09
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,55,43,2,0.5612244897959183,9.24,4.35
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,42,56,2,0.42857142857142855,9.45,4.62
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,45,51,4,0.46875,9.82,4.26
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,38,61,1,0.3838383838383838,10.08,4.42
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,66,34,0,0.66,7.47,4.17
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,55,45,0,0.55,7.84,4.08
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,50,48,2,0.5102040816326531,9.57,4.18
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,44,54,2,0.4489795918367347,10.35,4.43
