deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,3149,6679,0.4714777661326546
forschung_muskelkraft,2,3202,6679,0.4794130857912861
forschung_muskelkraft,3,3220,6679,0.4821081000149723
forschung_muskelkraft,4,3208,6679,0.4803114238658482
forschung_muskelkraft,5,3278,6679,0.4907920347357389
rudeljaeger,1,2646,5945,0.4450798990748528
rudeljaeger,2,2670,5945,0.44911690496215306
rudeljaeger,3,2588,5945,0.43532380151387723
rudeljaeger,4,2634,5945,0.4430613961312027
rudeljaeger,5,2592,5945,0.43599663582842724
solidaritaet_ueberleben,1,3543,6968,0.508467278989667
solidaritaet_ueberleben,2,3486,6968,0.5002870264064294
solidaritaet_ueberleben,3,3517,6968,0.504735935706085
solidaritaet_ueberleben,4,3507,6968,0.503300803673938
solidaritaet_ueberleben,5,3462,6968,0.49684270952927667
urzeitliche_kolosse,1,2316,5992,0.38651535380507346
urzeitliche_kolosse,2,2278,5992,0.380173564753004
urzeitliche_kolosse,3,2422,5992,0.40420560747663553
urzeitliche_kolosse,4,2404,5992,0.40120160213618156
urzeitliche_kolosse,5,2398,5992,0.40020026702269695
