matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-02d0f833-0,forschung_muskelkraft,standard,0,1,1,14,5,20,14,53,38,12,13,11,0,0
match-02d0f833-0,rudeljaeger,standard,1,0,0,14,-1,19,18,49,44,16,8,5,0,1
match-89838775-1,forschung_muskelkraft,standard,0,1,1,15,5,23,13,53,57,11,15,9,0,0
match-89838775-1,rudeljaeger,standard,1,0,0,15,0,19,18,51,56,16,8,4,0,3
match-f56bb9ad-2,forschung_muskelkraft,standard,0,1,1,13,3,23,14,55,28,12,12,13,0,0
match-f56bb9ad-2,rudeljaeger,standard,1,0,0,13,-3,20,17,49,31,15,7,7,0,1
match-7c1e48f0-3,forschung_muskelkraft,standard,0,0,1,5,-2,12,5,12,3,4,4,6,0,0
match-7c1e48f0-3,rudeljaeger,standard,1,1,0,5,4,9,6,15,0,6,2,12,0,0
match-1d9b753d-4,forschung_muskelkraft,standard,0,1,1,9,1,17,12,41,4,10,9,12,0,0
match-1d9b753d-4,rudeljaeger,standard,1,0,0,9,-2,12,12,28,12,11,6,9,0,0
match-a44e047f-5,forschung_muskelkraft,standard,0,1,1,10,5,21,10,37,13,8,9,12,0,0
match-a44e047f-5,rudeljaeger,standard,1,0,0,10,-2,14,13,37,11,12,4,5,0,0
match-103636b8-6,forschung_muskelkraft,standard,0,0,1,5,0,14,5,14,1,4,4,3,0,0
match-103636b8-6,rudeljaeger,standard,1,1,0,5,7,10,5,13,0,5,1,10,0,0
match-96e8c5fa-7,forschung_muskelkraft,standard,0,1,1,8,2,16,8,26,2,7,9,10,0,0
match-96e8c5fa-7,rudeljaeger,standard,1,0,0,8,0,12,11,27,4,10,2,8,0,0
match-cd3bfe1e-8,forschung_muskelkraft,standard,0,0,1,6,-1,13,6,19,1,5,5,7,0,0
match-cd3bfe1e-8,rudeljaeger,standard,1,1,0,6,3,10,8,19,1,7,3,11,0,0
match-53ee8d61-9,forschung_muskelkraft,standard,0,0,1,5,-2,12,4,13,2,4,1,3,0,0
match-53ee8d61-9,rudeljaeger,standard,1,1,0,5,7,8,4,10,2,4,1,12,0,0
match-bfd6bf99-10,forschung_muskelkraft,standard,0,0,1,5,0,11,5,14,1,4,3,3,0,0
match-bfd6bf99-10,rudeljaeger,standard,1,1,0,5,7,12,6,13,0,6,0,10,0,0
match-46894edc-11,forschung_muskelkraft,standard,0,0,1,5,-1,13,4,13,2,4,4,0,0,0
match-46894edc-11,rudeljaeger,standard,1,1,0,5,10,8,7,13,0,7,2,11,0,0
match-e8067b28-12,forschung_muskelkraft,standard,0,1,1,10,3,15,11,42,7,10,7,10,0,0
match-e8067b28-12,rudeljaeger,standard,1,0,0,10,0,14,13,33,15,11,5,7,0,0
match-6eb90a6b-13,forschung_muskelkraft,standard,0,0,1,5,-3,11,5,14,1,4,4,7,0,0
match-6eb90a6b-13,rudeljaeger,standard,1,1,0,5,3,10,6,14,1,6,1,13,0,0
match-daa13ca3-14,forschung_muskelkraft,standard,0,1,1,12,2,23,13,47,24,11,12,11,0,0
match-daa13ca3-14,rudeljaeger,standard,1,0,0,12,-1,17,16,44,23,14,6,8,0,0
match-6153cbe6-15,forschung_muskelkraft,standard,0,0,1,5,0,10,4,13,2,4,4,0,0,0
match-6153cbe6-15,rudeljaeger,standard,1,1,0,5,10,9,6,15,0,6,2,10,0,0
match-6dfaec5b-16,forschung_muskelkraft,standard,0,1,1,10,3,19,10,33,12,8,7,11,0,0
match-6dfaec5b-16,rudeljaeger,standard,1,0,0,10,-1,14,13,36,11,11,3,7,0,1
match-f4ad9b9d-17,forschung_muskelkraft,standard,0,0,1,15,0,22,16,60,51,14,18,7,0,0
match-f4ad9b9d-17,rudeljaeger,standard,1,1,0,15,2,20,19,50,56,17,10,9,0,2
match-6095add6-18,forschung_muskelkraft,standard,0,1,1,14,2,23,14,59,32,12,14,13,0,0
match-6095add6-18,rudeljaeger,standard,1,0,0,14,-3,20,18,47,48,16,8,8,0,2
match-e7485d18-19,forschung_muskelkraft,standard,0,0,1,4,0,10,4,9,1,3,2,0,0,0
match-e7485d18-19,rudeljaeger,standard,1,1,0,4,10,7,6,10,0,5,0,10,0,0
match-88c56965-20,forschung_muskelkraft,standard,0,0,1,7,-1,16,9,27,1,7,6,9,0,0
match-88c56965-20,rudeljaeger,standard,1,1,0,7,1,10,10,23,1,8,3,11,0,0
match-0f7818a8-21,forschung_muskelkraft,standard,0,0,1,5,-1,11,5,14,1,4,4,0,0,0
match-0f7818a8-21,rudeljaeger,standard,1,1,0,5,10,9,6,14,0,6,2,11,0,0
match-7b602ae0-22,forschung_muskelkraft,standard,0,0,1,5,0,13,5,14,1,4,2,4,0,0
match-7b602ae0-22,rudeljaeger,standard,1,1,0,5,6,9,5,14,1,5,1,10,0,0
match-0212da23-23,forschung_muskelkraft,standard,0,1,1,8,1,16,7,28,6,6,6,12,0,0
match-0212da23-23,rudeljaeger,standard,1,0,0,8,-2,11,9,25,9,8,1,9,0,0
match-3865f247-24,forschung_muskelkraft,standard,0,0,1,7,-2,15,8,26,1,6,6,3,0,0
match-3865f247-24,rudeljaeger,standard,1,1,0,7,7,11,9,25,1,8,2,12,0,0
match-bf188189-25,forschung_muskelkraft,standard,0,1,1,13,3,23,14,60,26,13,12,16,0,0
match-bf188189-25,rudeljaeger,standard,1,0,0,13,-6,18,16,45,35,14,8,7,0,3
match-2b00b3c2-26,forschung_muskelkraft,standard,0,0,1,5,-2,13,4,13,2,4,4,0,0,0
match-2b00b3c2-26,rudeljaeger,standard,1,1,0,5,10,10,6,15,0,6,1,12,0,0
match-b1b34304-27,forschung_muskelkraft,standard,0,1,1,14,6,22,11,43,54,9,12,12,0,0
match-b1b34304-27,rudeljaeger,standard,1,0,0,14,-2,20,17,45,51,15,4,4,0,1
match-53306f51-28,forschung_muskelkraft,standard,0,1,1,9,2,16,11,38,7,9,11,12,0,0
match-53306f51-28,rudeljaeger,standard,1,0,0,9,-2,14,12,30,9,11,5,8,0,0
match-d9e31e93-29,forschung_muskelkraft,standard,0,0,1,6,-1,16,6,19,2,5,7,3,0,0
match-d9e31e93-29,rudeljaeger,standard,1,1,0,6,7,10,9,19,1,8,2,11,0,0
match-45cb30cc-30,forschung_muskelkraft,standard,0,1,1,7,1,14,7,25,2,6,6,13,0,0
match-45cb30cc-30,rudeljaeger,standard,1,0,0,7,-3,11,10,24,3,8,1,9,0,0
match-cc7dc00e-31,forschung_muskelkraft,standard,0,1,1,14,6,23,15,60,36,13,9,10,0,0
match-cc7dc00e-31,rudeljaeger,standard,1,0,0,14,0,18,16,43,49,14,9,4,0,0
match-2c7cefe2-32,forschung_muskelkraft,standard,0,0,1,16,-4,22,20,75,49,18,14,7,0,0
match-2c7cefe2-32,rudeljaeger,standard,1,1,0,16,2,21,20,56,66,18,15,13,0,1
match-b32f9f24-33,forschung_muskelkraft,standard,0,0,1,5,-1,12,5,14,1,4,1,0,0,0
match-b32f9f24-33,rudeljaeger,standard,1,1,0,5,10,9,4,14,1,4,1,11,0,0
match-1f17b15d-34,forschung_muskelkraft,standard,0,0,1,6,0,15,7,20,1,5,4,7,0,0
match-1f17b15d-34,rudeljaeger,standard,1,1,0,6,3,10,9,18,0,8,2,10,0,0
