matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-02d0f833-0,rudeljaeger,standard,1,6,3,11,8,22,3,19,false,false,false
match-02d0f833-0,forschung_muskelkraft,standard,0,6,2,6,8,16,2,14,true,false,false
match-89838775-1,rudeljaeger,standard,1,9,5,27,27,59,5,54,false,false,false
match-89838775-1,forschung_muskelkraft,standard,0,11,2,8,10,20,2,18,true,false,false
match-f56bb9ad-2,rudeljaeger,standard,1,6,2,6,8,16,2,14,false,false,false
match-f56bb9ad-2,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-1d9b753d-4,rudeljaeger,standard,1,6,3,10,12,25,3,22,false,false,false
match-a44e047f-5,rudeljaeger,standard,1,6,2,8,9,19,2,17,false,false,false
match-a44e047f-5,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-e8067b28-12,rudeljaeger,standard,1,7,3,4,5,12,3,9,false,false,false
match-e8067b28-12,forschung_muskelkraft,standard,0,8,4,10,8,22,4,18,true,false,true
match-daa13ca3-14,forschung_muskelkraft,standard,0,6,4,4,4,12,4,8,true,false,false
match-daa13ca3-14,rudeljaeger,standard,1,10,4,16,23,43,4,39,false,false,false
match-6dfaec5b-16,rudeljaeger,standard,1,6,2,8,10,20,2,18,false,false,false
match-6dfaec5b-16,forschung_muskelkraft,standard,0,6,3,8,10,21,3,18,true,false,false
match-f4ad9b9d-17,forschung_muskelkraft,standard,0,6,3,12,6,21,3,18,false,false,false
match-6095add6-18,rudeljaeger,standard,1,6,2,8,8,18,2,16,false,false,false
match-6095add6-18,forschung_muskelkraft,standard,0,6,4,12,12,28,4,24,true,false,false
match-0212da23-23,forschung_muskelkraft,standard,0,6,5,10,8,23,5,18,true,false,true
match-3865f247-24,rudeljaeger,standard,1,6,3,11,14,28,3,25,true,true,true
match-bf188189-25,rudeljaeger,standard,1,6,2,9,10,21,2,19,false,false,false
match-bf188189-25,forschung_muskelkraft,standard,0,6,4,4,6,14,4,10,true,false,false
match-b1b34304-27,rudeljaeger,standard,1,6,3,11,14,28,3,25,false,false,false
match-b1b34304-27,forschung_muskelkraft,standard,0,6,3,8,10,21,3,18,true,false,false
match-45cb30cc-30,forschung_muskelkraft,standard,0,6,4,4,4,12,4,8,true,true,true
match-cc7dc00e-31,forschung_muskelkraft,standard,0,6,5,12,8,25,5,20,true,false,false
match-cc7dc00e-31,rudeljaeger,standard,1,11,5,13,17,35,5,30,false,false,false
match-2c7cefe2-32,rudeljaeger,standard,1,6,2,7,5,14,2,12,true,false,false
match-2c7cefe2-32,forschung_muskelkraft,standard,0,7,2,8,10,20,2,18,false,false,false
match-a5ca409f-35,forschung_muskelkraft,standard,0,6,3,14,12,29,3,26,true,false,true
match-c094dda9-39,forschung_muskelkraft,standard,0,7,3,7,4,14,3,11,false,false,false
match-7d9a8510-41,rudeljaeger,standard,1,6,2,8,11,21,2,19,true,true,true
match-e982b748-42,rudeljaeger,standard,1,8,3,16,19,38,3,35,false,false,false
match-e982b748-42,forschung_muskelkraft,standard,0,9,2,8,10,20,2,18,true,true,true
match-7035468b-43,rudeljaeger,standard,1,6,3,10,16,29,3,26,true,true,true
match-11b272d8-44,forschung_muskelkraft,standard,0,6,4,16,10,30,4,26,false,false,false
match-9865021a-45,forschung_muskelkraft,standard,0,6,4,11,10,25,4,21,true,false,false
match-9865021a-45,rudeljaeger,standard,1,12,5,9,10,24,5,19,false,false,false
match-044d3453-46,forschung_muskelkraft,standard,0,6,4,10,6,20,4,16,true,false,true
match-8affc395-47,rudeljaeger,standard,1,6,4,12,15,31,4,27,true,false,false
