cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,241,990,682,308,308,0.6888888888888889,0.49166666666666664,0.5097345132743363,0.515527950310559,3.7653958944281527,2552,430,0,458,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,251,1013,503,510,510,0.49654491609081935,0.49166666666666664,0.5096322241681261,0.5147058823529411,4.417495029821073,2415,767,0,397,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,224,1012,957,55,55,0.9456521739130435,0.49166666666666664,0.5,0.5135135135135135,5.675026123301985,0,0,0,0,0,2871,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,1200,231,868,762,106,106,0.8778801843317973,0.49166666666666664,0.516504854368932,0.5421166306695464,7.288713910761155,5626,563,0,794,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,248,936,267,669,669,0.28525641025641024,0.49166666666666664,0.5,0.5336538461538461,8.299625468164795,952,489,0,166,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,234,937,515,422,422,0.5496264674493063,0.49166666666666664,0.5037037037037037,0.5195822454308094,7.009708737864078,2594,335,0,422,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,242,922,645,277,277,0.6995661605206074,0.49166666666666664,0.5234521575984991,0.543859649122807,9.068217054263567,6397,515,0,707,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,107,501,232,269,269,0.4630738522954092,0.49166666666666664,0.5269461077844312,0.5172413793103449,4.254310344827586,1050,172,0,162,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,133,476,222,254,254,0.46638655462184875,0.49166666666666664,0.5105042016806722,0.5225225225225225,6.842342342342342,522,119,0,134,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,116,457,392,65,65,0.8577680525164114,0.49166666666666664,0.5557986870897156,0.5994897959183674,7.295918367346939,983,167,0,208,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft,standard,600,129,468,267,201,201,0.5705128205128205,0.49166666666666664,0.5299145299145299,0.50187265917603,8.883895131086142,1428,100,0,316,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft,standard,600,123,482,317,165,165,0.6576763485477178,0.49166666666666664,0.520746887966805,0.5520504731861199,8.56782334384858,1991,751,0,387,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft,standard,600,121,447,385,62,62,0.8612975391498882,0.49166666666666664,0.5480984340044742,0.6051948051948052,7.090909090909091,2519,210,0,409,0,0,3197,3539,0,0,0,0
ratte,rudeljaeger,standard,1200,236,752,649,103,103,0.863031914893617,0.5133333333333333,0.47162426614481406,0.45076586433260396,4.9676425269645605,1412,951,0,274,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger,standard,1200,255,802,700,102,102,0.8728179551122195,0.5133333333333333,0.4830188679245283,0.448559670781893,4.751428571428572,1546,1027,0,311,0,0,0,0,0,0,0,0
getigerter,rudeljaeger,standard,1200,262,743,690,53,53,0.9286675639300135,0.5133333333333333,0.5049115913555993,0.4887063655030801,4.953623188405797,2001,1216,0,343,0,0,0,0,0,0,0,0
baer,rudeljaeger,standard,1200,235,619,587,32,32,0.9483037156704361,0.5133333333333333,0.419811320754717,0.40594059405940597,6.65587734241908,2160,232,0,318,0,0,0,0,0,0,0,0
wolf,rudeljaeger,standard,1200,219,744,618,126,126,0.8306451612903226,0.5133333333333333,0.46047430830039526,0.4027777777777778,6.061488673139158,1481,259,0,254,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger,standard,1200,214,764,629,135,135,0.8232984293193717,0.5133333333333333,0.4601593625498008,0.3458646616541353,7.087440381558029,0,0,0,0,1258,0,0,0,553,89,0,0
pferd,rudeljaeger,standard,1200,236,759,710,49,49,0.9354413702239789,0.5133333333333333,0.4576612903225806,0.446985446985447,5.591549295774648,2647,766,0,465,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger,standard,600,121,364,325,39,39,0.8928571428571429,0.5133333333333333,0.43956043956043955,0.40307692307692305,5.827692307692308,522,72,0,81,0,0,0,0,0,0,0,0
luchs,rudeljaeger,standard,600,133,355,330,25,25,0.9295774647887324,0.5133333333333333,0.4619718309859155,0.45454545454545453,6.5606060606060606,1331,460,0,220,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger,standard,600,101,318,292,26,26,0.9182389937106918,0.5133333333333333,0.4088050314465409,0.3801369863013699,7.25,888,83,0,148,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger,standard,600,128,346,316,30,30,0.9132947976878613,0.5133333333333333,0.4277456647398844,0.40189873417721517,7.072784810126582,1197,30,0,179,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger,standard,600,121,358,265,93,93,0.7402234636871509,0.5133333333333333,0.43854748603351956,0.33584905660377357,7.1471698113207545,638,52,0,115,0,0,0,0,0,0,0,0
pc_principal,rudeljaeger,standard,600,139,291,253,38,38,0.8694158075601375,0.5133333333333333,0.4570446735395189,0.3952569169960474,6.976284584980237,1510,63,0,240,0,0,2702,3148,0,0,0,0
rekrut,solidaritaet_ueberleben,standard,1200,227,914,690,224,224,0.7549234135667396,0.4683333333333333,0.46415770609318996,0.44042553191489364,5.039130434782609,1047,646,0,177,0,0,0,0,0,0,0,0
schildwache,solidaritaet_ueberleben,standard,600,104,447,372,75,75,0.8322147651006712,0.4683333333333333,0.46756152125279643,0.4327956989247312,5.543010752688172,442,134,0,130,0,0,0,0,0,0,0,0
der_alte_hund,solidaritaet_ueberleben,standard,600,125,454,362,92,92,0.7973568281938326,0.4683333333333333,0.47577092511013214,0.430939226519337,5.878453038674033,702,173,0,210,0,0,0,0,0,0,0,0
streikposten,solidaritaet_ueberleben,standard,1200,234,884,692,192,192,0.7828054298642534,0.4683333333333333,0.46422018348623856,0.4403470715835141,6.312138728323699,815,195,0,185,0,0,0,0,0,0,0,0
feldscherin,solidaritaet_ueberleben,standard,600,126,433,270,163,163,0.6235565819861432,0.4683333333333333,0.44110854503464203,0.35185185185185186,7.5814814814814815,265,36,97,87,0,0,0,0,0,0,0,0
schrottsammlerin,solidaritaet_ueberleben,standard,1200,230,892,750,142,142,0.8408071748878924,0.4683333333333333,0.4675324675324675,0.4618556701030928,6.685333333333333,2172,245,0,401,0,0,0,0,0,0,0,0
basisdemokratie,solidaritaet_ueberleben,standard,600,120,449,413,36,36,0.9198218262806236,0.4683333333333333,0.47884187082405344,0.4648910411622276,5.861985472154964,1658,158,0,314,0,0,0,0,0,0,0,0
generalstreik,solidaritaet_ueberleben,standard,600,133,399,369,30,30,0.924812030075188,0.4683333333333333,0.45864661654135336,0.45257452574525747,8.05420054200542,0,0,0,0,0,0,2756,0,0,0,0,0
ritter,solidaritaet_ueberleben,standard,1200,225,820,729,91,91,0.8890243902439025,0.4683333333333333,0.47338403041825095,0.4613821138211382,7.344307270233196,3010,277,0,485,0,0,0,0,0,0,0,0
gewerkschaftssekretaerin,solidaritaet_ueberleben,standard,600,125,409,367,42,42,0.8973105134474327,0.4683333333333333,0.45965770171149145,0.444141689373297,7.602179836512262,1085,111,0,201,0,0,0,0,0,0,0,0
die_massen,solidaritaet_ueberleben,standard,1200,237,834,776,58,58,0.9304556354916067,0.4683333333333333,0.4962264150943396,0.5119047619047619,8.4909793814433,4772,2180,0,446,0,0,0,0,0,0,0,0
kommandantin,solidaritaet_ueberleben,standard,600,119,404,383,21,21,0.948019801980198,0.4683333333333333,0.4405940594059406,0.4360313315926893,7.798955613577023,882,72,0,153,0,0,0,0,0,0,0,0
pc_babies,solidaritaet_ueberleben,standard,600,127,406,370,36,36,0.9113300492610837,0.4683333333333333,0.4729064039408867,0.46756756756756757,7.724324324324324,1457,108,0,230,0,0,0,0,0,0,0,0
junger_neffe,solidaritaet_ueberleben,standard,600,135,432,321,111,111,0.7430555555555556,0.4683333333333333,0.4583333333333333,0.4174454828660436,7.470404984423676,939,86,0,181,0,0,0,0,0,0,0,0
pc_principal,solidaritaet_ueberleben,standard,600,133,381,365,16,16,0.958005249343832,0.4683333333333333,0.5380577427821522,0.5534246575342465,7.616438356164384,2224,140,0,369,0,0,4144,4552,0,0,0,0
ratte,urzeitliche_kolosse,standard,1200,243,775,653,122,122,0.8425806451612903,0.475,0.5019011406844106,0.5096359743040685,3.6156202143950997,1450,1353,0,320,0,0,0,0,0,0,0,0
wolf,urzeitliche_kolosse,standard,1200,250,816,642,174,174,0.7867647058823529,0.475,0.4869402985074627,0.4829787234042553,4.400311526479751,1643,463,0,324,0,0,0,0,0,0,0,0
wilder_instinkt,urzeitliche_kolosse,standard,600,118,403,321,82,82,0.7965260545905707,0.475,0.4640198511166253,0.48909657320872274,6.507788161993769,0,0,0,0,642,0,0,0,239,106,0,0
velociraptor,urzeitliche_kolosse,standard,1200,250,803,584,219,219,0.7272727272727273,0.475,0.480225988700565,0.4830917874396135,6.299657534246576,1648,315,0,309,0,0,0,0,0,0,0,0
pferd,urzeitliche_kolosse,standard,1200,228,771,678,93,93,0.8793774319066148,0.475,0.4835589941972921,0.47708333333333336,4.907079646017699,2827,828,0,545,0,0,0,0,0,0,0,0
triceratops,urzeitliche_kolosse,standard,1200,233,620,473,147,147,0.7629032258064516,0.475,0.47884187082405344,0.46703296703296704,6.579281183932347,1374,136,0,355,0,0,0,0,0,0,0,0
pteranodon,urzeitliche_kolosse,standard,600,99,333,177,156,156,0.5315315315315315,0.475,0.4744744744744745,0.4971751412429379,7.836158192090395,411,40,0,65,0,0,0,0,0,0,0,0
