deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,53,47,0,0.53,8.65,4.5
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,39,58,3,0.4020618556701031,8.95,5.59
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,56,34,10,0.6222222222222222,12.35,4.16
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,51,44,5,0.5368421052631579,12.83,4.34
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,48,52,0,0.48,8.88,4.69
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,48,50,2,0.4897959183673469,9.14,4.25
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,45,51,4,0.46875,10.02,4.31
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,41,58,1,0.41414141414141414,9.92,4.51
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,63,37,0,0.63,7.05,4.31
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,54,45,1,0.5454545454545454,7.81,4.36
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,47,52,1,0.47474747474747475,9.73,4.05
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,47,49,4,0.4895833333333333,10.39,4.27
